session_label	session_year	session_type	total_chapters	source_url	confidence	session_number	session_kind	canonical_id
1850 Regular Session	1850	regular	146	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1850	high	1	regular	S1
1851 Regular Session	1851	regular	139	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1851	high	2	regular	S2
1852 Regular Session	1852	regular	202	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1852	high	3	regular	S3
1853 Regular Session	1853	regular	180	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1853	high	4	regular	S4
1854 Regular Session	1854	regular	174	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1854	high	5	regular	S5
1855 Regular Session	1855	regular	231	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1855	high	6	regular	S6
1856 Regular Session	1856	regular	152	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1856	high	7	regular	S7
1857 Regular Session	1857	regular	277	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1857	high	8	regular	S8
1858 Regular Session	1858	regular	358	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1858	high	9	regular	S9
1859 Regular Session	1859	regular	330	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1859	high	10	regular	S10
1860 Regular Session	1860	regular	385	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1860	high	11	regular	S11
1861 Regular Session	1861	regular	538	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1861	high	12	regular	S12
1862 Regular Session	1862	regular	455	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1862	high	13	regular	S13
1863 Regular Session	1863	regular	538	printed-index re-derivation 2026-06-19 (duplicate-title test 18/20; ORACLE_DISCREPANCY_EARLY_2026-06-17.md)	index-rederived-2026-06-19	14	regular	S14
1863-64 Regular Session	1863	regular	476	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1863-64	high	15	regular	S15
1865-66 Regular Session	1866	regular	650	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1865-66	high	16	regular	S16
1867-68 Regular Session	1868	regular	545	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1867-68	high	17	regular	S17
1869-70 Regular Session	1870	regular	583	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1869-70	high	18	regular	S18
1871-72 Regular Session	1872	regular	637	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1871-72	high	19	regular	S19
1873-74 Regular Session	1874	regular	679	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1873-74	high	20	regular	S20
1875-76 Regular Session	1876	regular	613	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1875-76	high	21	regular	S21
1877-78 Regular Session	1878	regular	673	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1877-78	high	22	regular	S22
1880 Regular Session	1880	regular	126	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1880	high	23	regular	S23
1881 Regular Session	1881	regular	77	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1881	high	24	regular	S24
1881 Extra Session	1881	extra1	103	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1881	high		extra/special	1881X1
1883 Regular Session	1883	regular	96	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1883-84	high	25	regular	S25
1885 Regular Session	1885	regular	169	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1885-86	high	26	regular	S26
1885 Extra Session	1885	extra1	6	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1885-86	high		extra/special	1885X1
1887 Regular Session	1887	regular	188	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1887	high	27	regular	S27
1889 Regular Session	1889	regular	290	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1889	high	28	regular	S28
1891 Regular Session	1891	regular	280	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1891	high	29	regular	S29
1893 Regular Session	1893	regular	244	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1893	high	30	regular	S30
1895 Regular Session	1895	regular	223	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1895	high	31	regular	S31
1897 Regular Session	1897	regular	278	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1897	high	32	regular	S32
1899 Regular Session	1899	regular	253	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1899	high	33	regular	S33
1900 Extra Session	1900	extra1	15	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1900-01	high		extra/special	1900X1
1901 Regular Session	1901	regular	275	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1900-01	high	34	regular	S34
1903 Regular Session	1903	regular	385	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1903	high	35	regular	S35
1905 Regular Session	1905	regular	613	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1905	high	36	regular	S36
1906 Extra Session	1906	extra1	64	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1906-07	high		extra/special	1906X1
1907 Regular Session	1907	regular	539	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1906-07	high	37	regular	S37
1907 Extra Session	1907	extra1	9	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1907-09	high		extra/special	1907X1
1907 Second Extra Session	1907	extra2	2	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1907-09	high		extra/special	1907X2
1909 Regular Session	1909	regular	729	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1907-09	high	38	regular	S38
1910 Special Session	1910	extra1	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1910-11	med		extra/special	1910X1
1911 Regular Session	1911	regular	753	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1910-11	high	39	regular	S39
1911 First Extra Session	1911	extra1	64	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1910-11	high		extra/special	1911X1
1911 Second Extra Session	1911	extra2	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1910-11	high		extra/special	1911X2
1913 Regular Session	1913	regular	699	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1913	high	40	regular	S40
1915 Regular Session	1915	regular	771	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1915	high	41	regular	S41
1916 Extra Session	1916	extra1	7	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1917	high		extra/special	1916X1
1917 Regular Session	1917	regular	803	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1917	high	42	regular	S42
