session_year,volume_label,pdf_url,verified,size_bytes
1850,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1850/1850.pdf,yes,32158865
1850,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1850/1850_Index.pdf,,
1851,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1851/1851.pdf,,
1851,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1851/1851_Index.pdf,,
1852,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1852/1852.PDF,,
1852,Resolutions,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1852/1852-resolutions.pdf,,
1852,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1852/1852_Index.PDF,,
1853,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1853/1853.pdf,,
1853,SRE,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1853/1853_SRE.pdf,,
1853,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1853/1853_Index.pdf,,
1854,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1854/1854.PDF,,
1854,Rec_Exp,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1854/1854_Rec_Exp.pdf,,
1854,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1854/1854_Index.pdf,,
1855,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1855/1855.PDF,,
1855,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1855/1855_Index.pdf,,
1856,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1856/1856.PDF,,
1856,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1856/1856_Index.pdf,,
1857,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1857/1857.PDF,,
1857,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1857/1857_Index.pdf,,
1858,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1858/1858.pdf,,
1858,Treasury_1,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1858/1858_Treasury_1.pdf,,
1858,Treasury_2,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1858/1858_Treasury_2.pdf,,
1858,Treasury_3,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1858/1858_Treasury_3.pdf,,
1858,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1858/1858_Index.pdf,,
1859,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1859/1859.pdf,,
1859,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1859/1859_Index.pdf,,
1859,Treasury_1,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1859/1859_Treasury_1.pdf,,
1859,Treasury_2,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1859/1859_Treasury_2.pdf,,
1859,Treasury_3,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1859/1859_Treasury_3.pdf,,
1860,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1860/1860.PDF,,
1860,AR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1860/1860_AR.pdf,,
1860,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1860/1860_Index.pdf,,
1861,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1861/1861.pdf,,
1861,AR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1861/1861_AR.pdf,,
1861,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1861/1861_Index.pdf,,
1862,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1862/1862.PDF,,
1862,AR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1862/1862_AR.pdf,,
1862,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1862/1862_Index.pdf,,
1863,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1863/1863.PDF,,
1863,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1863/1863_Index.pdf,,
1863-64,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1864/1863_64.pdf,,
1863-64,AR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1864/1863_64_AR.pdf,,
1863-64,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1864/1863_64_Index.pdf,,
1865-66,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1865/1865_66.PDF,,
1865-66,Treasury_Report,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1865/1865_66_Treasury_Report.pdf,,
1865-66,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1865/1865_66_Index.pdf,,
1867-68,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1867/1867_68.pdf,,
1867-68,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1867/1867_68_BR.pdf,,
1867-68,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1867/1867_68_Index.pdf,,
1869-70,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1869/1869_70.PDF,,
1869-70,Supplement,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1869/1869_70_sup.PDF,,
1869-70,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1869/1869_70_BR.pdf,,
1869-70,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1869/1869_70_Index.pdf,,
1871-72,Revised,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1871/1871_72_Revised.PDF,,
1871-72,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1871/1871_72.PDF,,
1871-72,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1871/1871_72_BR.pdf,,
1871-72,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1871/1871_72_Index.pdf,,
1873-74,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1873/1873_74statutes.PDF,yes,57294858
1873-74,Code,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1873/1873_74Code.PDF,,
1873-74,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1873/1873_74statutes_BR.pdf,,
1873-74,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1873/1873_74statutes_Index.pdf,,
1875-76,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1875/1875_76.pdf,,
1875-76,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1875/1875_76_BR.pdf,,
