label	pdf	yr	pdf_exists	source	note
1861	1861_Statutes.pdf	1861	1	derived	
1862	1862_Statutes.pdf	1862	1	derived	
1863	1863_Statutes.pdf	1863	1	derived	
1863-64	1863-64_Statutes.pdf	1864	1	derived	
1865-66	1865-66_Statutes.pdf	1865	1	derived	
1867-68	1867-68_Statutes.pdf	1867	1	derived	
1869-70	1869-70_Statutes.pdf	1869	1	derived	
1871-72	1871-72_Statutes.pdf	1871	1	derived	
1873-74	1873-74_Statutes.pdf	1873	1	derived	
1873-74-code	1873-74_Code.pdf	1873	1	explicit	
1875-76	1875-76_Statutes.pdf	1875	1	derived	
1875-76-code	1875-76_Code.pdf	1875	1	explicit	
1877-78	1877-78_Statutes.pdf	1877	1	derived	
1877-78-code	1877-78_Code.pdf	1877	1	explicit	
1880	1880_Statutes.pdf	1880	1	derived	
1880-code	1880_Code.pdf	1880	1	explicit	
1881	1881_Statutes.pdf	1881	1	derived	
1883-84	1883-84_Statutes.pdf	1883	1	derived	
1883-84-regular	1883-84_Code.pdf	1883	1	explicit	
1885-86	1885-86_Statutes.pdf	1885	1	derived	
1887	1887_Statutes.pdf	1887	1	derived	
1889	1889_Statutes.pdf	1889	1	derived	
1891	1891_Statutes.pdf	1891	1	derived	
1893	1893_Statutes.pdf	1893	1	derived	
1895	1895_Statutes.pdf	1895	1	derived	
1897	1897_Statutes.pdf	1897	1	derived	
1899	1899_Statutes.pdf	1899	1	derived	
1900-01	1900-01_Statutes.pdf	1900	1	derived	
1903	1903_Statutes.pdf	1903	1	derived	
1905	1905_Statutes.pdf	1905	1	derived	
1906-07	1906-07_Statutes.pdf	1906	1	derived	
1907-09	1907-09_Statutes.pdf	1907	1	derived	
1910-11	1910-11_Statutes.pdf	1910	1	derived	
1913-statutes	1913_Statutes.pdf	1913	1	explicit	
1915-vol1-chapters	1915_Vol1_Chapters.pdf	1915	1	explicit	
1917-vol1-chapters	1917_Vol1_Chapters.pdf	1917	1	explicit	
1919-vol1-chapters	1919_Vol1_Chapters.pdf	1919	1	explicit	
1921-vol1-chapters	1921_Vol1_Chapters.pdf	1921	1	explicit	
1923-vol1-chapters	1923_Vol1_Chapters.pdf	1923	1	explicit	
1925-vol1-chapters	1925_Vol1_Chapters.pdf	1925	1	explicit	
1927-vol1-26chapters	1927_Vol1_26Chapters.pdf	1927	1	explicit	
1927-vol1-chapters	1927_Vol1_Chapters.pdf	1927	1	explicit	
1929-vol1-28chapters	1929_Vol1_28Chapters.pdf	1929	1	explicit	ambiguous:28 vs 29 Chapters edition relationship undocumented
1929-vol1-29chapters	1929_Vol1_29Chapters.pdf	1929	1	explicit	ambiguous:28 vs 29 Chapters edition relationship undocumented
1931-vol1-chapters	1931_Vol1_Chapters.pdf	1931	1	explicit	
1933-vol1-chapters	1933_Vol1_Chapters.pdf	1933	1	explicit	
1935-vol1-34chapters	1935_Vol1_34Chapters.pdf	1935	1	explicit	
1935-vol1-chapters	1935_Vol1_Chapters.pdf	1935	1	explicit	
1937-vol1-chapters	1937_Vol1_Chapters.pdf	1937	1	explicit	
1938-vol1-chapters	1938_Vol1_Chapters.pdf	1938	1	explicit	
1939-vol1-chapters	1939_Vol1_Chapters.pdf	1939	1	explicit	
1941-vol1-41chapters	1941_Vol1_41Chapters.pdf	1941	1	explicit	
1943-vol1-42chapters	1943_Vol1_42Chapters.pdf	1943	1	explicit	
1943-vol1-chapters	1943_Vol1_Chapters.pdf	1943	1	explicit	
1945-vol1-chapters	1945_Vol1_Chapters.pdf	1945	1	explicit	
1947-vol1-46chapters	1947_Vol1_46Chapters.pdf	1947	1	explicit	
1947-vol1-chapters	1947_Vol1_Chapters.pdf	1947	1	explicit	
1948-vol1-chapters	1948_Vol1_Chapters.pdf	1948	1	explicit	
1949-vol1-49chapters-prior	1949_Vol1_49Chapters_prior.pdf	1949	1	explicit	ambiguous:'_prior' edition relationship to full Vol1_Chapters undocumented
1949-vol1-chapters	1949_Vol1_Chapters.pdf	1949	1	explicit	
1950-vol1-chapters	1950_Vol1_Chapters.pdf	1950	1	explicit	
1951-vol1-50chapters	1951_Vol1_50Chapters.pdf	1951	1	explicit	
1951-vol1-chapters	1951_Vol1_Chapters.pdf	1951	1	explicit	
1951-vol2-chapters	1951_Vol2_Chapters.pdf	1951	1	explicit	
1953-vol1-52chapters	1953_Vol1_52Chapters.pdf	1953	1	explicit	
1953-vol1-chapters	1953_Vol1_Chapters.pdf	1953	1	explicit	
1953-vol2-chapters	1953_Vol2_Chapters.pdf	1953	1	explicit	
1955-vol1-54chapters	1955_Vol1_54Chapters.pdf	1955	1	explicit	
1955-vol1-55chapters	1955_Vol1_55Chapters.pdf	1955	1	explicit	
1955-vol2-chapters	1955_Vol2_Chapters.pdf	1955	1	explicit	
1957-vol1-56chapters	1957_Vol1_56Chapters.pdf	1957	1	explicit	
1957-vol1-57chapters	1957_Vol1_57Chapters.pdf	1957	1	explicit	
1957-vol2-57chapters	1957_Vol2_57Chapters.pdf	1957	1	explicit	
1959-vol1-58chapters	1959_Vol1_58Chapters.pdf	1959	1	explicit	
1959-vol1-59chapters	1959_Vol1_59Chapters.pdf	1959	1	explicit	
1959-vol2-chapters	1959_Vol2_Chapters.pdf	1959	1	explicit	
1961-vol1-60chapters	1961_Vol1_60Chapters.pdf	1961	1	explicit	
1961-vol1-61chapters	1961_Vol1_61Chapters.pdf	1961	1	explicit	
1961-vol2-chapters	1961_Vol2_Chapters.pdf	1961	1	explicit	
1963-vol1-62chapters	1963_Vol1_62Chapters.pdf	1963	1	explicit	
1963-vol1-63chapters	1963_Vol1_63Chapters.pdf	1963	1	explicit	
1963-vol2-chapters	1963_Vol2_Chapters.pdf	1963	1	explicit	
1965-vol1-64chapters	1965_Vol1_64Chapters.pdf	1965	1	explicit	
1965-vol1-65chapters	1965_Vol1_65Chapters.pdf	1965	1	explicit	
1965-vol2	1965_Vol2.pdf	1965	1	explicit	
1965-vol3-chapters	1965_Vol3_Chapters.pdf	1965	1	explicit	
1966-vol1-chapters	1966_Vol1_Chapters.pdf	1966	1	explicit	
