[2026-06-01 00:00 PT] INIT | acquire-chiefclerk-fix run log created | OK
[2026-06-01 18:49 PT] INIT | retry_incomplete.py starting | OK
[2026-06-01 18:49 PT] INIT | Total entries: 653, failures: 65, 404s: 1, IncompleteRead: 64 | OK
[2026-06-01 18:49 PT] 404CHECK | Checking 1855_Index.pdf at https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1855/1855_Index.pdf | OK
[2026-06-01 18:49 PT] 404CHECK | 1855_Index.pdf: HEAD returned 404 | WARN
[2026-06-01 18:49 PT] PROGRESS | File 1/64: 1859_Statutes.pdf | OK
[2026-06-01 18:49 PT] RETRY | START 1859_Statutes.pdf | OK
[2026-06-01 18:49 PT] HEAD | 1859_Statutes.pdf: Content-Length=22,201,350 | OK
[2026-06-01 18:49 PT] EXISTING | 1859_Statutes.pdf: corrupt file present (22,201,350 bytes), removing | WARN
[2026-06-01 18:49 PT] ATTEMPT | 1859_Statutes.pdf attempt 1/5 | OK
[2026-06-01 18:49 PT] VERIFIED | 1859_Statutes.pdf: OK (22,201,350 bytes, 427 pages) | OK
[2026-06-01 18:49 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:49 PT] PROGRESS | File 2/64: 1863-64_Statutes.pdf | OK
[2026-06-01 18:49 PT] RETRY | START 1863-64_Statutes.pdf | OK
[2026-06-01 18:49 PT] HEAD | 1863-64_Statutes.pdf: Content-Length=35,642,680 | OK
[2026-06-01 18:49 PT] EXISTING | 1863-64_Statutes.pdf: corrupt file present (35,642,680 bytes), removing | WARN
[2026-06-01 18:49 PT] ATTEMPT | 1863-64_Statutes.pdf attempt 1/5 | OK
[2026-06-01 18:49 PT] VERIFIED | 1863-64_Statutes.pdf: OK (35,642,680 bytes, 644 pages) | OK
[2026-06-01 18:49 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:49 PT] PROGRESS | File 3/64: 1885-86_Statutes.pdf | OK
[2026-06-01 18:49 PT] RETRY | START 1885-86_Statutes.pdf | OK
[2026-06-01 18:49 PT] HEAD | 1885-86_Statutes.pdf: Content-Length=16,227,954 | OK
[2026-06-01 18:49 PT] EXISTING | 1885-86_Statutes.pdf: corrupt file present (16,227,954 bytes), removing | WARN
[2026-06-01 18:49 PT] ATTEMPT | 1885-86_Statutes.pdf attempt 1/5 | OK
[2026-06-01 18:50 PT] VERIFIED | 1885-86_Statutes.pdf: OK (16,227,954 bytes, 294 pages) | OK
[2026-06-01 18:50 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:50 PT] PROGRESS | File 4/64: 1871-72_Statutes.pdf | OK
[2026-06-01 18:50 PT] RETRY | START 1871-72_Statutes.pdf | OK
[2026-06-01 18:50 PT] HEAD | 1871-72_Statutes.pdf: Content-Length=58,930,741 | OK
[2026-06-01 18:50 PT] EXISTING | 1871-72_Statutes.pdf: corrupt file present (58,930,741 bytes), removing | WARN
[2026-06-01 18:50 PT] ATTEMPT | 1871-72_Statutes.pdf attempt 1/5 | OK
[2026-06-01 18:50 PT] VERIFIED | 1871-72_Statutes.pdf: OK (58,930,741 bytes, 1064 pages) | OK
[2026-06-01 18:50 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:50 PT] PROGRESS | File 5/64: 1873-74_Statutes.pdf | OK
[2026-06-01 18:50 PT] RETRY | START 1873-74_Statutes.pdf | OK
[2026-06-01 18:50 PT] HEAD | 1873-74_Statutes.pdf: Content-Length=57,294,858 | OK
[2026-06-01 18:50 PT] EXISTING | 1873-74_Statutes.pdf: corrupt file present (57,294,858 bytes), removing | WARN
[2026-06-01 18:50 PT] ATTEMPT | 1873-74_Statutes.pdf attempt 1/5 | OK
[2026-06-01 18:50 PT] VERIFIED | 1873-74_Statutes.pdf: OK (57,294,858 bytes, 1086 pages) | OK
[2026-06-01 18:50 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:50 PT] PROGRESS | File 6/64: 1893_Statutes.pdf | OK
[2026-06-01 18:50 PT] RETRY | START 1893_Statutes.pdf | OK
[2026-06-01 18:50 PT] HEAD | 1893_Statutes.pdf: Content-Length=40,254,197 | OK
[2026-06-01 18:50 PT] ATTEMPT | 1893_Statutes.pdf attempt 1/5 | OK
[2026-06-01 18:50 PT] VERIFIED | 1893_Statutes.pdf: OK (40,254,197 bytes, 716 pages) | OK
[2026-06-01 18:50 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:50 PT] PROGRESS | File 7/64: 1875-76_Statutes.pdf | OK
[2026-06-01 18:50 PT] RETRY | START 1875-76_Statutes.pdf | OK
[2026-06-01 18:50 PT] HEAD | 1875-76_Statutes.pdf: Content-Length=62,656,679 | OK
[2026-06-01 18:50 PT] EXISTING | 1875-76_Statutes.pdf: corrupt file present (62,656,679 bytes), removing | WARN
[2026-06-01 18:50 PT] ATTEMPT | 1875-76_Statutes.pdf attempt 1/5 | OK
[2026-06-01 18:51 PT] VERIFIED | 1875-76_Statutes.pdf: OK (62,656,679 bytes, 1025 pages) | OK
[2026-06-01 18:51 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:51 PT] PROGRESS | File 8/64: 1871-72_Revised.pdf | OK
[2026-06-01 18:51 PT] RETRY | START 1871-72_Revised.pdf | OK
[2026-06-01 18:51 PT] HEAD | 1871-72_Revised.pdf: Content-Length=59,161,883 | OK
[2026-06-01 18:51 PT] EXISTING | 1871-72_Revised.pdf: corrupt file present (59,161,883 bytes), removing | WARN
[2026-06-01 18:51 PT] ATTEMPT | 1871-72_Revised.pdf attempt 1/5 | OK
[2026-06-01 18:51 PT] VERIFIED | 1871-72_Revised.pdf: OK (59,161,883 bytes, 1066 pages) | OK
[2026-06-01 18:51 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:51 PT] PROGRESS | File 9/64: 1895_Statutes.pdf | OK
[2026-06-01 18:51 PT] RETRY | START 1895_Statutes.pdf | OK
[2026-06-01 18:51 PT] HEAD | 1895_Statutes.pdf: Content-Length=27,038,297 | OK
[2026-06-01 18:51 PT] EXISTING | 1895_Statutes.pdf: corrupt file present (27,038,297 bytes), removing | WARN
[2026-06-01 18:51 PT] ATTEMPT | 1895_Statutes.pdf attempt 1/5 | OK
[2026-06-01 18:51 PT] VERIFIED | 1895_Statutes.pdf: OK (27,038,297 bytes, 508 pages) | OK
[2026-06-01 18:51 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:51 PT] PROGRESS | File 10/64: 1897_Statutes.pdf | OK
[2026-06-01 18:51 PT] RETRY | START 1897_Statutes.pdf | OK
[2026-06-01 18:51 PT] HEAD | 1897_Statutes.pdf: Content-Length=38,756,719 | OK
[2026-06-01 18:51 PT] EXISTING | 1897_Statutes.pdf: corrupt file present (38,756,719 bytes), removing | WARN
[2026-06-01 18:51 PT] ATTEMPT | 1897_Statutes.pdf attempt 1/5 | OK
[2026-06-01 18:51 PT] VERIFIED | 1897_Statutes.pdf: OK (38,756,719 bytes, 708 pages) | OK
[2026-06-01 18:51 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:51 PT] PROGRESS | File 11/64: 1900-01_Statutes.pdf | OK
[2026-06-01 18:51 PT] RETRY | START 1900-01_Statutes.pdf | OK
[2026-06-01 18:51 PT] HEAD | 1900-01_Statutes.pdf: Content-Length=57,821,516 | OK
[2026-06-01 18:51 PT] EXISTING | 1900-01_Statutes.pdf: corrupt file present (57,821,516 bytes), removing | WARN
[2026-06-01 18:51 PT] ATTEMPT | 1900-01_Statutes.pdf attempt 1/5 | OK
[2026-06-01 18:51 PT] VERIFIED | 1900-01_Statutes.pdf: OK (57,821,516 bytes, 1030 pages) | OK
[2026-06-01 18:51 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:51 PT] PROGRESS | File 12/64: 1925_Vol1_Constitution.pdf | OK
[2026-06-01 18:51 PT] RETRY | START 1925_Vol1_Constitution.pdf | OK
[2026-06-01 18:51 PT] HEAD | 1925_Vol1_Constitution.pdf: Content-Length=6,011,298 | OK
[2026-06-01 18:51 PT] EXISTING | 1925_Vol1_Constitution.pdf: corrupt file present (6,011,298 bytes), removing | WARN
[2026-06-01 18:51 PT] ATTEMPT | 1925_Vol1_Constitution.pdf attempt 1/5 | OK
[2026-06-01 18:51 PT] VERIFIED | 1925_Vol1_Constitution.pdf: OK (6,011,298 bytes, 73 pages) | OK
[2026-06-01 18:51 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:51 PT] PROGRESS | File 13/64: 1907-09_Statutes.pdf | OK
[2026-06-01 18:51 PT] RETRY | START 1907-09_Statutes.pdf | OK
