[2026-06-01 14:30 PT] OK | === PatoLex 1850 Benchmark START ===
[2026-06-01 14:30 PT] OK | Volume: Statutes of California, First Session (1850)
[2026-06-01 14:30 PT] OK | URL: https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1850/1850.pdf
[2026-06-01 14:30 PT] OK | ACQUIRE | file=C:\Users\PatrickKolasinski\PatoLex-scratch\gate-b-historical\1850-statutes-clerk-assembly.pdf
[2026-06-01 14:30 PT] OK | ACQUIRE | size=32158865 bytes (30.67 MB)
[2026-06-01 14:30 PT] OK | ACQUIRE | file already present (pre-downloaded). No network transfer needed.
[2026-06-01 14:30 PT] OK | ACQUIRE | PDF metadata: image-only, 480 pages, created 2001-01-08 by PixEdit/Acrobat PDFWriter 3.02
[2026-06-01 14:30 PT] OK | OCR | opening PDF, rendering pages 10-49 at 200 DPI
[2026-06-01 14:30 PT] OK | OCR | total pages in PDF: 480
[2026-06-01 14:30 PT] OK | OCR | page 11 (0-idx 10) | 1.0s | chars=3650
[2026-06-01 14:30 PT] OK | OCR | page 12 (0-idx 11) | 1.1s | chars=4423
[2026-06-01 14:30 PT] OK | OCR | page 13 (0-idx 12) | 0.5s | chars=1318
[2026-06-01 14:30 PT] OK | OCR | page 14 (0-idx 13) | 0.8s | chars=3134
[2026-06-01 14:30 PT] OK | OCR | page 15 (0-idx 14) | 1.0s | chars=3854
[2026-06-01 14:30 PT] OK | OCR | page 16 (0-idx 15) | 1.2s | chars=4546
[2026-06-01 14:30 PT] OK | OCR | page 17 (0-idx 16) | 1.1s | chars=4128
[2026-06-01 14:30 PT] OK | OCR | page 18 (0-idx 17) | 1.0s | chars=4161
[2026-06-01 14:30 PT] OK | OCR | page 19 (0-idx 18) | 0.9s | chars=3501
[2026-06-01 14:30 PT] OK | OCR | page 20 (0-idx 19) | 0.9s | chars=3391
[2026-06-01 14:30 PT] OK | OCR | page 21 (0-idx 20) | 0.6s | chars=1590
[2026-06-01 14:30 PT] OK | OCR | page 22 (0-idx 21) | 0.7s | chars=2576
[2026-06-01 14:30 PT] OK | OCR | page 23 (0-idx 22) | 1.1s | chars=4171
[2026-06-01 14:30 PT] OK | OCR | page 24 (0-idx 23) | 0.8s | chars=2852
[2026-06-01 14:30 PT] OK | OCR | page 25 (0-idx 24) | 1.3s | chars=5064
[2026-06-01 14:30 PT] OK | OCR | page 26 (0-idx 25) | 1.2s | chars=4892
[2026-06-01 14:30 PT] OK | OCR | page 27 (0-idx 26) | 1.1s | chars=4544
[2026-06-01 14:30 PT] OK | OCR | page 28 (0-idx 27) | 1.2s | chars=4576
[2026-06-01 14:30 PT] OK | OCR | page 29 (0-idx 28) | 1.1s | chars=4529
[2026-06-01 14:30 PT] OK | OCR | page 30 (0-idx 29) | 1.2s | chars=4724
[2026-06-01 14:30 PT] OK | OCR | page 31 (0-idx 30) | 1.3s | chars=5326
[2026-06-01 14:30 PT] OK | OCR | page 32 (0-idx 31) | 0.5s | chars=1763
[2026-06-01 14:30 PT] OK | OCR | page 33 (0-idx 32) | 0.6s | chars=2025
[2026-06-01 14:30 PT] OK | OCR | page 34 (0-idx 33) | 0.6s | chars=2248
[2026-06-01 14:30 PT] OK | OCR | page 35 (0-idx 34) | 1.1s | chars=4650
[2026-06-01 14:30 PT] OK | OCR | page 36 (0-idx 35) | 1.1s | chars=4124
[2026-06-01 14:30 PT] OK | OCR | page 37 (0-idx 36) | 1.2s | chars=4659
[2026-06-01 14:30 PT] OK | OCR | page 38 (0-idx 37) | 1.1s | chars=4526
[2026-06-01 14:30 PT] OK | OCR | page 39 (0-idx 38) | 1.1s | chars=4624
[2026-06-01 14:30 PT] OK | OCR | page 40 (0-idx 39) | 1.2s | chars=4878
[2026-06-01 14:30 PT] OK | OCR | page 41 (0-idx 40) | 1.1s | chars=4248
[2026-06-01 14:30 PT] OK | OCR | page 42 (0-idx 41) | 1.2s | chars=4745
[2026-06-01 14:30 PT] OK | OCR | page 43 (0-idx 42) | 1.1s | chars=4392
[2026-06-01 14:30 PT] OK | OCR | page 44 (0-idx 43) | 1.1s | chars=4375
[2026-06-01 14:30 PT] OK | OCR | page 45 (0-idx 44) | 1.4s | chars=5479
[2026-06-01 14:30 PT] OK | OCR | page 46 (0-idx 45) | 0.6s | chars=1940
[2026-06-01 14:30 PT] OK | OCR | page 47 (0-idx 46) | 0.9s | chars=3479
[2026-06-01 14:30 PT] OK | OCR | page 48 (0-idx 47) | 0.7s | chars=2522
[2026-06-01 14:30 PT] OK | OCR | page 49 (0-idx 48) | 1.1s | chars=4433
[2026-06-01 14:31 PT] OK | OCR | page 50 (0-idx 49) | 1.5s | chars=5955
[2026-06-01 14:31 PT] OK | OCR | SUMMARY | pages=40 | total=40.2s | mean=1.0s/page | 59.63 p/min
[2026-06-01 14:31 PT] OK | OCR | QUALITY SAMPLE | printing first 400 chars of 3 body pages:
[2026-06-01 14:31 PT] OK | OCR | page 16 sample: 6 CONSTITUTION OF THE UNITED STATES.> | MANNER OF PASSING BILLS, &eo. | Szorroy 7. All bills for raising revenue shall originate in the house of representatives ; but the senate may propose | or concur with amendments as on other bills. . | Every bill which shall have passed the house of representat
[2026-06-01 14:31 PT] OK | OCR | page 26 sample: 16 TREATY BETWEEN THE UNITED STATES AND MEXICO. ° | . . ARTICLE Y. . | * The boundary line between the two republics shall commence in the Gulf of Mexico, threo leagues from land, | opposite the mouth of the Rio Grande, otherwiso called Rio Bravo del Norte, or opposite the mouth of its deepest | " b
[2026-06-01 14:31 PT] OK | OCR | page 36 sample: 26 CONSTITUTION: OF THE STATE OF CALIFORNIA, | . ARTICLE II. |  | : RIGHT OF SUFFRAGE, | * Sec. 1. Every white male citizen of the United States, and every white’ malo citizen of Mexico, who shall have | elected to become a citizen of tho United States, under the treaty of peace exchanged and ratifi
[2026-06-01 14:31 PT] OK | OCR | raw text saved to C:\Users\PatrickKolasinski\PatoLex-scratch\gate-b-1850\ocr_raw_1850_pages.txt
[2026-06-01 14:31 PT] OK | PARSE | extracting acts/chapters from OCR text
[2026-06-01 14:31 PT] OK | PARSE | raw chapter markers found: 2
[2026-06-01 14:31 PT] OK | PARSE | acts with title: 2
[2026-06-01 14:31 PT] OK | PARSE | parse time: 0.00s
[2026-06-01 14:31 PT] OK | PARSE | acts/min: 60033.0
[2026-06-01 14:31 PT] OK | PARSE | wrote 2 acts to C:\Users\PatrickKolasinski\PatoLex-scratch\gate-b-1850\acts_1850_sample.json
[2026-06-01 14:31 PT] OK | PARSE | act[0] chap=28 date='Approved, April 14, 1802' title='AN ACT to establish u uniform rule of Nuturalization, arid to repeal the acta he'
[2026-06-01 14:31 PT] OK | PARSE | act[1] chap=47 date='' title='AN ACT in addition to an act entitled “ An act to establish a uniform rule of, N'
[2026-06-01 14:31 PT] OK | === BENCHMARK SUMMARY ===
[2026-06-01 14:31 PT] OK | ACQUIRE | 30.67 MB | pre-downloaded (no network transfer timed)
[2026-06-01 14:31 PT] OK | OCR     | 40 pages | 40.2s total | 1.0s/page | 59.63 p/min | engine=Tesseract5 | DPI=200
[2026-06-01 14:31 PT] OK | PARSE   | 2 acts extracted | 0.00s | 60033.0 acts/min
[2026-06-01 14:31 PT] OK | OUTPUT  | C:\Users\PatrickKolasinski\PatoLex-scratch\gate-b-1850\acts_1850_sample.json
[2026-06-01 14:31 PT] OK | === PatoLex 1850 Benchmark END ===
[2026-06-01 14:32 PT] OK | --- Pass 2: CA session law body pages (pages 55-94) ---
[2026-06-01 14:32 PT] OK | ACQUIRE | 30.67 MB | disk read time=0.02s (1796.2 MB/s local I/O)
[2026-06-01 14:32 PT] OK | ACQUIRE | NOTE: file pre-downloaded. To time network acquire, would need fresh download.
[2026-06-01 14:32 PT] OK | ACQUIRE | PDF: 480 pages, image-only (no text layer), PixEdit scan, ~67 KB/page avg
[2026-06-01 14:32 PT] OK | OCR | target pages 55-94 (1-indexed) | CA First Session body | DPI=200 | engine=Tesseract5
[2026-06-01 14:32 PT] OK | OCR | page 55 | 0.6s | chars=1880
[2026-06-01 14:32 PT] OK | OCR | page 56 | 1.0s | chars=4013
[2026-06-01 14:32 PT] OK | OCR | page 57 | 1.1s | chars=4133
[2026-06-01 14:32 PT] OK | OCR | page 58 | 1.0s | chars=4207
[2026-06-01 14:32 PT] OK | OCR | page 59 | 1.1s | chars=4156
[2026-06-01 14:32 PT] OK | OCR | page 60 | 1.3s | chars=5197
[2026-06-01 14:32 PT] OK | OCR | page 61 | 0.8s | chars=2990
[2026-06-01 14:32 PT] OK | OCR | page 62 | 1.3s | chars=5079
[2026-06-01 14:32 PT] OK | OCR | page 63 | 1.1s | chars=4393
[2026-06-01 14:32 PT] OK | OCR | page 64 | 1.1s | chars=4051
[2026-06-01 14:32 PT] OK | OCR | page 65 | 1.1s | chars=4388
[2026-06-01 14:33 PT] OK | OCR | page 66 | 0.8s | chars=2827
[2026-06-01 14:33 PT] OK | OCR | page 67 | 1.2s | chars=4567
[2026-06-01 14:33 PT] OK | OCR | page 68 | 1.1s | chars=4095
[2026-06-01 14:33 PT] OK | OCR | page 69 | 1.2s | chars=4664
[2026-06-01 14:33 PT] OK | OCR | page 70 | 1.2s | chars=4898
[2026-06-01 14:33 PT] OK | OCR | page 71 | 1.2s | chars=4696
