vol	flagged	garbage	roman	recoverable	garbage_pct
production-1993-vol1	6069	3980	20	2069	65.6
production-1996-vol1	5379	3017	11	2351	56.1
production-1999-vol1	4604	2490	6	2108	54.1
production-1991-vol1	3548	2485	0	1063	70.0
production-1995-vol1	4171	2334	8	1829	56.0
production-1994-vol1	4196	2251	9	1936	53.6
production-1992-vol2	3149	1944	0	1205	61.7
production-1873-74-code	5928	1707	1	4220	28.8
production-1865-66	8348	1526	274	6548	18.3
production-1981-vol1-chapters	2272	1435	1	836	63.2
production-1998-vol1	3021	1424	14	1583	47.1
production-1992-vol4	7647	1421	0	6226	18.6
production-1998-vol2	2213	1399	0	814	63.2
production-1977-vol1-chapters	2657	1369	2	1286	51.5
production-1978-vol1-chapters	2586	1359	0	1227	52.6
production-1980-vol1-chapters	2155	1341	1	813	62.2
production-1869-70	17501	1340	276	15885	7.7
production-1863	15099	1302	144	13653	8.6
production-1863-64	4973	1276	193	3504	25.7
production-1989-vol1-chapters	2784	1242	2	1540	44.6
production-1986-vol1-chapters	2800	1236	1	1563	44.1
production-1997-vol2	1926	1209	2	715	62.8
production-1990-vol2	2355	1206	2	1147	51.2
production-1867-68	5819	1190	307	4322	20.5
production-1862	13626	1178	136	12312	8.6
production-1873-74	7192	1162	299	5731	16.2
production-1988-vol1-chapters	2229	1149	0	1080	51.5
production-1984-vol1-chapters	2426	1140	1	1285	47.0
production-1871-72	5678	1135	279	4264	20.0
production-1987-vol1-chapters	2521	1122	1	1398	44.5
production-1985-vol1-chapters	2746	1114	1	1631	40.6
production-1975-vol1-chapters	2175	1040	2	1133	47.8
production-1976-vol1-chapters	1957	1038	1	918	53.0
production-1973-vol1-chapters	1774	966	1	807	54.5
production-1972-vol1-chapters	2119	943	4	1172	44.5
production-1983-vol1-chapters	1859	911	0	948	49.0
production-1991-vol2	1589	911	0	678	57.3
production-1974-vol1-chapters	1925	862	0	1063	44.8
production-1982-vol1-chapters	3472	836	1	2635	24.1
production-1980-vol3	1716	741	1	974	43.2
production-1997-vol1	1854	594	22	1238	32.0
production-1988-vol2	1732	592	3	1137	34.2
production-1979-vol1-chapters	1394	479	0	915	34.4
production-1910-11	18457	470	19	17968	2.5
production-1978-vol2	1145	440	2	703	38.4
production-1986-vol2	1281	438	0	843	34.2
production-1977-vol2	3053	415	2	2636	13.6
production-1974-vol2-chapters	946	401	2	543	42.4
production-1979-vol2	985	393	2	590	39.9
production-1984-vol2	1402	387	0	1015	27.6
production-1976-vol3	1091	384	1	706	35.2
production-1913-statutes	12508	377	8	12123	3.0
production-1992-vol3	1046	368	0	678	35.2
production-1983-vol2	1023	366	0	657	35.8
production-1982-vol3	1749	362	1	1386	20.7
production-1861	4432	359	202	3871	8.1
production-1921-vol1-chapters	15721	337	19	15365	2.1
production-1989-vol3	1210	334	1	875	27.6
production-1923-vol1-chapters	13905	298	10	13597	2.1
production-1992-vol1-statutes	780	292	0	488	37.4
production-1980-vol2	952	284	0	668	29.8
production-1915-vol1-chapters	15630	282	9	15339	1.8
production-1993-vol3	620	276	0	344	44.5
production-1907-09	9746	251	19	9476	2.6
production-1917-vol1-chapters	10729	244	12	10473	2.3
production-1933-vol1-chapters	16345	244	13	16088	1.5
production-1994-vol4	695	242	0	453	34.8
production-1981-vol2	710	219	0	491	30.8
production-1941-vol1-41chapters	11637	215	5	11417	1.8
production-1919-vol1-chapters	10057	213	11	9833	2.1
