vol	raw_flag	raw_tot	raw_pct	reunify_pct	split_pct	presonnet_pct	reduction_pct	n_reunify	n_split	n_autocorrect	t_load	t_reunify	t_split	t_autocorrect	t_total
production-1862	25693	313569	8.1937	7.9883	7.9767	4.336	47.2	640	32	11393	0.327	2.657	23.282	38.903	65.17
production-1873-74-code	7121	140868	5.0551	4.7182	4.6915	4.1826	17.5	447	33	715	0.179	0.706	21.994	24.316	47.2
production-1863	30801	420259	7.3291	7.1342	7.1217	3.5859	51.2	819	48	14831	0.402	3.287	23.504	41.286	68.48
production-1869-70	36711	492747	7.4503	7.292	7.2828	3.5429	52.5	750	41	18400	0.525	3.739	25.974	47.304	77.54
production-1915-vol1-chapters	34549	871422	3.9647	3.7597	3.7561	1.7848	55.1	1712	30	17144	0.765	5.525	19.835	39.608	65.73
production-1865-66	14633	469643	3.1158	2.9151	2.8992	1.7681	43.4	904	71	5303	0.426	2.581	19.471	27.535	50.01
production-1910-11	40814	1047505	3.8963	3.674	3.6699	1.7491	55.2	2183	41	20077	0.834	6.31	20.757	44.394	72.3
production-1923-vol1-chapters	33042	816606	4.0463	3.8271	3.8223	1.6955	58.2	1709	38	17330	0.681	5.074	16.469	34.261	56.49
production-1863-64	7915	301594	2.6244	2.3347	2.321	1.6344	37.9	827	40	2065	0.258	1.291	13.188	16.57	31.31
production-1907-09	22532	623954	3.6112	3.3962	3.3914	1.5542	57.1	1278	29	11439	0.557	3.417	11.366	24.449	39.79
production-1921-vol1-chapters	39231	1039634	3.7735	3.5384	3.5355	1.5048	60.2	2338	29	21063	0.907	5.9	17.215	35.8	59.82
production-1867-68	9719	399936	2.4301	2.1935	2.1835	1.4462	40.6	907	39	2942	0.321	1.846	12.012	16.942	31.12
production-1919-vol1-chapters	24587	703161	3.4966	3.291	3.2886	1.4228	59.4	1385	16	13093	0.526	4.145	11.564	25.218	41.45
production-1913-statutes	28366	871628	3.2544	3.0057	3.0026	1.4206	56.5	2022	26	13755	0.803	4.805	14.574	31.999	52.18
production-1873-74	13867	500313	2.7717	2.5108	2.4999	1.415	49.1	1206	52	5415	0.427	2.663	12.899	20.721	36.71
production-1992-vol4	11941	605773	1.9712	1.8243	1.8169	1.2619	36.1	865	43	3358	0.54	2.848	20.641	23.27	47.3
production-1861	9720	350151	2.7759	2.4502	2.4445	1.2457	55.3	1074	19	4184	0.265	1.648	5.853	11.569	19.34
production-1945-vol1-chapters	32503	1217340	2.67	2.3994	2.3956	1.2019	55.1	3132	44	14494	1.128	6.483	17.951	36.661	62.22
production-1943-vol1-42chapters	1139	38814	2.9345	2.6737	2.6737	1.1806	59.9	102	0	578	0.032	0.169	0.583	1.583	2.37
production-1885-86	3253	133315	2.4401	2.1337	2.1253	1.1766	51.9	361	11	1261	0.112	0.557	1.83	3.909	6.41
production-1917-vol1-chapters	25582	911978	2.8051	2.5791	2.5767	1.1673	58.5	1949	21	12825	0.751	4.702	12.555	25.964	43.97
production-1871-72	11518	498606	2.31	2.0815	2.0749	1.1282	51.3	1074	32	4710	0.443	2.415	13.142	19.543	35.54
production-1933-vol1-chapters	38537	1476165	2.6106	2.3281	2.3241	1.098	58.1	3951	57	18049	1.319	7.904	21.033	45.901	76.16
production-1877-78	12023	553670	2.1715	1.9303	1.9198	1.0297	52.7	1245	57	4917	0.41	2.401	6.818	14.522	24.15
production-1935-vol1-chapters	29150	1204397	2.4203	2.1338	2.131	1.0212	57.9	3238	33	13329	1.046	6.262	16.866	34.836	59.01
production-1988-vol4-chapters	7359	412746	1.7829	1.6222	1.6145	1.0191	42.9	646	31	2454	0.338	1.911	3.363	5.361	10.97
production-1893	6784	349717	1.9399	1.7146	1.6989	1.0143	47.8	697	54	2389	0.285	1.566	3.779	7.803	13.43
production-1949-vol1-chapters	30855	1441795	2.14	1.8893	1.8855	0.9992	53.4	3405	53	12747	1.309	7.23	15.21	32.346	56.09
production-1883-84	75	4001	1.8745	1.6533	1.6533	0.977	48.0	8	0	27	0.0	0.016	0.064	0.063	0.14
production-1880	2942	144171	2.0406	1.7741	1.7549	0.9748	52.3	359	27	1122	0.128	0.62	1.916	3.917	6.58
production-1875-76-code	989	50003	1.9779	1.7656	1.7534	0.9739	50.9	100	6	389	0.034	0.189	0.553	1.324	2.1
production-1887	2583	143358	1.8018	1.5435	1.5271	0.9593	46.9	340	23	812	0.084	0.57	1.44	2.773	4.87
production-1947-vol1-46chapters	4235	198298	2.1357	1.8961	1.8931	0.9357	56.3	464	6	1894	0.175	0.993	1.931	4.732	7.83
production-1905	8327	515191	1.6163	1.4063	1.3986	0.9285	42.7	966	39	2417	0.368	2.217	4.239	8.646	15.47
production-1943-vol1-chapters	28158	1400510	2.0106	1.7377	1.7336	0.9151	54.6	3560	56	11433	1.318	6.529	15.706	32.79	56.34
production-1941-vol1-41chapters	24259	1280842	1.894	1.6142	1.6091	0.8989	52.7	3368	63	9072	1.099	5.997	13.205	26.305	46.61
production-1877-78-code	1003	53636	1.87	1.6057	1.5943	0.8972	52.1	132	6	373	0.041	0.227	0.761	1.208	2.24
production-1987-vol4-chapters	6373	393078	1.6213	1.4648	1.4581	0.8945	44.9	606	26	2212	0.266	1.763	3.471	5.429	10.93
production-1947-vol1-chapters	27755	1404264	1.9765	1.7251	1.7222	0.8943	54.9	3337	40	11598	1.224	6.75	14.37	30.75	53.09
production-1899	4502	263308	1.7098	1.5096	1.5007	0.8865	48.2	493	23	1614	0.161	1.223	2.41	4.997	8.79
