vol	in_act_order	chapter_raw	ocr_chapter	corrected_chapter	tier	reason
production-1861	3	VIL	7	7	OCR_PLAUSIBLE	ocr_fits(5<7<8)
production-1861	7	XI1	12	12	AUTO	bracket(11<13)
production-1861	12	XXTI	22	22	OCR_PLAUSIBLE	ocr_fits(16<22<24)
production-1861	17	XXVIIIl	29	29	OCR_PLAUSIBLE	ocr_fits(27<29<34)
production-1861	18	XXX1	31	31	OCR_PLAUSIBLE	ocr_fits(27<31<34)
production-1861	19	XXXTII	33	33	OCR_PLAUSIBLE	ocr_fits(27<33<34)
production-1861	29	XLVIIL	48	48	OCR_PLAUSIBLE	ocr_fits(46<48<50)
production-1861	35	LVIIL	58	58	AUTO	bracket(57<59)
production-1861	39	LXIJ	62	62	CONFIRMED	fill_agrees(61)
production-1861	44	LXXIIT	73	73	OCR_PLAUSIBLE	ocr_fits(70<73<76)
production-1861	46	LXXVIIIL	79	79	OCR_PLAUSIBLE	ocr_fits(76<79<80)
production-1861	49	LXXXIIT	83	83	OCR_PLAUSIBLE	ocr_fits(81<83<89)
production-1861	57	CIIL	103	103	OCR_PLAUSIBLE	ocr_fits(101<103<104)
production-1861	61	CVITI	108	108	AUTO	bracket(107<109)
production-1861	65	CXIJ	112	112	CONFIRMED	fill_agrees(111)
production-1861	75	CXXVIL	127	127	CONFIRMED	fill_agrees(126)
production-1861	77	CXXXJ	131	131	CONFIRMED	fill_agrees(130)
production-1861	78	CXXXITI	133	133	OCR_PLAUSIBLE	ocr_fits(130<133<135)
production-1861	80	CXXXVIL	137	137	OCR_PLAUSIBLE	ocr_fits(135<137<139)
production-1861	89	CLIL	152	152	OCR_PLAUSIBLE	ocr_fits(149<152<156)
production-1861	90	CLIIL	153	153	OCR_PLAUSIBLE	ocr_fits(149<153<156)
production-1861	91	Cly	101		REVIEW	fill_disagrees(ocr=101,fill=152)
production-1861	104	CLXXIITI	174	173	AUTO	bracket(172<174)
production-1861	115	CCIL	202	202	OCR_PLAUSIBLE	ocr_fits(200<202<203)
production-1861	119	CCVIT	207	207	OCR_PLAUSIBLE	ocr_fits(204<207<215)
production-1861	120	CCXIJI	213	213	OCR_PLAUSIBLE	ocr_fits(204<213<215)
production-1861	126	CCXXYV	225	225	OCR_PLAUSIBLE	ocr_fits(222<225<229)
production-1861	133	CCXLYVI	246	246	OCR_PLAUSIBLE	ocr_fits(243<246<249)
production-1861	137	CCLITI	253	253	AUTO	bracket(252<254)
production-1861	147	CCLXXVIT	277	277	OCR_PLAUSIBLE	ocr_fits(275<277<279)
production-1861	152	CCCIIL	303	303	OCR_PLAUSIBLE	ocr_fits(301<303<304)
production-1861	154	CCCVIIL	308	308	OCR_PLAUSIBLE	ocr_fits(304<308<309)
production-1861	158	CCCXIIL	313	313	OCR_PLAUSIBLE	ocr_fits(311<313<318)
production-1861	159	CCCXVIT	317	317	OCR_PLAUSIBLE	ocr_fits(311<317<318)
production-1861	161	CCCXTX	319	319	AUTO	bracket(318<320)
production-1861	171	CCCXLIT	342	342	CONFIRMED	fill_agrees(341)
production-1861	177	CCCLIT	352	352	OCR_PLAUSIBLE	ocr_fits(350<352<354)
production-1861	178	CCCLITI	353	353	OCR_PLAUSIBLE	ocr_fits(350<353<354)
production-1861	185	CCCLXIIT	363	363	OCR_PLAUSIBLE	ocr_fits(361<363<364)
production-1861	188	CCCLXVIT	367	367	OCR_PLAUSIBLE	ocr_fits(365<367<370)
production-1861	197	CCCXCIIT	393	393	AUTO	bracket(392<394)
production-1861	202	CCCCIL	402	402	AUTO	bracket(401<403)
production-1861	206	CCCCVITI	408	408	OCR_PLAUSIBLE	ocr_fits(406<408<413)
production-1861	207	CCCCTX	409	409	OCR_PLAUSIBLE	ocr_fits(406<409<413)
