vol	order	resolved_chapter	source
production-1861	218	443	hand
production-1861	91	155	hand
production-1862	14	56	LVI
production-1862	142	405	CCCCV
production-1862	143	409	CCCCIX
production-1862	154	442	CCCCXLII
production-1862	20	72	LXXII
production-1862	25	83	LXXXIII
production-1862	52	148	CXLVIII
production-1862	62	168	CLXVIII
production-1862	63	169	CLXIX
production-1863	0	1	I
production-1863	110	245	vision
production-1863	189	504	vision
production-1863	28	42	XLII
production-1863	30	47	XLVII
production-1863	32	50	L
production-1863	60	104	CIV
production-1863	70	123	CXXIII
production-1863-64	216	403	vision
production-1863-64	31	52	vision
production-1865-66	107	193	handread
production-1865-66	153	303	handread
production-1865-66	30	42	handread
production-1865-66	320	641	handread
production-1867-68	130	144	vision
production-1867-68	193	225	handread
production-1867-68	2	4	vision
production-1867-68	246	294	vision
production-1867-68	278	335	vision
production-1867-68	335	425	handread
production-1867-68	356	465	handread
production-1867-68	385	517	vision
production-1867-68	40	44	vision
production-1867-68	409	545	vision
production-1867-68	68	74	vision
production-1869-70	104	142	vision
production-1869-70	106	145	handread
production-1869-70	115	154	vision
production-1869-70	129	175	vision
production-1869-70	137	193	vision
production-1869-70	140	201	handread
production-1869-70	143	205	vision
production-1869-70	186	284	handread
production-1869-70	212	335	vision
production-1869-70	233	394	handread
production-1869-70	26	35	vision
production-1869-70	263	455	handread
production-1869-70	271	495	vision
production-1869-70	316	553	vision
production-1869-70	330	572	vision
production-1869-70	332	574	handread
production-1869-70	44	58	vision
production-1869-70	82	113	vision
production-1869-70	91	127	vision
production-1871-72	113	154	CLIV
production-1871-72	114	156	CLVI
production-1871-72	115	157	CLVII
production-1871-72	145	205	CCV
production-1871-72	146	206	CCVI
production-1871-72	175	245	CCXLV
production-1871-72	200	294	CCXCIV
production-1871-72	235	345	CCCXLV
production-1871-72	247	365	CCCLXV
production-1871-72	285	442	CCCCXLII
production-1871-72	292	455	CCCCLV
production-1871-72	296	465	CCCCLXV
production-1871-72	309	504	DIV
production-1871-72	332	534	DXXXIV
production-1871-72	335	545	DXLV
production-1871-72	341	551	DLI
production-1871-72	355	575	DLXXV
production-1871-72	58	75	LXXV
production-1871-72	79	104	CIV
production-1873-74	14	24	handread
production-1873-74	141	216	vision
production-1873-74	151	234	handread
production-1873-74	164	255	vision
production-1873-74	19	35	vision
production-1873-74	206	335	vision
production-1873-74	219	354	vision
production-1873-74	221	356	handread
production-1873-74	239	406	handread
production-1873-74	252	445	handread
production-1873-74	263	465	handread
production-1873-74	269	494	vision
production-1873-74	274	503	vision
production-1873-74	294	527	vision
production-1873-74	300	535	vision
production-1873-74	318	576	handread
production-1873-74	319	577	handread
production-1873-74	32	55	vision
production-1873-74	328	602	vision
production-1873-74	335	612	vision
production-1873-74	361	657	handread
production-1873-74	58	94	vision
production-1873-74	77	115	handread
production-1873-74	93	135	handread
production-1875-76	291	507	handread
production-1875-76	337	572	vision
production-1875-76	50	67	handread
production-1875-76	79	111	handread
production-1877-78	1	3	handread
production-1877-78	41	53	vision
production-1877-78	48	62	vision
production-1880	106	123	CXXIII
production-1880	33	38	XXXVIII
production-1881	59	76	LXXVI
production-1883-84-regular	42	54	handread
