vol	order	resolved_chapter	read_as
production-1865-66	30	42	XLII
production-1865-66	107	193	CXCIII
production-1865-66	153	303	CCCIII
production-1865-66	320	641	DCXLI
production-1867-68	193	225	CCXXV
production-1867-68	335	425	CCCCXXV
production-1867-68	356	465	CCCCLXV
production-1869-70	106	145	CXLV
production-1869-70	140	201	CCI
production-1869-70	186	284	CCLXXXIV
production-1869-70	233	394	CCCXCIV
production-1869-70	263	455	CCCCLV
production-1869-70	332	574	DLXXIV
production-1873-74	14	24	XXIV
production-1873-74	77	115	CXV
production-1873-74	93	135	CXXXV
production-1873-74	151	234	CCXXXIV
production-1873-74	221	356	CCCLVI
production-1873-74	239	406	CCCCVI
production-1873-74	252	445	CCCCXLV
production-1873-74	263	465	CCCCLXV
production-1873-74	318	576	DLXXVI
production-1873-74	319	577	DLXXVII
production-1873-74	361	657	DCLVII
production-1875-76	50	67	LXVII
production-1875-76	79	111	CXI
production-1875-76	291	507	DVII
production-1877-78	1	3	III
production-1891	176	202	CCII
production-1899	102	137	CXXXVII
production-1899	107	143	CXLIII
production-1899	169	215	CCXV
production-1900-01	52	65	LXV
production-1900-01	198	241	CCXLI
production-1900-01	229	275	CCLXXV
