vol	raw	ocr_value	reconstructed	anchor_before	anchor_after
production-1862	d	500	148	147	149
production-1862	CCCLVIT	357	358	357	359
production-1861	CLXXIITI	174	173	172	174
production-1880	XLYI	41	46	45	47
production-1880	XLVIITI	49	48	47	49
production-1863	Ii	2	50	49	51
production-1867-68	IY	1	4	3	5
production-1867-68	XXXY	30	35	34	36
production-1867-68	LY	50	55	54	56
production-1867-68	LXXIY	71	74	72	75
production-1867-68	LXXXTY	81	84	82	86
production-1867-68	CY	100	105	104	106
production-1867-68	CXxX	130	120	119	121
production-1867-68	CLY	150	155	154	156
production-1867-68	CXCTI	192	191	190	192
production-1867-68	CXCIITI	194	193	192	195
production-1867-68	CCXY	210	215	214	216
production-1867-68	CCXxX	230	220	219	221
production-1867-68	CCLY	250	255	254	256
production-1867-68	CCCLY	350	304	303	306
production-1867-68	CCCY	300	305	303	306
production-1867-68	CCCXXY	320	325	324	326
production-1867-68	CCCLY	350	355	354	356
production-1867-68	CCCLXXY	370	375	374	376
production-1867-68	CCCCXY	410	415	414	416
production-1867-68	CCCCLY	450	455	454	456
production-1867-68	CCCCXCY	490	495	494	496
production-1867-68	DITII	504	503	502	504
production-1867-68	DVIIIL	509	508	507	509
production-1867-68	DXYIII	513	518	516	519
production-1885-86	CXLVIT	147	148	146	149
production-1865-66	CLXXXTI	182	183	182	184
production-1887	XY	10	15	14	16
production-1887	XXXVIITI	39	38	37	39
production-1887	CXVv	120	115	114	116
production-1887	CXLY	140	145	144	146
production-1869-70	LY	50	55	54	56
production-1869-70	LXVIITI	69	68	67	69
production-1869-70	DXXXVIL	537	87	86	88
production-1869-70	CXXXY	130	135	134	136
production-1869-70	Ci	101	150	149	151
production-1869-70	CLIY	151	154	153	156
production-1869-70	CLY	150	155	153	156
production-1869-70	CCCCXXY	420	425	424	426
production-1869-70	DXXY	520	525	524	526
production-1871-72	XY	10	15	14	16
production-1871-72	XXYII	22	27	26	28
production-1871-72	XXXTI	32	31	30	32
production-1871-72	CXXXVITI	138	137	136	139
production-1871-72	CLXXIY	171	174	172	176
