vol	order	resolved_chapter	source
production-1863	110	245	vision
production-1863	189	504	vision
production-1863-64	216	403	vision
production-1863-64	31	52	vision
production-1865-66	107	193	handread
production-1865-66	153	303	handread
production-1865-66	30	42	handread
production-1865-66	320	641	handread
production-1867-68	130	144	vision
production-1867-68	193	225	handread
production-1867-68	2	4	vision
production-1867-68	246	294	vision
production-1867-68	278	335	vision
production-1867-68	335	425	handread
production-1867-68	356	465	handread
production-1867-68	385	517	vision
production-1867-68	40	44	vision
production-1867-68	409	545	vision
production-1867-68	68	74	vision
production-1869-70	104	142	vision
production-1869-70	106	145	handread
production-1869-70	115	154	vision
production-1869-70	129	175	vision
production-1869-70	137	193	vision
production-1869-70	140	201	handread
production-1869-70	143	205	vision
production-1869-70	186	284	handread
production-1869-70	212	335	vision
production-1869-70	233	394	handread
production-1869-70	26	35	vision
production-1869-70	263	455	handread
production-1869-70	271	495	vision
production-1869-70	316	553	vision
production-1869-70	330	572	vision
production-1869-70	332	574	handread
production-1869-70	44	58	vision
production-1869-70	82	113	vision
production-1869-70	91	127	vision
production-1873-74	14	24	handread
production-1873-74	141	216	vision
production-1873-74	151	234	handread
production-1873-74	164	255	vision
production-1873-74	19	35	vision
production-1873-74	206	335	vision
production-1873-74	219	354	vision
production-1873-74	221	356	handread
production-1873-74	239	406	handread
production-1873-74	252	445	handread
production-1873-74	263	465	handread
production-1873-74	269	494	vision
production-1873-74	274	503	vision
production-1873-74	294	527	vision
production-1873-74	300	535	vision
production-1873-74	318	576	handread
production-1873-74	319	577	handread
production-1873-74	32	55	vision
production-1873-74	328	602	vision
production-1873-74	335	612	vision
production-1873-74	361	657	handread
production-1873-74	58	94	vision
production-1873-74	77	115	handread
production-1873-74	93	135	handread
production-1875-76	291	507	handread
production-1875-76	337	572	vision
production-1875-76	50	67	handread
production-1875-76	79	111	handread
production-1877-78	1	3	handread
production-1877-78	41	53	vision
production-1877-78	48	62	vision
production-1891	170	195	vision
production-1891	176	202	handread
production-1891	55	60	vision
production-1895	143	153	vision
production-1899	102	137	handread
production-1899	107	143	handread
production-1899	109	145	vision
production-1899	169	215	handread
production-1899	36	45	vision
production-1899	50	65	vision
production-1900-01	198	241	handread
production-1900-01	229	275	handread
production-1900-01	52	65	handread
production-1971-vol1-chapters	1034	1235	tess_arabic
production-1982-vol3	72	830	tess_arabic
production-1999-vol4	159	929	vision
