vol	order	resolved_chapter	source
production-1863	110	245	CCXLV
production-1863	189	504	DIV
production-1863-64	216	403	CCCCIII
production-1863-64	31	52	LII
production-1867-68	130	144	CXLIV
production-1867-68	2	4	IV
production-1867-68	246	294	CCXCIV
production-1867-68	278	335	CCCXXXV
production-1867-68	385	517	DXVII
production-1867-68	40	44	XLIV
production-1867-68	409	545	DXLV
production-1867-68	68	74	LXXIV
production-1869-70	104	142	CXLII
production-1869-70	115	154	CLIV
production-1869-70	129	175	CLXXV
production-1869-70	137	193	CXCIII
production-1869-70	143	205	CCV
production-1869-70	212	335	CCCXXXV
production-1869-70	26	35	XXXV
production-1869-70	271	495	CCCCXCV
production-1869-70	316	553	DLIII
production-1869-70	330	572	DLXXII
production-1869-70	44	58	LVIII
production-1869-70	82	113	CXIII
production-1869-70	91	127	CXXVII
production-1873-74	141	216	CCXVI
production-1873-74	164	255	CCLV
production-1873-74	19	35	XXXV
production-1873-74	206	335	CCCXXXV
production-1873-74	219	354	CCCLIV
production-1873-74	269	494	CCCCXCIV
production-1873-74	274	503	DIII
production-1873-74	294	527	DXXVII
production-1873-74	300	535	DXXXV
production-1873-74	32	55	LV
production-1873-74	328	602	DCII
production-1873-74	335	612	DCXII
production-1873-74	58	94	XCIV
production-1875-76	337	572	DLXXII
production-1877-78	41	53	LIII
production-1877-78	48	62	LXII
production-1891	170	195	CXCV
production-1891	55	60	LX
production-1895	143	153	CLIII
production-1899	109	145	CXLV
production-1899	36	45	XLV
production-1899	50	65	LXV
production-1971-vol1-chapters	1034	1235	tess_arabic
production-1982-vol3	72	830	tess_arabic
production-1999-vol4	159	929	929
