vol	order	source_page	pdf	staged	tess_cands	det_hint
production-1863	110	385	1863_Statutes.pdf	True		
production-1863	189	822	1863_Statutes.pdf	True		
production-1863-64	31	130	1863-64_Statutes.pdf	True		
production-1863-64	216	543	1863-64_Statutes.pdf	True		
production-1865-66	30	116	1865-66_Statutes.pdf	True		
production-1865-66	107	262	1865-66_Statutes.pdf	True		
production-1865-66	153	425	1865-66_Statutes.pdf	True		
production-1865-66	320	949	1865-66_Statutes.pdf	True		
production-1867-68	2	75	1867-68_Statutes.pdf	True	I	
production-1867-68	40	113	1867-68_Statutes.pdf	True		
production-1867-68	68	138	1867-68_Statutes.pdf	True		
production-1867-68	130	194	1867-68_Statutes.pdf	True	CX	
production-1867-68	193	291	1867-68_Statutes.pdf	True		
production-1867-68	246	394	1867-68_Statutes.pdf	True		
production-1867-68	278	476	1867-68_Statutes.pdf	True	CCCXXX	
production-1867-68	335	613	1867-68_Statutes.pdf	True	CCCC	
production-1867-68	356	690	1867-68_Statutes.pdf	True		
production-1867-68	385	757	1867-68_Statutes.pdf	True	DXVII	517
production-1867-68	409	795	1867-68_Statutes.pdf	True	DXL	
production-1869-70	26	104	1869-70_Statutes.pdf	True		
production-1869-70	44	128	1869-70_Statutes.pdf	True		
production-1869-70	82	170	1869-70_Statutes.pdf	True	CXI	111
production-1869-70	91	186	1869-70_Statutes.pdf	True	CXXVII	127
production-1869-70	104	209	1869-70_Statutes.pdf	True		
production-1869-70	106	262	1869-70_Statutes.pdf	True		
production-1869-70	115	285	1869-70_Statutes.pdf	True	CLIV	154
production-1869-70	129	305	1869-70_Statutes.pdf	True		
production-1869-70	137	360	1869-70_Statutes.pdf	True	CXC	
production-1869-70	140	367	1869-70_Statutes.pdf	True		
production-1869-70	143	370	1869-70_Statutes.pdf	True	CCIV	
production-1869-70	186	458	1869-70_Statutes.pdf	True	CCLXXXIV	284
production-1869-70	212	506	1869-70_Statutes.pdf	True	CCCXXX	
production-1869-70	233	614	1869-70_Statutes.pdf	True	CCCXCIV	394
production-1869-70	263	726	1869-70_Statutes.pdf	True		
production-1869-70	271	788	1869-70_Statutes.pdf	True	CC	
production-1869-70	316	886	1869-70_Statutes.pdf	True		
production-1869-70	330	938	1869-70_Statutes.pdf	True	DLXXI	
production-1869-70	332	942	1869-70_Statutes.pdf	True		
production-1873-74	14	113	1873-74_Statutes.pdf	True		
production-1873-74	19	121	1873-74_Statutes.pdf	True	XXXX	
production-1873-74	32	144	1873-74_Statutes.pdf	True	LV|LVL	55
production-1873-74	58	193	1873-74_Statutes.pdf	True	XCIV	94
production-1873-74	77	229	1873-74_Statutes.pdf	True		
production-1873-74	93	264	1873-74_Statutes.pdf	True		
production-1873-74	141	410	1873-74_Statutes.pdf	True	CCXVL	
production-1873-74	151	428	1873-74_Statutes.pdf	True	C	
production-1873-74	164	441	1873-74_Statutes.pdf	True	CCL	
production-1873-74	206	582	1873-74_Statutes.pdf	True	CCCXXX	
production-1873-74	219	607	1873-74_Statutes.pdf	True	CCCLI	
production-1873-74	221	609	1873-74_Statutes.pdf	True	CCC	
production-1873-74	239	671	1873-74_Statutes.pdf	True	CCCCVL	
production-1873-74	252	711	1873-74_Statutes.pdf	True	CCCCXL	
production-1873-74	263	787	1873-74_Statutes.pdf	True		
production-1873-74	269	812	1873-74_Statutes.pdf	True	CCCCXCIV	494
production-1873-74	274	822	1873-74_Statutes.pdf	True	DII	
production-1873-74	294	852	1873-74_Statutes.pdf	True	DXXVI	526
production-1873-74	300	862	1873-74_Statutes.pdf	True	DXXXV	535
production-1873-74	318	897	1873-74_Statutes.pdf	True	DIXXV	
production-1873-74	319	906	1873-74_Statutes.pdf	True		
production-1873-74	328	935	1873-74_Statutes.pdf	True		
production-1873-74	335	949	1873-74_Statutes.pdf	True	DCXIL|D	
production-1873-74	361	999	1873-74_Statutes.pdf	True	DCLVIL|DCL	
production-1875-76	50	109	1875-76_Statutes.pdf	True	LX	
production-1875-76	79	145	1875-76_Statutes.pdf	True		
production-1875-76	291	827	1875-76_Statutes.pdf	True		
production-1875-76	337	923	1875-76_Statutes.pdf	True		
production-1877-78	1	70	1877-78_Statutes.pdf	True		
production-1877-78	41	140	1877-78_Statutes.pdf	True		
production-1877-78	48	147	1877-78_Statutes.pdf	True		
production-1883-84-regular	42	329	1883-84_Statutes.pdf	False		
production-1891	55	112	1891_Statutes.pdf	True	LX	60
production-1891	170	334	1891_Statutes.pdf	True	CXCV	195
production-1891	176	338	1891_Statutes.pdf	True	CCI	
production-1895	143	213	1895_Statutes.pdf	True	CLII	152
production-1899	36	103	1899_Statutes.pdf	True	XLV	45
production-1899	50	136	1899_Statutes.pdf	True		
production-1899	102	232	1899_Statutes.pdf	True	CXXXVIL	
production-1899	107	237	1899_Statutes.pdf	True		
production-1899	109	238	1899_Statutes.pdf	True	CXLIV	
production-1899	169	274	1899_Statutes.pdf	True	CCX	
production-1900-01	52	142	1900-01_Statutes.pdf	True	LXV	65
production-1900-01	198	858	1900-01_Statutes.pdf	True	CCXLI	241
production-1900-01	229	882	1900-01_Statutes.pdf	True		
production-1999-vol4	159	1121	1999_Vol4.pdf	True		
