vol	order	resolved_chapter	source
production-1861	218	443	hand
production-1861	91	155	hand
production-1905	202	241	hand
production-1905	40	44	hand
production-1905	450	563	DLXIII
production-1905	458	571	hand
production-1905	465	582	DLXXXII
production-1927-vol1-chapters	701	811	811
production-1935-vol1-chapters	90	105	hand
production-1941-vol1-41chapters	681	1132	hand
production-1941-vol1-41chapters	728	1206	1206
production-1945-vol1-chapters	1040	1305	1305
production-1945-vol1-chapters	1089	1370	1370
production-1945-vol1-chapters	1095	1378	1378
production-1945-vol1-chapters	1099	1383	1383
production-1945-vol1-chapters	1110	1399	1399
production-1945-vol1-chapters	1121	1414	1414
production-1945-vol1-chapters	1135	1439	1439
production-1945-vol1-chapters	964	1195	1195
production-1947-vol1-chapters	922	1036	1036
production-1949-vol1-chapters	773	1043	1043
production-1949-vol1-chapters	926	1236	1236
production-1951-vol2-chapters	10	1035	1035
production-1951-vol2-chapters	11	1037	1037
production-1951-vol2-chapters	201	1263	1263
production-1951-vol2-chapters	252	1328	1328
production-1953-vol2-chapters	640	1773	1773
production-1955-vol2-chapters	537	1853	1853
production-1957-vol1-57chapters	846	1134	1134
production-1957-vol1-57chapters	974	1302	1302
production-1957-vol2-57chapters	695	2153	2153
production-1957-vol2-57chapters	880	2351	2351
production-1957-vol2-57chapters	897	2371	2371
production-1959-vol1-59chapters	359	416	416
production-1961-vol1-61chapters	869	1233	1233
production-1961-vol2-chapters	165	1433	1433
production-1961-vol2-chapters	529	1843	1843
production-1961-vol2-chapters	57	1310	1310
production-1963-vol1-63chapters	31	35	35
production-1963-vol2-chapters	1017	2143	2143
production-1963-vol2-chapters	303	1382	1382
production-1963-vol2-chapters	735	1836	1836
production-1963-vol2-chapters	736	1837	1837
production-1963-vol2-chapters	827	1937	1937
production-1965-vol2	796	1377	1377
production-1968-vol2-chapters	179	1163	1163
production-1968-vol2-chapters	241	1243	1243
production-1968-vol2-chapters	317	1345	1345
production-1971-vol1-chapters	1033	1234	1234
production-1971-vol1-chapters	1062	1273	1273
production-1971-vol1-chapters	1070	1288	1288
production-1971-vol1-chapters	768	907	907
production-1971-vol1-chapters	944	1120	1120
production-1971-vol2	14	1321	1321
production-1971-vol2	384	1797	1797
production-1971-vol2	79	1401	1401
production-1975-vol1-chapters	129	134	134
production-1979-vol3	182	1201	1201
production-1979-vol3	49	1033	1033
production-1982-vol5	85	1615	1615
production-1988-vol3	71	1313	1313
