vol	in_act_order	chapter_raw	ocr_value	vision_value	raw_response
production-1861	91	Cly	101		UNKNOWN
production-1861	218	CCCCXLIY	441	443	CCCCXLIII
production-1862	14	TVI	5		NO_IMAGE
production-1862	20	XXTI	22		NO_IMAGE
production-1862	25	LXXXTI	82		NO_IMAGE
production-1862	52	d	500		NO_IMAGE
production-1862	62	CLXVITT	168		NO_IMAGE
production-1862	63	CLXTX	169		NO_IMAGE
production-1862	142	CCCCYV	405		NO_IMAGE
production-1862	143	CCCCTIX	410		NO_IMAGE
production-1862	154	CCCCLIT	452		NO_IMAGE
production-1863	0	IL	2		NO_IMAGE
production-1863	28	XTTIT	14		NO_IMAGE
production-1863	30	XTVIT	16		NO_IMAGE
production-1863	32	Ii	2		NO_IMAGE
production-1863	60	CLY	150		NO_IMAGE
production-1863	70	CXXTMI	1120		NO_IMAGE
production-1863	110	CCXTLV	264		NO_IMAGE
production-1863	189	D1LV	554		NO_IMAGE
production-1863-64	31	LIITI	54		NO_IMAGE
production-1863-64	216	CCCCIY	401		NO_IMAGE
production-1865-66	30	XIIITI	15		NO_IMAGE
production-1865-66	107	CXCIY	191		NO_IMAGE
production-1865-66	153	CCCLTV	354		NO_IMAGE
production-1865-66	320	DCXI1	612		NO_IMAGE
production-1867-68	2	IY	1		NO_IMAGE
production-1867-68	40	XLIY	41		NO_IMAGE
production-1867-68	68	LXXIY	71		NO_IMAGE
production-1867-68	130	CXLY	140		NO_IMAGE
production-1867-68	193	CCXXY	220		NO_IMAGE
production-1867-68	246	CCXCIY	291		NO_IMAGE
production-1867-68	278	CCCXXXY	330		NO_IMAGE
production-1867-68	335	CCCCXXY	420		NO_IMAGE
production-1867-68	356	CCCCLXY	460		NO_IMAGE
production-1867-68	385	DXYIII	513		NO_IMAGE
production-1867-68	409	DXLY	540		NO_IMAGE
production-1869-70	26	XXXY	30		NO_IMAGE
production-1869-70	44	LYIII	53		NO_IMAGE
production-1869-70	82	CXI1V	115		NO_IMAGE
production-1869-70	91	CXXVITII	129		NO_IMAGE
production-1869-70	104	CXMIL	1092		NO_IMAGE
production-1869-70	106	CXLYV	145		NO_IMAGE
production-1869-70	115	CLY	150		NO_IMAGE
production-1869-70	129	CLXXY	170		NO_IMAGE
production-1869-70	137	CXCLIL	242		NO_IMAGE
production-1869-70	140	CCl	201		NO_IMAGE
production-1869-70	143	CCY	200		NO_IMAGE
production-1869-70	186	CCLXXXY	280		NO_IMAGE
production-1869-70	212	CCCXXXY	330		NO_IMAGE
production-1869-70	233	CCCXCLY	440		NO_IMAGE
production-1869-70	263	CCCCLY	450		NO_IMAGE
production-1869-70	271	CCCCXCY	490		NO_IMAGE
production-1869-70	316	DIL	502		NO_IMAGE
production-1869-70	330	DLXXT	571		NO_IMAGE
production-1869-70	332	DLXXY	570		NO_IMAGE
production-1871-72	58	LXXYV	75		NO_IMAGE
production-1871-72	79	CIY	101		NO_IMAGE
production-1871-72	113	CLIYV	154		NO_IMAGE
production-1871-72	114	CLYVI	156		NO_IMAGE
production-1871-72	115	CLYII	152		NO_IMAGE
production-1871-72	145	CCY	200		NO_IMAGE
production-1871-72	146	CCYI	201		NO_IMAGE
production-1871-72	175	CCXLY	240		NO_IMAGE
production-1871-72	200	CCXCIY	291		NO_IMAGE
production-1871-72	235	CCCXLY	340		NO_IMAGE
production-1871-72	247	CCCLXY	360		NO_IMAGE
