# Coherence Check Run Log — Layers 1-3 + synthesis (workflow wf_d3987048-4a8)
# Format: [YYYY-MM-DD HH:MM PT] PHASE | Description | OK/WARN/FAIL

[2026-06-09 ~20:30 PT] LAYER1 | Deterministic structural check complete: 75,340 acts / 195 vols; chapter-issue ~10-11% in 19th-c vs 0.5% modern; worklist = 14,054 at-risk acts written | OK
[2026-06-09 ~21:00 PT] LAYER2-3 | Workflow wf_d3987048-4a8 launched (L2 haiku -> L3 sonnet -> synth); 352 L2 batches @40 acts, 16 concurrent | OK
[2026-06-09 overnight] WORKFLOW | FROZE on interactive auth popup -- nothing ran overnight. PROCESS ERROR: used the auth-gated Workflow tool for an unattended/asleep run; should have used plain background subagents | FAIL
[2026-06-10 morning] WORKFLOW | Authorized by Patrick; Layer 2 fan-out resumed/running | OK
[2026-06-10 morning] HYGIENE | RULE VIOLATION: run-log progress logging was never wired into the workflow spec. External progress sampler started below to capture measured rate + recoverable trail (75s interval) | WARN
[2026-06-10 05:36:22 PT] PROGRESS | L2=44/352 (+0 per 75s) L3batches=0 memFreeGB=3.79 | OK
[2026-06-10 05:37:37 PT] PROGRESS | L2=48/352 (+4 per 75s) L3batches=0 memFreeGB=3.38 | OK
[2026-06-10 05:38:52 PT] PROGRESS | L2=52/352 (+4 per 75s) L3batches=0 memFreeGB=3.81 | OK
[2026-06-10 05:40:08 PT] PROGRESS | L2=57/352 (+5 per 75s) L3batches=0 memFreeGB=3.66 | OK
[2026-06-10 05:41:23 PT] PROGRESS | L2=63/352 (+6 per 75s) L3batches=0 memFreeGB=3.89 | OK
[2026-06-10 05:42:38 PT] PROGRESS | L2=71/352 (+8 per 75s) L3batches=0 memFreeGB=3.69 | OK
[2026-06-10 05:43:53 PT] PROGRESS | L2=78/352 (+7 per 75s) L3batches=0 memFreeGB=3.38 | OK
[2026-06-10 05:45:08 PT] PROGRESS | L2=82/352 (+4 per 75s) L3batches=0 memFreeGB=3.89 | OK
[2026-06-10 05:46:24 PT] PROGRESS | L2=87/352 (+5 per 75s) L3batches=0 memFreeGB=3.51 | OK
[2026-06-10 05:47:39 PT] PROGRESS | L2=94/352 (+7 per 75s) L3batches=0 memFreeGB=3.92 | OK
[2026-06-10 05:48:54 PT] PROGRESS | L2=100/352 (+6 per 75s) L3batches=0 memFreeGB=3.7 | OK
[2026-06-10 05:50:09 PT] PROGRESS | L2=108/352 (+8 per 75s) L3batches=0 memFreeGB=4.2 | OK
[2026-06-10 05:51:24 PT] PROGRESS | L2=112/352 (+4 per 75s) L3batches=0 memFreeGB=3.74 | OK
[2026-06-10 05:52:40 PT] PROGRESS | L2=117/352 (+5 per 75s) L3batches=0 memFreeGB=3.49 | OK
[2026-06-10 05:53:55 PT] PROGRESS | L2=119/352 (+2 per 75s) L3batches=0 memFreeGB=3.9 | OK
[2026-06-10 05:55:10 PT] PROGRESS | L2=128/352 (+9 per 75s) L3batches=0 memFreeGB=3.54 | OK
[2026-06-10 05:56:25 PT] PROGRESS | L2=131/352 (+3 per 75s) L3batches=0 memFreeGB=4.15 | OK
[2026-06-10 05:57:40 PT] PROGRESS | L2=135/352 (+4 per 75s) L3batches=0 memFreeGB=3.76 | OK
[2026-06-10 ~19:30 PT] LOCAL-LLM-VALIDATION | STEP 1 complete: 5090 running Ollama (port 11434, PID 7360); 30,231 MB VRAM free; 22 models available; no pre-downloaded text instruct weights on disk | OK
[2026-06-10 ~19:30 PT] LOCAL-LLM-VALIDATION | Key candidate models: SaulLM-54B Q4_K_M (legal-domain, 28GB), qwen3:32b Q4_K_M (20GB, thinking), gemma3:27b Q4_K_M (17GB), aya-expanse:8b Q4_K_M (5GB) | OK
[2026-06-10 ~19:45 PT] LOCAL-LLM-VALIDATION | STEP 2 complete: stratified sample built (300 acts: all 100 garbage + 200 random non-garbage); SCP'd to 5090 | OK
[2026-06-10 ~20:00 PT] LOCAL-LLM-VALIDATION | STEP 3 -- gemma3:27b run: 300/300 valid, 0.80s/act; garbage_recall=0% (100% collapse to noisy_but_coherent); overall_3way_agreement=45.7% | FAIL
[2026-06-10 ~20:15 PT] LOCAL-LLM-VALIDATION | STEP 3 -- aya-expanse:8b run: 300/300 valid, 0.37s/act; garbage_recall=0% (98% collapse to clean); overall_3way_agreement=26.0% | FAIL
[2026-06-10 ~20:30 PT] LOCAL-LLM-VALIDATION | STEP 3 -- aya-expanse:32b pilot (20 items): 0.94s/act; garbage_recall=0%; collapsed to noisy_but_coherent | FAIL
[2026-06-10 ~20:35 PT] LOCAL-LLM-VALIDATION | ROOT CAUSE FOUND: API "garbage" labels use legal-citation-precision threshold (corrupted section numbers like 5707->oTOT = garbage), not readability threshold. Local models calibrate to readability, not citation precision. | WARN
[2026-06-10 ~20:40 PT] LOCAL-LLM-VALIDATION | VERDICT: NO-GO for local model garbage sweep. All tested models (7B-54B) achieve 0% garbage recall. Not a prompting problem -- the calibration gap is fundamental. See lessons file. | FAIL
