year	type	oracle_label	oracle_N	conf_have	all_have	conf_miss	over_ceiling	max_conf	files	gap_garbled	gap_noise	gap_uncertain
1850	regular	1850 Regular Session	146	0	103	146	2	0	early_v2	145	0	1
1851	regular	1851 Regular Session	139	0	119	139	1	0	early_v2	139	0	0
1852	regular	1852 Regular Session	202	0	170	202	7	0	early_v2	202	0	0
1853	regular	1853 Regular Session	180	0	172	180	6	0	early_v2	180	0	0
1854	regular	1854 Regular Session	174	0	75	174	0	0	early_v2	125	0	49
1855	regular	1855 Regular Session	231	0	176	231	0	0	early_v2	227	0	4
1856	regular	1856 Regular Session	152	0	123	152	0	0	early_v2	151	0	1
1857	regular	1857 Regular Session	277	0	218	277	0	0	early_v2	275	0	2
1858	regular	1858 Regular Session	358	0	304	358	2	0	early_v2	358	0	0
1859	regular	1859 Regular Session	330	0	275	330	3	0	early_v2	330	0	0
1860	regular	1860 Regular Session	455	0	252	455	1	0	early_v2	405	0	50
1861	regular	1861 Regular Session	538	0	369	538	6	0	early_v2	538	0	0
1862	regular	1862 Regular Session	455	0	309	455	11	0	early_v2	455	0	0
1863	regular	1863-64 Regular Session	476	0	418	476	41	0	early_v2	476	0	0
1865	regular	1865-66 Regular Session	280	0	196	280	266	0	early_v2	280	0	0
1867	regular	1867-68 Regular Session	545	445	449	100	0	544	recovered	99	0	1
1869	regular	1869-70 Regular Session	583	278	283	305	1	583	recovered	305	0	0
1871	regular	1871-72 Regular Session	637	449	452	188	0	637	recovered	188	0	0
1873	regular	1873-74 Regular Session	679	365	376	314	1	920	recovered	302	0	12
1875	regular	1875-76 Regular Session	613	294	354	319	0	612	recovered	317	0	2
1877	regular	1877-78 Regular Session	673	324	378	349	0	673	recovered	346	0	3
1880	regular	1880 Regular Session	126	115	119	11	0	126	recovered	10	0	1
1881	regular	1881 Regular Session	77	72	72	5	0	77	recovered	5	0	0
1883	regular	1883 Regular Session	23	17	17	6	65	96	recovered	6	0	0
1885	regular	1885 Regular Session	169	144	144	25	0	169	chaptered_v2	25	0	0
1887	regular	1887 Regular Session	51	49	49	2	120	185	recovered	2	0	0
1889	regular	1889 Regular Session	290	237	238	53	1	290	recovered	53	0	0
1891	regular	1891 Regular Session	280	256	256	24	0	280	recovered	24	0	0
1893	regular	1893 Regular Session	244	226	226	18	0	242	chaptered_v2	16	0	2
1895	regular	1895 Regular Session	223	212	212	11	0	223	recovered	11	0	0
1897	regular	1897 Regular Session	278	270	270	8	0	277	recovered	7	0	1
1899	regular	1899 Regular Session	253	213	213	40	0	253	recovered	40	0	0
1901	regular	1901 Regular Session	275	252	252	23	0	274	recovered	22	0	1
1903	regular	1903 Regular Session	385	351	351	34	0	385	recovered	34	0	0
1905	regular	1905 Regular Session	613	531	531	82	0	613	chaptered_v2	82	0	0
