token	freq	tier	prior_category
ducheny	414	high_freq	NAMELIKE
karnette	397	high_freq	NAMELIKE
escutia	389	high_freq	NAMELIKE
margett	340	high_freq	NAMELIKE
aroner	327	high_freq	TYPO
frusetta	306	high_freq	NAMELIKE
migden	287	high_freq	NAMELIKE
kaloogian	238	high_freq	NAMELIKE
poochigian	238	high_freq	NAMELIKE
weggeland	202	high_freq	NAMELIKE
whon	154	high_freq	TYPO
repressuring	145	high_freq	NAMELIKE
islais	130	high_freq	NAMELIKE
tuly	114	high_freq	TYPO
bronshvag	110	high_freq	NAMELIKE
agricul	109	high_freq	FRAGMENT
setencich	106	high_freq	NAMELIKE
meanor	97	high_freq	TYPO
fricot	73	high_freq	NAMELIKE
sereen	67	high_freq	TYPO
sinkyone	66	high_freq	NAMELIKE
jines	61	high_freq	TYPO
aanestad	59	high_freq	NAMELIKE
ollice	59	high_freq	TYPO
sinte	57	high_freq	TYPO
calipatria	55	high_freq	NAMELIKE
anee	54	high_freq	TYPO
gabilan	50	high_freq	NAMELIKE
monagan	45	high_freq	TYPO
vuich	44	high_freq	NAMELIKE
drytown	43	high_freq	GARBLE
domenigoni	41	high_freq	NAMELIKE
elee	40	high_freq	TYPO
culy	38	high_freq	TYPO
clate	36	high_freq	TYPO
mcsheehy	35	high_freq	NAMELIKE
ottice	35	high_freq	NAMELIKE
sattley	35	high_freq	NAMELIKE
mackerricher	34	high_freq	NAMELIKE
ramento	34	high_freq	FRAGMENT
sively	34	high_freq	TYPO
trahern	34	high_freq	NAMELIKE
havenner	32	high_freq	NAMELIKE
japatul	32	high_freq	NAMELIKE
turer	32	high_freq	TYPO
elverta	31	high_freq	NAMELIKE
tants	31	high_freq	TYPO
cnter	30	high_freq	TYPO
rimpau	30	high_freq	NAMELIKE
cawelo	29	high_freq	TYPO
ribier	29	high_freq	NAMELIKE
blairsden	28	high_freq	NAMELIKE
calpella	28	high_freq	TYPO
sehoo	28	high_freq	TYPO
transue	28	high_freq	NAMELIKE
vowers	28	high_freq	TYPO
bohnett	27	high_freq	NAMELIKE
cholame	27	high_freq	NAMELIKE
jender	27	high_freq	TYPO
markleeville	27	high_freq	NAMELIKE
stantial	27	high_freq	FRAGMENT
cervantez	26	high_freq	TYPO
jamacha	26	high_freq	NAMELIKE
