# gpu-monitor (python, per-sample flush) start
2026/06/23 17:47:05.206, 67, 90 %, 326.49 W, 30885 MiB, 32607 MiB
2026/06/23 17:47:20.250, 70, 84 %, 533.50 W, 30885 MiB, 32607 MiB
2026/06/23 17:47:35.298, 68, 83 %, 411.75 W, 30885 MiB, 32607 MiB
2026/06/23 17:47:50.336, 72, 100 %, 559.93 W, 30885 MiB, 32607 MiB
2026/06/23 17:48:05.379, 67, 61 %, 546.69 W, 30885 MiB, 32607 MiB
2026/06/23 17:48:20.429, 68, 70 %, 318.06 W, 30885 MiB, 32607 MiB
2026/06/23 17:48:35.477, 70, 100 %, 562.67 W, 30885 MiB, 32607 MiB
2026/06/23 17:48:50.514, 68, 87 %, 323.51 W, 30885 MiB, 32607 MiB
2026/06/23 17:49:05.561, 74, 100 %, 407.97 W, 30885 MiB, 32607 MiB
2026/06/23 17:49:20.604, 74, 100 %, 512.05 W, 30885 MiB, 32607 MiB
2026/06/23 17:49:35.661, 71, 100 %, 478.29 W, 30885 MiB, 32607 MiB
2026/06/23 17:49:50.706, 65, 0 %, 516.04 W, 30885 MiB, 32607 MiB
2026/06/23 17:50:05.758, 70, 99 %, 367.47 W, 30885 MiB, 32607 MiB
2026/06/23 17:50:20.800, 71, 100 %, 565.47 W, 30885 MiB, 32607 MiB
2026/06/23 17:50:35.850, 64, 0 %, 428.62 W, 30885 MiB, 32607 MiB
2026/06/23 17:50:50.901, 71, 100 %, 561.30 W, 30885 MiB, 32607 MiB
2026/06/23 17:51:05.953, 70, 85 %, 557.21 W, 30885 MiB, 32607 MiB
2026/06/23 17:51:20.996, 58, 6 %, 87.48 W, 17189 MiB, 32607 MiB
2026/06/23 17:51:36.048, 61, 70 %, 234.76 W, 32025 MiB, 32607 MiB
2026/06/23 17:51:51.512, 62, 100 %, 238.74 W, 32025 MiB, 32607 MiB
2026/06/23 17:52:06.560, 70, 100 %, 514.78 W, 32025 MiB, 32607 MiB
2026/06/23 17:52:21.601, 73, 100 %, 522.19 W, 32025 MiB, 32607 MiB
2026/06/23 17:52:36.645, 64, 95 %, 237.69 W, 32025 MiB, 32607 MiB
2026/06/23 17:52:51.683, 70, 100 %, 553.41 W, 32025 MiB, 32607 MiB
2026/06/23 17:53:06.730, 68, 97 %, 539.80 W, 32025 MiB, 32607 MiB
2026/06/23 17:53:21.768, 65, 95 %, 423.78 W, 32025 MiB, 32607 MiB
2026/06/23 17:53:36.813, 68, 94 %, 319.07 W, 32025 MiB, 32607 MiB
2026/06/23 17:53:51.976, 63, 100 %, 234.79 W, 32025 MiB, 32607 MiB
2026/06/23 17:54:07.023, 72, 100 %, 557.14 W, 32025 MiB, 32607 MiB
2026/06/23 17:54:22.077, 71, 100 %, 552.87 W, 32025 MiB, 32607 MiB
2026/06/23 17:54:37.122, 62, 0 %, 239.30 W, 32025 MiB, 32607 MiB
2026/06/23 17:54:52.782, 63, 100 %, 243.71 W, 32025 MiB, 32607 MiB
2026/06/23 17:55:07.825, 71, 100 %, 322.40 W, 32025 MiB, 32607 MiB
2026/06/23 17:55:22.880, 70, 100 %, 551.51 W, 32025 MiB, 32607 MiB
2026/06/23 17:55:37.930, 67, 72 %, 388.05 W, 32025 MiB, 32607 MiB
2026/06/23 17:55:53.531, 63, 100 %, 228.46 W, 32025 MiB, 32607 MiB
2026/06/23 17:56:08.579, 64, 95 %, 234.52 W, 32025 MiB, 32607 MiB
2026/06/23 17:56:23.626, 70, 100 %, 552.88 W, 32025 MiB, 32607 MiB
2026/06/23 17:56:38.674, 71, 100 %, 493.71 W, 32025 MiB, 32607 MiB
2026/06/23 17:56:53.715, 69, 100 %, 312.74 W, 32025 MiB, 32607 MiB
2026/06/23 17:57:08.762, 69, 100 %, 468.96 W, 32025 MiB, 32607 MiB
2026/06/23 17:57:23.811, 66, 90 %, 286.48 W, 32025 MiB, 32607 MiB
2026/06/23 17:57:39.030, 63, 100 %, 237.94 W, 32025 MiB, 32607 MiB
2026/06/23 17:57:54.337, 63, 100 %, 246.39 W, 32025 MiB, 32607 MiB
2026/06/23 17:58:09.386, 70, 100 %, 332.04 W, 32025 MiB, 32607 MiB
2026/06/23 17:58:24.433, 71, 100 %, 555.37 W, 32025 MiB, 32607 MiB
2026/06/23 17:58:39.480, 73, 100 %, 551.42 W, 32025 MiB, 32607 MiB
2026/06/23 17:58:54.526, 70, 100 %, 378.79 W, 32025 MiB, 32607 MiB
2026/06/23 17:59:09.575, 65, 85 %, 517.18 W, 32025 MiB, 32607 MiB
2026/06/23 17:59:24.620, 64, 100 %, 242.82 W, 32025 MiB, 32607 MiB
2026/06/23 17:59:39.658, 64, 25 %, 227.74 W, 32025 MiB, 32607 MiB
2026/06/23 17:59:54.705, 64, 94 %, 429.99 W, 32025 MiB, 32607 MiB
2026/06/23 18:00:09.747, 55, 4 %, 22.28 W, 889 MiB, 32607 MiB
2026/06/23 18:00:24.793, 52, 1 %, 20.78 W, 889 MiB, 32607 MiB
2026/06/23 18:00:39.847, 50, 0 %, 20.43 W, 889 MiB, 32607 MiB
2026/06/23 18:00:54.891, 48, 0 %, 19.14 W, 889 MiB, 32607 MiB
2026/06/23 18:01:09.940, 47, 1 %, 18.54 W, 889 MiB, 32607 MiB
2026/06/23 18:01:24.986, 45, 0 %, 18.28 W, 889 MiB, 32607 MiB
2026/06/23 18:01:40.036, 46, 6 %, 96.16 W, 17140 MiB, 32607 MiB
2026/06/23 18:01:55.078, 53, 86 %, 309.61 W, 32054 MiB, 32607 MiB
2026/06/23 18:02:10.117, 56, 91 %, 263.70 W, 32054 MiB, 32607 MiB
2026/06/23 18:02:25.170, 68, 100 %, 486.58 W, 32054 MiB, 32607 MiB
2026/06/23 18:02:40.218, 72, 100 %, 516.11 W, 32054 MiB, 32607 MiB
2026/06/23 18:02:55.270, 67, 97 %, 518.35 W, 32054 MiB, 32607 MiB
2026/06/23 18:03:10.316, 55, 0 %, 28.52 W, 889 MiB, 32607 MiB
2026/06/23 18:03:25.371, 52, 0 %, 20.82 W, 889 MiB, 32607 MiB
2026/06/23 18:03:40.420, 49, 0 %, 18.92 W, 889 MiB, 32607 MiB
2026/06/23 18:03:55.471, 48, 1 %, 19.25 W, 889 MiB, 32607 MiB
2026/06/23 18:04:10.522, 46, 2 %, 18.48 W, 889 MiB, 32607 MiB
2026/06/23 18:04:25.576, 45, 2 %, 18.50 W, 889 MiB, 32607 MiB
2026/06/23 18:04:40.628, 44, 2 %, 17.63 W, 889 MiB, 32607 MiB
2026/06/23 18:04:55.685, 43, 2 %, 17.80 W, 889 MiB, 32607 MiB
2026/06/23 18:05:10.724, 42, 0 %, 17.39 W, 889 MiB, 32607 MiB
2026/06/23 18:05:25.769, 41, 0 %, 17.01 W, 889 MiB, 32607 MiB
2026/06/23 18:05:40.823, 41, 2 %, 16.70 W, 889 MiB, 32607 MiB
2026/06/23 18:05:55.875, 40, 2 %, 16.52 W, 889 MiB, 32607 MiB
2026/06/23 18:06:10.919, 40, 3 %, 16.84 W, 889 MiB, 32607 MiB
2026/06/23 18:06:25.967, 39, 2 %, 17.01 W, 889 MiB, 32607 MiB
2026/06/23 18:06:41.010, 39, 0 %, 16.83 W, 889 MiB, 32607 MiB
2026/06/23 18:06:56.063, 39, 0 %, 16.73 W, 889 MiB, 32607 MiB
2026/06/23 18:07:11.116, 38, 3 %, 16.68 W, 889 MiB, 32607 MiB
2026/06/23 18:07:26.163, 38, 3 %, 16.84 W, 889 MiB, 32607 MiB
2026/06/23 18:07:41.207, 38, 3 %, 16.60 W, 889 MiB, 32607 MiB
2026/06/23 18:07:56.244, 37, 3 %, 16.25 W, 889 MiB, 32607 MiB
2026/06/23 18:08:11.287, 37, 0 %, 15.62 W, 889 MiB, 32607 MiB
2026/06/23 18:08:26.329, 38, 1 %, 16.34 W, 889 MiB, 32607 MiB
2026/06/23 18:08:41.382, 38, 0 %, 15.87 W, 889 MiB, 32607 MiB
2026/06/23 18:08:56.436, 38, 0 %, 15.77 W, 889 MiB, 32607 MiB
2026/06/23 18:09:11.492, 38, 0 %, 16.54 W, 889 MiB, 32607 MiB
2026/06/23 18:09:26.536, 38, 0 %, 16.47 W, 889 MiB, 32607 MiB
2026/06/23 18:09:41.586, 38, 0 %, 16.19 W, 889 MiB, 32607 MiB
2026/06/23 18:09:56.641, 38, 0 %, 16.28 W, 889 MiB, 32607 MiB
2026/06/23 18:10:11.690, 38, 0 %, 16.62 W, 889 MiB, 32607 MiB
2026/06/23 18:10:26.734, 39, 0 %, 16.03 W, 889 MiB, 32607 MiB
2026/06/23 18:10:41.777, 39, 0 %, 16.21 W, 889 MiB, 32607 MiB
2026/06/23 18:10:56.830, 39, 0 %, 16.60 W, 889 MiB, 32607 MiB
2026/06/23 18:11:11.876, 39, 0 %, 16.03 W, 889 MiB, 32607 MiB
2026/06/23 18:11:26.923, 39, 0 %, 15.64 W, 889 MiB, 32607 MiB
2026/06/23 18:11:41.969, 39, 0 %, 16.54 W, 889 MiB, 32607 MiB
2026/06/23 18:11:57.010, 39, 0 %, 16.57 W, 889 MiB, 32607 MiB
2026/06/23 18:12:12.060, 39, 0 %, 16.43 W, 889 MiB, 32607 MiB
2026/06/23 18:12:27.105, 39, 0 %, 16.52 W, 889 MiB, 32607 MiB
2026/06/23 18:12:42.151, 39, 0 %, 16.48 W, 889 MiB, 32607 MiB
2026/06/23 18:12:57.202, 39, 0 %, 16.05 W, 889 MiB, 32607 MiB
2026/06/23 18:13:12.247, 39, 0 %, 15.72 W, 889 MiB, 32607 MiB
2026/06/23 18:13:27.300, 39, 0 %, 16.38 W, 889 MiB, 32607 MiB
2026/06/23 18:13:42.339, 39, 0 %, 16.23 W, 889 MiB, 32607 MiB
2026/06/23 18:13:57.389, 39, 0 %, 16.13 W, 889 MiB, 32607 MiB
2026/06/23 18:14:12.442, 40, 0 %, 16.23 W, 889 MiB, 32607 MiB
2026/06/23 18:14:27.500, 40, 0 %, 16.24 W, 889 MiB, 32607 MiB
2026/06/23 18:14:42.547, 40, 0 %, 16.34 W, 889 MiB, 32607 MiB
2026/06/23 18:14:57.600, 40, 0 %, 16.36 W, 889 MiB, 32607 MiB
2026/06/23 18:15:12.650, 40, 0 %, 16.79 W, 889 MiB, 32607 MiB
2026/06/23 18:15:27.699, 40, 0 %, 17.01 W, 889 MiB, 32607 MiB
2026/06/23 18:15:42.739, 40, 0 %, 16.79 W, 889 MiB, 32607 MiB
2026/06/23 18:15:57.797, 40, 0 %, 17.73 W, 889 MiB, 32607 MiB
2026/06/23 18:16:12.843, 40, 0 %, 16.75 W, 889 MiB, 32607 MiB
2026/06/23 18:16:27.898, 40, 0 %, 16.73 W, 889 MiB, 32607 MiB
2026/06/23 18:16:42.947, 40, 1 %, 15.73 W, 889 MiB, 32607 MiB
2026/06/23 18:16:57.991, 40, 0 %, 16.70 W, 889 MiB, 32607 MiB
2026/06/23 18:17:13.037, 40, 0 %, 16.88 W, 889 MiB, 32607 MiB
2026/06/23 18:17:28.078, 40, 0 %, 16.50 W, 889 MiB, 32607 MiB
2026/06/23 18:17:43.121, 40, 0 %, 17.16 W, 889 MiB, 32607 MiB
2026/06/23 18:17:58.174, 42, 6 %, 66.10 W, 17140 MiB, 32607 MiB
2026/06/23 18:18:13.225, 54, 83 %, 528.19 W, 30546 MiB, 32607 MiB
2026/06/23 18:18:28.266, 61, 91 %, 358.71 W, 30546 MiB, 32607 MiB
2026/06/23 18:18:43.306, 62, 86 %, 415.64 W, 30546 MiB, 32607 MiB
2026/06/23 18:18:58.351, 68, 100 %, 430.98 W, 30546 MiB, 32607 MiB
2026/06/23 18:19:13.399, 70, 100 %, 519.67 W, 30546 MiB, 32607 MiB
2026/06/23 18:19:28.444, 68, 85 %, 490.52 W, 30546 MiB, 32607 MiB
2026/06/23 18:19:43.493, 68, 86 %, 424.91 W, 30546 MiB, 32607 MiB
2026/06/23 18:19:58.531, 63, 0 %, 367.90 W, 30546 MiB, 32607 MiB
2026/06/23 18:20:13.577, 69, 73 %, 299.49 W, 30546 MiB, 32607 MiB
2026/06/23 18:20:28.626, 54, 0 %, 20.51 W, 889 MiB, 32607 MiB
2026/06/23 18:20:43.680, 51, 0 %, 19.23 W, 889 MiB, 32607 MiB
2026/06/23 18:20:58.735, 49, 0 %, 18.51 W, 889 MiB, 32607 MiB
2026/06/23 18:21:13.784, 47, 0 %, 18.55 W, 889 MiB, 32607 MiB
2026/06/23 18:21:28.879, 46, 0 %, 18.31 W, 889 MiB, 32607 MiB
2026/06/23 18:21:43.979, 45, 0 %, 17.75 W, 889 MiB, 32607 MiB
2026/06/23 18:21:59.019, 43, 0 %, 17.30 W, 889 MiB, 32607 MiB
2026/06/23 18:22:14.068, 42, 0 %, 17.59 W, 889 MiB, 32607 MiB
2026/06/23 18:22:29.125, 42, 0 %, 16.61 W, 889 MiB, 32607 MiB
2026/06/23 18:22:44.175, 41, 0 %, 16.75 W, 889 MiB, 32607 MiB
2026/06/23 18:22:59.218, 41, 0 %, 17.01 W, 889 MiB, 32607 MiB
2026/06/23 18:23:14.262, 41, 5 %, 66.14 W, 17140 MiB, 32607 MiB
2026/06/23 18:23:29.300, 59, 100 %, 538.32 W, 30474 MiB, 32607 MiB
2026/06/23 18:23:44.351, 60, 100 %, 547.60 W, 30474 MiB, 32607 MiB
2026/06/23 18:23:59.396, 62, 87 %, 415.61 W, 30474 MiB, 32607 MiB
2026/06/23 18:24:14.441, 66, 88 %, 367.45 W, 30474 MiB, 32607 MiB
2026/06/23 18:24:29.489, 69, 100 %, 558.38 W, 30474 MiB, 32607 MiB
2026/06/23 18:24:44.528, 69, 85 %, 541.20 W, 30474 MiB, 32607 MiB
2026/06/23 18:24:59.573, 68, 85 %, 424.01 W, 30474 MiB, 32607 MiB
2026/06/23 18:25:14.627, 59, 100 %, 153.46 W, 32014 MiB, 32607 MiB
2026/06/23 18:25:29.667, 56, 100 %, 139.76 W, 32014 MiB, 32607 MiB
2026/06/23 18:25:44.717, 55, 100 %, 137.90 W, 32014 MiB, 32607 MiB
2026/06/23 18:25:59.762, 55, 100 %, 132.14 W, 32014 MiB, 32607 MiB
2026/06/23 18:26:14.799, 54, 100 %, 145.34 W, 32014 MiB, 32607 MiB
2026/06/23 18:26:29.839, 54, 100 %, 139.93 W, 32014 MiB, 32607 MiB
2026/06/23 18:26:44.881, 54, 100 %, 133.06 W, 32014 MiB, 32607 MiB
2026/06/23 18:26:59.924, 53, 100 %, 133.02 W, 32014 MiB, 32607 MiB
2026/06/23 18:27:14.970, 53, 100 %, 135.82 W, 32014 MiB, 32607 MiB
