[2026-06-02 06:12 PT] FETCH | 1862: pulled OK (651 pages, sha aaabde19ba6d) -> C:\Users\PatrickKolasinski\PatoLex-scratch\production-1862\ocr_consensus\page_ocr_results.json | OK
[2026-06-02 06:12 PT] INGEST | 1862: running ingest_from_ocr.py | OK
[2026-06-02 06:13 PT] INGEST | 1862: DB confirmed. enactment total now 2183 | OK
[2026-06-02 06:13 PT] FETCH | 1863: pulled OK (855 pages, sha f1353cec952e) -> C:\Users\PatrickKolasinski\PatoLex-scratch\production-1863\ocr_consensus\page_ocr_results.json | OK
[2026-06-02 06:13 PT] INGEST | 1863: running ingest_from_ocr.py | OK
[2026-06-02 06:13 PT] INGEST | 1863: DB confirmed. enactment total now 2324 | OK
[2026-06-02 06:18 PT] RESTART | New agent took over (prior left no Scheduled Task). Re-verifying DB state vs log before trusting it. Queue confirms DONE=1862,1863,1863-64. 5080 has dirs production-1862/1863 but NOT 1863-64. | OK
[2026-06-02 06:18 PT] INSPECT | Found 5080 scripts: reparse.py, re_ingest_fixed.py, ingest_from_ocr.py, ingest_watcher.py, ingest_supervisor.ps1, ingest_state.json. Inspecting before use. | OK
[2026-06-02 06:20 PT] VERIFY-DB | DB ACTUAL: source_document=20 enactment=2324 provision=2324 change_event=2324. 1862(id13)+1863(id14) ALREADY ingested w/ real page_count+sha. 1863-64(id15) still SKELETON. So Step1 remaining = 1863-64 only. | OK
[2026-06-02 06:20 PT] TOOL | Chosen ingest tool = ingest_from_ocr.py (STAGE5 parse + STAGE6 idempotent skeleton-upgrade, LEGISLATURE_MAP covers 1861-1875-76, keys on sha256.txt). reparse.py not needed (ingest_from_ocr parses inline). | OK
[2026-06-02 06:21 PT] FETCH | 1863-64: 5090 has OCR_COMPLETE.marker + ocr_consensus/page_ocr_results.json + sha256.txt. scp'ing to 5080. | OK
[2026-06-02 06:22 PT] FETCH | 1863-64: scp OK (page_ocr_results.json 7710847 bytes, sha256.txt 64 bytes). | OK
[2026-06-02 06:23 PT] INGEST | 1863-64: ingest_from_ocr.py -> STAGE5 confident=238 flagged=4; STAGE6 upgraded skeleton id=15 (page_count=632, claimed_year=1863), purged 21 stale, inserted 238 acts, 0 errors. | OK
[2026-06-02 06:23 PT] STEP1-DONE | DB BEFORE=2324 enactment AFTER=2541 (+238). Years now ingested 1850-1864 (1862=116, 1863=158+... 1863-64=238). All 3 DONE volumes (1862,1863,1863-64) banked. | OK
[2026-06-02 06:23 PT] NOTE | Stale SKELETON acts remain on source_document ids 16-19 (1865-66=16, 1867-68=68, 1869-70=56, 1871-72=41 placeholder rows) + id1 (1850 dup, 26). Loop will purge+replace 16-19 as OCR completes. id1 vs id20 1850 dup is pre-existing, OUT OF SCOPE - flagged. | WARN
[2026-06-02 06:24 PT] STEP2 | Reusing prior agent's ingest_watcher.py (correct: detached loop, poll markers, scp, idempotent ingest_from_ocr.py, reconcile-on-startup, logs to THIS file) + ingest_supervisor.ps1 (relaunch-on-crash wrapper). Marked 1863-64 ingested in ingest_state.json. | OK
[2026-06-02 06:24 PT] STEP2 | Registering Scheduled Task PatoLex_Ingest_5080 as SYSTEM (psql uses PGPASSWORD/-U postgres TCP auth = Windows-account-independent, so SYSTEM reaches Postgres). Parent = Task Scheduler svchost, session-independent. | OK
[2026-06-02 06:29 PT] WATCHER | === ingest_watcher online (pid 50996) box=5080 -> polling 5090 100.70.54.56 every 120s === | OK
