vol	page	tier	kind	margin_words	head	tail	joined	margin_text
production-1861	8	HYPHEN	blankgap	0	supplemen	tary	supplementary	
production-1861	11	HYPHEN	blankgap	0	prop	erty	property	
production-1861	12	HYPHEN	blankgap	0	incorpo	rate	incorporate	
production-1861	14	HYPHEN	blankgap	0	indebt	edness	indebtedness	
production-1861	19	NOHYPHEN	blankgap	0	compen	sation	compensation	
production-1861	22	HYPHEN	blankgap	0	con	cerning	concerning	
production-1861	25	HYPHEN	blankgap	0	siski	you	siskiyou	
production-1861	31	NOHYPHEN	adjacent	0	geolo	gist	geologist	
production-1861	35	SPACESPLIT	spacesplit2	0	sacrame	nto	sacramento	
production-1861	48	HYPHEN	margin	50	gen	tlement	gentlement	eral Government of this State and in said collection he shall be | governed in all respects by said act and he shall not be required yin | to make his final settlement or to return his delinquent tax list | until the first Monday in May next provided he shall make set
production-1861	48	HYPHEN	blankgap	0	set	tlement	settlement	
production-1861	48	NOHYPHEN	adjacent	0	supervi	sors	supervisors	
production-1861	52	HYPHEN	margin	39	ex	propriated	expropriated	press Purposes during the present Session of the Legislature | Approved February | The People of the State of California represented in Senate and | Assembly do enact as follows | Secrion The sum of three thousand dollars is hereby ap appropria n
production-1861	66	HYPHEN	blankgap	0	com	pensation	compensation	
production-1861	70	HYPHEN	margin	24	reg	istered	registered	ister and indorse the same as required by luw and said warrant | or warrants shall be redeemed in the same manner as other reg
production-1861	71	NOHYPHEN	adjacent	0	examina	tion	examination	
production-1861	71	NOHYPHEN	adjacent	0	prescrib	ing	prescribing	
production-1861	81	HYPHEN	blankgap	0	immedi	ately	immediately	
production-1861	86	HYPHEN	blankgap	0	feb	ruary	february	
production-1861	100	HYPHEN	blankgap	0	cal	averas	calaveras	
production-1861	108	SPACESPLIT	spacesplit2	0	per	centages	percentages	
production-1861	113	HYPHEN	margin	13	preced	e	precede	the day on which the same shall be due stating at what of
production-1861	130	HYPHEN	blankgap	0	gov	ernor	governor	
production-1861	130	HYPHEN	blankgap	0	re	spectively	respectively	
production-1861	131	HYPHEN	margin	2	appro	priated	appropriated	ppropria n
production-1861	133	HYPHEN	blankgap	0	con	tinue	continue	
production-1861	138	HYPHEN	blankgap	0	supervi	sors	supervisors	
production-1861	162	HYPHEN	blankgap	0	prop	erty	property	
production-1861	172	HYPHEN	blankgap	0	per	fecting	perfecting	
production-1861	187	HYPHEN	margin	41	con	cupy	concupy	form to the grade of said streets as the samé hag been estab | lished by law The said road shall be laid in the center of said | streets if a single track but if a double track it shall not oc
production-1861	190	HYPHEN	margin	31	pro	ficient	proficient	visions of this section as they may deem proper | See Said parties shall have running during the hours from | sunrise until nine o clock p each day Sundays excepted suf Barring
production-1861	200	HYPHEN	blankgap	0	com	pletion	completion	
production-1861	207	HYPHEN	margin	9	treasu	re	treasure	said counties respectively in the same manner as tho
production-1861	217	HYPHEN	margin	13	supervis	ing	supervising	county ors of said county to redistrict the county at their regular meot
production-1861	220	HYPHEN	blankgap	0	treas	urer	treasurer	
production-1861	222	HYPHEN	blankgap	0	con	veyed	conveyed	
production-1861	223	HYPHEN	blankgap	0	thirti	eth	thirtieth	
production-1861	226	HYPHEN	margin	20	per	ceive	perceive	form such other duties as the court may direct | Sec Said Commissioners in Equity shall be entitled to re yee
production-1861	226	HYPHEN	blankgap	0	re	quired	required	
production-1861	233	NOHYPHEN	adjacent	0	intersec	tion	intersection	
production-1861	236	NOHYPHEN	adjacent	0	commenc	ing	commencing	
production-1861	241	HYPHEN	margin	11	de	tached	detached	sign to defraud or delay creditors which affidavit shall be at
production-1861	245	NOHYPHEN	adjacent	0	insuffi	cient	insufficient	
production-1861	248	HYPHEN	blankgap	0	appro	priated	appropriated	
production-1861	271	HYPHEN	margin	30	ap	ropriate	apropriate	ite and take possession of and use and hold all such lands | ters as may be required for the purposes of tho company | waking compensation therefor The mode of proceeding
production-1861	281	HYPHEN	margin	55	re	quired	required	moved and be re erected in good order on the new graves | Sec Whenever said Bewel shall present to the Board of | Supervisors of the county of Placer a certificate signed by a | Justice of the Peace of Township Number Six of said county | stating that he has well and faithfully performed the duties re
production-1861	291	HYPHEN	blankgap	0	ren	dered	rendered	
production-1861	295	HYPHEN	blankgap	0	as	sembly	assembly	
production-1861	298	HYPHEN	margin	57	con	ditions	conditions	tracts and when the Board of Commissioners or a majority of | them shall be satisfied that the terrns and conditions of the con | tract or contracts have been complied with they shall issue a | certificate to the Contractor or Contractors signed by the Chair | man and Clerk of the Board stating in plain terms that the con
production-1861	298	HYPHEN	margin	34	con	ditions	conditions	tract or contracts have been complied with they shall issue a | certificate to the Contractor or Contractors signed by the Chair | man and Clerk of the Board stating in plain terms that the con
production-1861	299	HYPHEN	margin	41	vicin	e	vicine	she proposed road or trail at least ten days prior to the | ypointed for the meeting of the Viewers stating the point | nning course and terminus of the proposed road or | so the names of the owners when known over whose
production-1861	315	HYPHEN	blankgap	0	im	provements	improvements	
production-1861	315	HYPHEN	blankgap	0	so	ciety	society	
production-1861	322	HYPHEN	blankgap	0	com	pensation	compensation	
production-1861	326	HYPHEN	margin	50	con	sociates	consociates	atruct and maintain said dam and lock across and in said creek | at or Bear Suscol is hereby granted to the said James H Good | man and his associates for the period of twenty years from the | passage of this act and the said James H Goodman and his as
production-1861	340	HYPHEN	blankgap	0	con	tingent	contingent	
production-1861	351	HYPHEN	blankgap	0	amend	atory	amendatory	
production-1861	369	HYPHEN	margin	32	ac	quired	acquired	forarms cording to law the commanding officer thereof may apply to | the Commander in Chief through the proper military autbori | ties for such arms and acvouterments or stores as may be re
production-1861	373	HYPHEN	margin	34	com	missioned	commissioned	stitutes the MMander in Chief the Adjutant General and the officers of bis | vrewized staff all Major Gencerals and Brigadier Generals and all officers | of their respective staffs and all commissioned officers non com
production-1861	374	HYPHEN	margin	33	di	rected	directed	vision which is called into service designating in such order | the particular troops called the time and place of rendezvous | and the officer to whom they shall report If such order be di
production-1861	376	HYPHEN	blankgap	0	arti	ficer	artificer	
production-1861	391	HYPHEN	blankgap	0	recog	nizance	recognizance	
production-1861	398	HYPHEN	blankgap	0	segre	gation	segregation	
production-1861	414	NOHYPHEN	margin	1	empow	ered	empowered	execnte
production-1861	425	HYPHEN	blankgap	0	as	sembly	assembly	
production-1861	425	HYPHEN	blankgap	0	commenc	ing	commencing	
production-1861	441	HYPHEN	blankgap	0	discon	tinued	discontinued	
production-1861	445	HYPHEN	margin	58	de	linquent	delinquent	mand being made by the Road Tax Collector of his district shall | be considered a delinquent and the Collector is hereby empow | ered to seize upon any property belonging to said delinquent | and shall sell the same at public auction to the bighest bidder for | cash or so much thereof us shall be necessary to satisty said de
production-1861	450	HYPHEN	blankgap	0	as	sembly	assembly	
production-1861	470	HYPHEN	margin	48	ap	peared	appeared	pear As soon as possible after the adjournment of the Board of Duty of | Equalization in Septembor its Clerk shall make out a list of all | persons the valuation of whose property has been added to with | the amounts added on the assessment roll who have not ap
production-1861	486	NOHYPHEN	adjacent	0	occupa	tions	occupations	
production-1861	502	HYPHEN	blankgap	0	col	lected	collected	
production-1861	507	HYPHEN	margin	12	re	ceive	receive	corder by Jaw are reqnired to collect or are authorized to re
production-1861	510	HYPHEN	blankgap	0	ex	piration	expiration	
production-1861	518	HYPHEN	blankgap	0	con	cerning	concerning	
production-1861	526	HYPHEN	margin	31	dis	pensation	dispensation	interested person shall have been appointed by the Board of Su | pervisors who shall examine into the matter and report the | facts connected therewith and the Board shall award such com
production-1861	527	HYPHEN	blankgap	0	men	tioned	mentioned	
production-1861	528	HYPHEN	blankgap	0	adminis	tratrix	administratrix	
production-1861	536	HYPHEN	margin	25	man	urer	manurer	ner as those that may be redeemed and an account of all the | bonds redeemed or paid shall be kept by the Auditor and Treas
production-1861	540	HYPHEN	blankgap	0	as	sembly	assembly	
production-1861	547	HYPHEN	margin	12	con	gregate	congregate	tract or create any debts or liabilities which shall in the ag
production-1861	548	NOHYPHEN	adjacent	0	surren	dered	surrendered	
production-1861	549	HYPHEN	blankgap	0	prop	erty	property	
production-1861	551	HYPHEN	blankgap	0	as	sembly	assembly	
production-1861	551	HYPHEN	blankgap	0	incor	porated	incorporated	
production-1861	562	HYPHEN	blankgap	0	prop	erty	property	
production-1861	566	HYPHEN	blankgap	0	legisla	ture	legislature	
production-1861	568	HYPHEN	blankgap	0	treas	urer	treasurer	
production-1861	570	HYPHEN	blankgap	0	su	pervisors	supervisors	
production-1861	571	HYPHEN	blankgap	0	as	sembly	assembly	
production-1861	589	HYPHEN	margin	25	im	provements	improvements	petition prove the samo when the Board of Supervisors shall order the | same to be done after notice of their intention to make such im
production-1861	591	NOHYPHEN	adjacent	0	affida	vit	affidavit	
production-1861	592	HYPHEN	blankgap	0	depu	ties	deputies	
production-1861	592	HYPHEN	blankgap	0	con	ferred	conferred	
production-1861	593	HYPHEN	margin	2	val	uation	valuation	ebt Fand
production-1861	599	SPACESPLIT	spacesplit2	0	per	centages	percentages	
production-1861	599	SPACESPLIT	spacesplit2	0	per	centages	percentages	
production-1861	611	NOHYPHEN	adjacent	0	acknowl	edged	acknowledged	
production-1861	636	HYPHEN	margin	47	to	urer	tourer	gether with all books of both Houses to the Secretary of State | who shall certify to the reception of the same and upon produc | tion of said certificate to the Controller of State the Controller | ia authorized and directed to draw his warrant upon the Treas Payment
production-1861	643	HYPHEN	blankgap	0	cap	itol	capitol	
production-1861	648	HYPHEN	blankgap	0	en	larged	enlarged	
production-1861	654	HYPHEN	blankgap	0	con	venient	convenient	
production-1861	655	HYPHEN	margin	55	com	pliance	compliance	fsck pany be valid except as between the parties by whom and to | whom the same is transferred unless at least twenty per cont | has been paid thereon and certificates issued therefor until the | same is approved by the Board of Directors Any stockholder | transferring his shares of stock in manner aforesaid and in com
production-1861	655	HYPHEN	blankgap	0	com	pliance	compliance	
production-1861	660	NOHYPHEN	adjacent	0	desira	ble	desirable	
production-1861	676	HYPHEN	blankgap	0	acknowledg	ments	acknowledgments	
production-1861	677	HYPHEN	margin	14	per	ceive	perceive	sons any two of whom may act and who shall be entitled to re
production-1861	682	HYPHEN	blankgap	0	no	tices	notices	
production-1861	685	HYPHEN	margin	14	re	pelled	repelled	fuse to make a sale under the order of sale he muy be com
production-1861	685	HYPHEN	blankgap	0	com	pelled	compelled	
production-1861	688	SPACESPLIT	spacesplit2	0	in	cuses	incuses	
production-1861	707	HYPHEN	blankgap	0	ju	risdiction	jurisdiction	
production-1861	712	NOHYPHEN	adjacent	0	legisla	ture	legislature	
production-1861	724	HYPHEN	blankgap	0	indis	pensable	indispensable	
production-1861	724	HYPHEN	blankgap	0	obliga	tion	obligation	
production-1861	725	HYPHEN	blankgap	0	repre	sentatives	representatives	
production-1861	726	HYPHEN	blankgap	0	re	spective	respective	
production-1862	8	SPACESPLIT	spacesplit2	0	counse	lor	counselor	
production-1862	30	HYPHEN	blankgap	0	pro	ceedings	proceedings	
production-1862	57	HYPHEN	blankgap	0	expira	tion	expiration	
production-1862	63	HYPHEN	blankgap	0	con	cerning	concerning	
production-1862	80	HYPHEN	crosspage	0	pro	posals	proposals	->81
production-1862	91	HYPHEN	blankgap	0	feb	ruary	february	
production-1862	91	HYPHEN	crosspage	0	no	tices	notices	->92
production-1862	114	HYPHEN	blankgap	0	set	tlements	settlements	
production-1862	116	HYPHEN	margin	60	as	trict	astrict	ery tax sessor and collected and paid into the County Treasury by tho | County Collector at the same time und in the same mannor as | Povo OLHer Connty and State taxes prochfed that when any person | shall perform more than two days lsbor on the highways in | any one year as required by this Act the Overseer of the Dix
production-1862	116	SPACESPLIT	spacesplit2	0	prop	erty	property	
