tier	adj_or_sep	margin_words	head	tail	joined	margin_text	vol	page
HYPHEN	adj	0	depu	ties	deputies		production-1875-76-code	2
HYPHEN	adj	0	feb	ruary	february		production-1875-76-code	3
HYPHEN	adj	0	con	cerning	concerning		production-1875-76-code	5
HYPHEN	adj	0	num	bered	numbered		production-1875-76-code	5
HYPHEN	adj	0	pro	cedure	procedure		production-1875-76-code	5
HYPHEN	adj	0	pro	cedure	procedure		production-1875-76-code	5
HYPHEN	adj	0	dis	trict	district		production-1875-76-code	5
HYPHEN	adj	0	pro	cedure	procedure		production-1875-76-code	6
HYPHEN	adj	0	pro	cedure	procedure		production-1875-76-code	6
HYPHEN	adj	0	pro	cedure	procedure		production-1875-76-code	6
HYPHEN	adj	0	pro	cedure	procedure		production-1875-76-code	7
HYPHEN	adj	0	sac	ramento	sacramento		production-1875-76-code	15
HYPHEN	adj	0	sac	ramento	sacramento		production-1875-76-code	16
HYPHEN	adj	0	sac	ramento	sacramento		production-1875-76-code	16
HYPHEN	adj	0	sac	ramento	sacramento		production-1875-76-code	17
HYPHEN	adj	0	sac	ramento	sacramento		production-1875-76-code	17
HYPHEN	adj	0	sac	ramento	sacramento		production-1875-76-code	17
HYPHEN	adj	0	certif	icate	certificate		production-1875-76-code	19
HYPHEN	adj	0	com	mittees	committees		production-1875-76-code	20
HYPHEN	adj	0	subdi	vision	subdivision		production-1875-76-code	22
HYPHEN	adj	0	valua	tions	valuations		production-1875-76-code	25
HYPHEN	adj	0	treas	urer	treasurer		production-1875-76-code	27
HYPHEN	adj	0	attor	ney	attorney		production-1875-76-code	27
HYPHEN	adj	0	legisla	ture	legislature		production-1875-76-code	27
HYPHEN	adj	0	ren	dered	rendered		production-1875-76-code	28
HYPHEN	adj	0	superin	tendent	superintendent		production-1875-76-code	28
HYPHEN	adj	0	exe	cuted	executed		production-1875-76-code	29
HYPHEN	adj	0	com	mencing	commencing		production-1875-76-code	31
HYPHEN	adj	0	exam	iners	examiners		production-1875-76-code	31
HYPHEN	adj	0	accom	panied	accompanied		production-1875-76-code	31
HYPHEN	adj	0	pro	posals	proposals		production-1875-76-code	31
HYPHEN	adj	0	sac	ramento	sacramento		production-1875-76-code	31
HYPHEN	adj	0	here	tofore	heretofore		production-1875-76-code	32
HYPHEN	adj	0	sup	plement	supplement		production-1875-76-code	35
HYPHEN	sep	0	cer	tificate	certificate		production-1875-76-code	39
HYPHEN	adj	0	superin	tendent	superintendent		production-1875-76-code	39
HYPHEN	adj	0	discre	tion	discretion		production-1875-76-code	39
HYPHEN	adj	0	geogra	phy	geography		production-1875-76-code	40
HYPHEN	adj	0	preced	ing	preceding		production-1875-76-code	44
HYPHEN	sep	0	rev	enue	revenue		production-1875-76-code	45
HYPHEN	adj	0	suc	cessors	successors		production-1875-76-code	47
HYPHEN	adj	0	com	mencement	commencement		production-1875-76-code	49
HYPHEN	adj	0	condi	tioned	conditioned		production-1875-76-code	50
HYPHEN	sep	0	commis	sioners	commissioners		production-1875-76-code	51
HYPHEN	adj	0	impedi	ment	impediment		production-1875-76-code	52
HYPHEN	adj	0	prescrib	ing	prescribing		production-1875-76-code	52
HYPHEN	adj	0	discre	tion	discretion		production-1875-76-code	52
HYPHEN	adj	0	compen	sation	compensation		production-1875-76-code	52
HYPHEN	adj	0	com	pensation	compensation		production-1875-76-code	52
HYPHEN	sep	0	newspa	pers	newspapers		production-1875-76-code	53
HYPHEN	adj	0	commis	sioners	commissioners		production-1875-76-code	54
HYPHEN	adj	0	commis	sioners	commissioners		production-1875-76-code	54
HYPHEN	adj	0	pro	ceedings	proceedings		production-1875-76-code	54
HYPHEN	adj	0	con	structed	constructed		production-1875-76-code	54
HYPHEN	adj	0	author	izes	authorizes		production-1875-76-code	55
HYPHEN	adj	0	men	tioned	mentioned		production-1875-76-code	55
HYPHEN	adj	0	treas	urer	treasurer		production-1875-76-code	55
HYPHEN	adj	0	pro	posals	proposals		production-1875-76-code	57
HYPHEN	adj	0	gov	ernor	governor		production-1875-76-code	58
HYPHEN	adj	0	prop	erty	property		production-1875-76-code	59
