[2026-06-23 22:09 PT] PAGE-AUDIT | START scope=1872 volumes=0 | OK
[2026-06-23 22:09 PT] PAGE-AUDIT | DONE scope=1872: 0 missing pages across 0 volumes; 0 volumes not-anchored (page numbers unreadable) | OK
[2026-06-23 22:09 PT] PAGE-AUDIT | START scope=1871-72 volumes=1 | OK
[2026-06-23 22:09 PT] PAGE-AUDIT | production-1871-72: NOT ANCHORED (1053p) | WARN
[2026-06-23 22:09 PT] PAGE-AUDIT | DONE scope=1871-72: 0 missing pages across 0 volumes; 1 volumes not-anchored (page numbers unreadable) | OK
[2026-06-23 22:20 PT] PAGE-AUDIT | START scope=1871-72 volumes=1 workers=12 tess=tesseract.exe | OK
[2026-06-23 22:20 PT] PAGE-AUDIT | production-1871-72: 10 missing pp in 4 gap(s) -> 131-134(4); 515-516(2); 586-587(2); 776-777(2) (1064p; read=0.918) 14s | WARN
[2026-06-23 22:20 PT] PAGE-AUDIT | DONE scope=1871-72: 10 missing pp across 1 vols; 0 vols NOT AUDITABLE; 1 total; 14s | OK
[2026-06-23 22:20 PT] PAGE-AUDIT | START scope=1869-70 volumes=1 workers=12 tess=tesseract.exe | OK
[2026-06-23 22:20 PT] PAGE-AUDIT | production-1869-70: 50 missing pp in 1 gap(s) -> 31-80(50) (1027p; read=0.93) 11s | WARN
[2026-06-23 22:20 PT] PAGE-AUDIT | DONE scope=1869-70: 50 missing pp across 1 vols; 0 vols NOT AUDITABLE; 1 total; 11s | OK
[2026-06-23 22:22 PT] PAGE-AUDIT | START scope=1871-72 volumes=1 workers=12 tess=tesseract.exe | OK
[2026-06-23 22:22 PT] PAGE-AUDIT | production-1871-72: 6 missing pp in 3 gap(s) -> 515-516(2); 586-587(2); 776-777(2) (1064p; read=0.918) 13s | WARN
[2026-06-23 22:22 PT] PAGE-AUDIT | DONE scope=1871-72: 6 missing pp across 1 vols; 0 vols NOT AUDITABLE; 1 total; 13s | OK
[2026-06-23 22:30 PT] PAGE-AUDIT | START scope=1871-72 volumes=1 workers=12 tess=tesseract.exe | OK
