token	freq	correction	reason
wuereas	11538	whereas	unique(whereas:32050)
secrion	5719	section	unique(section:1401134)
publie	5623	public	unique(public:299558)
sball	4066	shall	dominant(shall:2006583>>small:14032)
statutorv	2796	statutory	unique(statutory:13098)
seetion	2495	section	unique(section:1401134)
sueh	2310	such	dominant(such:874514>>sue:2429)
thercof	2186	thereof	unique(thereof:160014)
scction	2170	section	dominant(section:1401134>>suction:369)
szc	2001	sec	dominant(sec:381965>>sc:1918)
clection	1979	election	dominant(election:122961>>lection:579)
eounty	1880	county	dominant(county:512140>>bounty:217)
cuap	1798	chap	dominant(chap:3086>>cap:714)
strect	1776	street	dominant(street:31751>>strict:794)
jands	1722	lands	dominant(lands:41246>>hands:4387)
eredit	1671	credit	dominant(credit:53939>>reedit:0)
whieh	1642	which	dominant(which:638761>>whish:2)
eect	1629	elect	dominant(elect:9874>>erect:1987)
snch	1595	such	dominant(such:874514>>inch:3853)
fuled	1565	filed	dominant(filed:145073>>fled:253)
elerk	1522	clerk	unique(clerk:97979)
fiseal	1470	fiscal	unique(fiscal:88410)
distriet	1425	district	unique(district:378970)
gencral	1385	general	unique(general:134878)
connty	1359	county	unique(county:512140)
geptember	1355	september	unique(september:59602)
emplovees	1301	employees	unique(employees:65531)
emplovee	1204	employee	unique(employee:70260)
cuapter	1203	chapter	unique(chapter:358685)
thenee	1100	thence	unique(thence:40598)
ageney	1085	agency	unique(agency:176766)
szo	1083	so	dominant(so:118792>>sao:31)
employés	1074	employs	dominant(employs:1243>>employes:235)
cnact	1067	enact	dominant(enact:95122>>coact:0)
eode	1067	code	dominant(code:604422>>mode:2132)
reccive	1054	receive	unique(receive:75091)
thonsand	1052	thousand	unique(thousand:115688)
cighteen	1015	eighteen	unique(eighteen:14650)
dutics	1003	duties	unique(duties:60393)
suverior	987	superior	unique(superior:35772)
moncy	972	money	dominant(money:62085>>monty:24)
countics	969	counties	unique(counties:53758)
exsting	906	existing	dominant(existing:66172>>exiting:76)
preseribed	905	prescribed	unique(prescribed:48040)
shajl	880	shall	dominant(shall:2006583>>shawl:6)
cahfornia	852	california	unique(california:322009)
supenor	844	superior	dominant(superior:35772>>super:6713)
wauereas	836	whereas	dominant(whereas:32050>>wagerers:0)
seeretary	835	secretary	unique(secretary:133735)
hercby	827	hereby	dominant(hereby:106164>>herby:4)
pavable	819	payable	dominant(payable:60085>>parable:110)
ineluding	818	including	unique(including:99182)
salarics	818	salaries	unique(salaries:24293)
couneil	814	council	unique(council:71054)
snall	814	shall	dominant(shall:2006583>>small:14032)
inelude	810	include	unique(include:73727)
sxo	809	so	dominant(so:118792>>sox:75)
scetion	808	section	unique(section:1401134)
bundred	783	hundred	dominant(hundred:155499>>bundled:11)
strects	764	streets	unique(streets:20981)
mecting	758	meeting	dominant(meeting:34145>>melting:36)
clectors	750	electors	dominant(electors:27405>>lectors:47)
wuhereas	735	whereas	unique(whereas:32050)
lapproved	729	approved	unique(approved:173431)
hercin	726	herein	dominant(herein:40047>>heroin:457)
svstem	722	system	unique(system:75125)
sechon	716	section	dominant(section:1401134>>second:26568)
btats	708	stats	dominant(stats:39154>>boats:1148)
effeet	700	effect	dominant(effect:146377>>effete:1)
jeast	674	least	dominant(least:63279>>east:15919)
exeept	662	except	dominant(except:119171>>exempt:19229)
