token	corpus_freq	reason
lambra	1591	weak_unique(lambda:0)
cight	1576	ambiguous(right:50843/eight:27364)
pubhe	746	weak_unique(dubhe:1)
cence	738	ambiguous(fence:1009/cense:481)
erty	687	ambiguous(ert:110/arty:54)
cuar	669	ambiguous(car:2712/char:1123)
superin	464	weak_unique(suberin:0)
anvear	430	weak_unique(anear:0)
ereated	420	ambiguous(created:23133/treated:8290)
ducheny	414	ambiguous(duchy:2/duchess:0)
appheation	410	no_candidate
karnette	397	ambiguous(barnett:24/annette:6)
escutia	389	ambiguous(scotia:12/escurial:0)
xiiib	387	no_candidate
pensation	346	weak_unique(sensation:8)
margett	340	weak_unique(margent:0)
aroner	327	ambiguous(atoner:0/ironer:0)
schoolage	318	ambiguous(schoolbag:0/schoolbags:0)
frusetta	306	ambiguous(frusta:0/rosetta:0)
sliag	293	ambiguous(sling:22/slag:21)
migden	287	ambiguous(midden:0/milden:0)
froin	279	ambiguous(groin:33/frown:5)
rmpp	267	weak_unique(repp:0)
canse	263	ambiguous(case:91654/cause:51313)
cwil	262	ambiguous(ceil:56/coil:37)
cmsp	256	weak_unique(cusp:10)
nonsex	255	ambiguous(none:4275/noise:1634)
poochigian	238	no_candidate
kaloogian	238	no_candidate
newsection	228	weak_unique(resection:11)
cahforma	222	no_candidate
creck	221	ambiguous(check:6010/creek:5238)
ceedings	220	weak_unique(feedings:8)
priation	210	weak_unique(privation:3)
ceee	205	ambiguous(cere:1828/cree:1018)
earrier	204	ambiguous(carrier:10699/earlier:4055)
mterest	203	weak_unique(merest:1)
onequarter	202	weak_unique(forequarter:1)
weggeland	202	no_candidate
tioned	200	ambiguous(tined:17/toned:12)
frorn	199	ambiguous(frown:5/frore:2)
eenter	197	ambiguous(center:36398/enter:20089)
clets	193	ambiguous(cleats:125/lets:68)
eent	192	ambiguous(event:35052/cent:15931)
subitems	192	ambiguous(suites:8/suite's:0)
diserction	191	ambiguous(discretion:15083/direction:10316)
remanufacturer	191	weak_unique(remanufacture:10)
quired	190	ambiguous(quire:426/quires:156)
ceeee	187	ambiguous(cease:6027/creek:5238)
shaj	183	ambiguous(shad:145/shaw:83)
ttem	183	ambiguous(item:72668/them:35249)
sonth	179	ambiguous(month:49879/south:19815)
ptember	178	ambiguous(member:100238/september:59602)
thereo	176	ambiguous(thereof:160014/there:89357)
housecar	176	ambiguous(horsecar:0/housecarl:0)
eeeeeeeee	174	no_candidate
nonphysician	170	weak_unique(nonphysical:3)
retary	169	ambiguous(rotary:120/retard:70)
legisla	168	ambiguous(legible:946/legibly:316)
ercated	166	ambiguous(enacted:32228/located:29015)
bioanalyst	162	weak_unique(biocatalyst:0)
gation	155	ambiguous(nation:4827/cation:4096)
followmg	155	ambiguous(following:166407/follows:158722)
elock	154	ambiguous(block:5347/clock:3340)
whon	154	ambiguous(who:232757/when:127905)
omeers	154	weak_unique(ameers:0)
ceeeeee	153	no_candidate
zation	151	ambiguous(nation:4827/cation:4096)
enene	149	ambiguous(event:35052/nine:21319)
repressuring	145	ambiguous(pressuring:7/repressing:0)
reregisters	145	weak_unique(preregisters:4)
reflectorized	140	no_candidate
porated	139	ambiguous(prorated:1213/ported:519)
