[2026-06-10 14:03 PT] prose-coherence-sweep | Sweep started [SMOKE] model=gemma3:27b ollama=http://100.70.54.56:11434 | OK
[2026-06-10 14:03 PT] prose-coherence-sweep | Smoke test complete: 8 acts done | OK
[2026-06-10 14:03 PT] prose-coherence-sweep | Sweep complete: 8 acts scored, 0 errors, wall=0.00h | OK
[2026-06-10 14:03 PT] prose-coherence-sweep | === Per-Volume Score Summary === | OK
[2026-06-10 14:03 PT] prose-coherence-sweep |   1850: n=8 avg=3.62 [3:3 4:5] | OK
[2026-06-10 14:03 PT] prose-coherence-sweep | Sweep started [SMOKE] model=gemma3:27b ollama=http://100.70.54.56:11434 | OK
[2026-06-10 14:03 PT] prose-coherence-sweep | Smoke test complete: 8 acts done | OK
[2026-06-10 14:03 PT] prose-coherence-sweep | Sweep complete: 8 acts scored, 0 errors, wall=0.00h | OK
[2026-06-10 14:03 PT] prose-coherence-sweep | === Per-Volume Score Summary === | OK
[2026-06-10 14:03 PT] prose-coherence-sweep |   1850: n=16 avg=3.62 [3:6 4:10] | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Sweep started [DRY-RUN] model=gemma3:27b ollama=http://100.70.54.56:11434 | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 200 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 400 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 600 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 800 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 1000 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 1200 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 1400 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 1600 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 1800 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 2000 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 2200 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 2400 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 2600 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 2800 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 3000 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 3200 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 3400 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 3600 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 3800 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 4000 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 4200 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 4400 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
