token	freq	tier	category	suggestion
lambra	1591	high_freq	TYPO	lambda
cight	1576	high_freq	TYPO	ight
pubhe	746	high_freq	NAMELIKE	
cence	738	high_freq	TYPO	cece
erty	687	high_freq	TYPO	ert
cuar	669	high_freq	TYPO	car
superin	464	high_freq	FRAGMENT	superintendent
anvear	430	high_freq	NAMELIKE	
ereated	420	high_freq	TYPO	created
ducheny	414	high_freq	NAMELIKE	
appheation	410	high_freq	NAMELIKE	
karnette	397	high_freq	NAMELIKE	
escutia	389	high_freq	NAMELIKE	
xiiib	387	high_freq	TYPO	xiii
pensation	346	high_freq	TYPO	sensation
margett	340	high_freq	NAMELIKE	
aroner	327	high_freq	TYPO	kroner
schoolage	318	high_freq	NAMELIKE	
frusetta	306	high_freq	NAMELIKE	
sliag	293	high_freq	TYPO	slag
migden	287	high_freq	NAMELIKE	
froin	279	high_freq	TYPO	fron
rmpp	267	high_freq	TYPO	mpp
canse	263	high_freq	TYPO	case
cwil	262	high_freq	TYPO	wil
cmsp	256	high_freq	TYPO	msp
nonsex	255	high_freq	NAMELIKE	
kaloogian	238	high_freq	NAMELIKE	
poochigian	238	high_freq	NAMELIKE	
newsection	228	high_freq	NAMELIKE	
cahforma	222	high_freq	NAMELIKE	
creck	221	high_freq	TYPO	breck
ceedings	220	high_freq	TYPO	feedings
priation	210	high_freq	FRAGMENT	appropriation
ceee	205	high_freq	TYPO	eee
earrier	204	high_freq	TYPO	barrier
mterest	203	high_freq	NAMELIKE	
onequarter	202	high_freq	NAMELIKE	
weggeland	202	high_freq	NAMELIKE	
tioned	200	high_freq	TYPO	toned
frorn	199	high_freq	TYPO	fron
eenter	197	high_freq	TYPO	enter
clets	193	high_freq	TYPO	lets
eent	192	high_freq	TYPO	ent
subitems	192	high_freq	NAMELIKE	
diserction	191	high_freq	NAMELIKE	
remanufacturer	191	high_freq	NAMELIKE	
quired	190	high_freq	FRAGMENT	acquired
ceeee	187	high_freq	NOISE	
shaj	183	high_freq	TYPO	haj
ttem	183	high_freq	TYPO	tem
sonth	179	high_freq	TYPO	sont
ptember	178	high_freq	FRAGMENT	september
housecar	176	high_freq	NAMELIKE	
thereo	176	high_freq	TYPO	there
eeeeeeeee	174	high_freq	NOISE	
nonphysician	170	high_freq	NAMELIKE	
retary	169	high_freq	TYPO	retry
legisla	168	high_freq	FRAGMENT	legislate
ercated	166	high_freq	NAMELIKE	
bioanalyst	162	high_freq	NAMELIKE	
followmg	155	high_freq	NAMELIKE	
gation	155	high_freq	TYPO	cation
elock	154	high_freq	TYPO	lock
omeers	154	high_freq	NAMELIKE	
whon	154	high_freq	TYPO	hon
ceeeeee	153	high_freq	NOISE	
zation	151	high_freq	TYPO	cation
enene	149	high_freq	TYPO	nene
repressuring	145	high_freq	NAMELIKE	
reregisters	145	high_freq	NAMELIKE	
reflectorized	140	high_freq	NAMELIKE	
hmited	139	high_freq	NAMELIKE	
porated	139	high_freq	TYPO	ported
lje	138	high_freq	TYPO	je
certam	136	high_freq	NAMELIKE	
strued	136	high_freq	FRAGMENT	construed
indorser	134	high_freq	NAMELIKE	
norpseudoephedrine	132	high_freq	NAMELIKE	
pubheation	131	high_freq	NAMELIKE	
islais	130	high_freq	NAMELIKE	
munici	130	high_freq	TYPO	munich
additiona	129	high_freq	TYPO	addition
ceeding	129	high_freq	TYPO	ceding
emsting	127	high_freq	NAMELIKE	
ferred	126	high_freq	TYPO	erred
omcers	126	high_freq	NAMELIKE	
terest	126	high_freq	TYPO	teresa
salesyard	124	high_freq	NAMELIKE	
tificate	123	high_freq	FRAGMENT	pontificate
cuav	122	high_freq	TYPO	uav
portation	121	high_freq	FRAGMENT	deportation
providec	120	high_freq	TYPO	provide
ately	119	high_freq	TYPO	lately
codlin	119	high_freq	TYPO	colin
mencing	119	high_freq	TYPO	fencing
structed	119	high_freq	FRAGMENT	obstructed
szorion	119	high_freq	NAMELIKE	
beheve	117	high_freq	TYPO	behave
encumbrancers	116	high_freq	NAMELIKE	
misde	116	high_freq	TYPO	mise
ciation	114	high_freq	TYPO	cation
eeeeeeeeee	114	high_freq	NOISE	
tuly	114	high_freq	TYPO	duly
daty	113	high_freq	TYPO	day
construcd	112	high_freq	TYPO	construed
cceeeee	111	high_freq	NOISE	
bronshvag	110	high_freq	NAMELIKE	
eneeee	110	high_freq	NOISE	
payrate	110	high_freq	NAMELIKE	
puble	110	high_freq	TYPO	publ
rnay	110	high_freq	TYPO	nay
agricul	109	high_freq	FRAGMENT	agricultural
cipal	108	high_freq	FRAGMENT	municipal
eross	108	high_freq	TYPO	ross
stantially	108	high_freq	FRAGMENT	substantially
setencich	106	high_freq	NAMELIKE	
eters	105	high_freq	TYPO	evers
appropris	104	high_freq	NAMELIKE	
ceive	104	high_freq	TYPO	clive
rict	104	high_freq	TYPO	ict
appheable	103	high_freq	NAMELIKE	
inade	103	high_freq	TYPO	inane
teaa	102	high_freq	TYPO	taa
jurisdic	101	high_freq	FRAGMENT	jurisdiction
nonmonetary	101	high_freq	NAMELIKE	
achon	100	high_freq	TYPO	chon
appor	100	high_freq	FRAGMENT	apportioned
ceeeeeee	100	high_freq	NOISE	
surance	100	high_freq	FRAGMENT	insurance
sacss	98	high_freq	TYPO	sass
meanor	97	high_freq	TYPO	manor
urder	97	high_freq	TYPO	order
aunum	96	high_freq	TYPO	annum
appheant	95	high_freq	NAMELIKE	
