vol	order	raw	ocr	source_page	img_5090	reason	title
production-1861	91	Cly	101	197	Y	fill_disagrees(ocr=101,fill=152)	Cap. Cly.—An Act authorizing the constructing of a Wagon Road
production-1861	218	CCCCXLIY	441	546	Y	fill_disagrees(ocr=441,fill=442)	Crap. CCCCXLIY.—An Act to incorporate the City of Santa Bar-
production-1862	14	TVI	5	91	N	fill_disagrees(ocr=5,fill=48)	Cuap. TVI.—An Act for the Relief of Wiliam D. Shirley and
production-1862	20	XXTI	22	108	N	fill_disagrees(ocr=22,fill=63)	Cuap. XXTI—An Act amendatory of an Aet to authorize the
production-1862	25	LXXXTI	82	120	N	restart_or_decrease(530->90)	Cuav. LXXXTI.—An Act to unthorize the Supreme Court to admit
production-1862	52	d	500	187	N	fill_disagrees(ocr=500,fill=147)	Cuar. OXLVIIE—An Act concerning the Bourd af Supervisors of
production-1862	62	CLXVITT	168	213	N	restart_or_decrease(190->170)	Cuar. CLXVITT.—An Act to authorize the Removal of Human Re-
production-1862	63	CLXTX	169	214	N	restart_or_decrease(190->170)	Crap. CLXTX.—An Art to repeal an Act entitled an Act to authorize
production-1862	142	CCCCYV	405	578	N	restart_or_decrease(450->410)	Cuar. CCCCYV.—An Act ficing the Fund out of which the Salary
production-1862	143	CCCCTIX	410	582	N	restart_or_decrease(450->410)	Cuap. CCCCTIX.—An Act providing for the Payment for certain
production-1862	154	CCCCLIT	452	620	N	fill_disagrees(ocr=452,fill=445)	Cuav. CCCCLIT—An Art to amend an Act entitled an Act to
production-1863	0	IL	2	65	N	fill_disagrees(ocr=2,fill=1)	Cuarten IL—An Act to provide for the Construction of a Wagon
production-1863	28	XTTIT	14	108	N	fill_disagrees(ocr=14,fill=40)	Cuap. XTTIT.—Axn Act to amend an Act entitled an Act creating the
production-1863	30	XTVIT	16	112	N	fill_disagrees(ocr=16,fill=47)	Car. XTVIT.—An Act io amend the Twenty-First Section of an
production-1863	32	Ii	2	114	N	fill_disagrees(ocr=2,fill=50)	Cuar. Ii.—An Act to amend an slct entitled an Act to amend an
production-1863	60	CLY	150	181	N	fill_disagrees(ocr=150,fill=104)	Crap. CLY.—~An Act supplementary to and amendatory of an Act
production-1863	70	CXXTMI	1120	208	N	fill_disagrees(ocr=1120,fill=122)	Crave. CXXTMI—.1n Act to amend an Act entitled un Act in rela-
production-1863	110	CCXTLV	264	385	N	fill_disagrees(ocr=264,fill=222)	Cuar. CCXTLV.—An Act to authorise the Executors of the Last Will
production-1863	189	D1LV	554	822	N	fill_disagrees(ocr=554,fill=501)	Caav. D1LV.—An Act to amend an Act concerning Public Ferries
production-1863-64	31	LIITI	54	130	N	fill_disagrees(ocr=54,fill=52)	Cuap. LIITI.—An Act to authorize the Controller of State to issue Du-
production-1863-64	216	CCCCIY	401	543	N	fill_disagrees(ocr=401,fill=403)	Cuap. CCCCIY.—An Act to amend an Act supplementary to an Act
production-1865-66	30	XIIITI	15	116	N	fill_disagrees(ocr=15,fill=43)	Cuap. XIIITI.—An Act to appropriate moncy for the payment of
production-1865-66	107	CXCIY	191	262	N	fill_disagrees(ocr=191,fill=193)	Cuar. CXCIY.—An Act to change the name of Laura Henry to
production-1865-66	153	CCCLTV	354	425	N	fill_disagrees(ocr=354,fill=303)	Caar. CCCLTV.—An Act to provide for the payment of moneys
production-1865-66	320	DCXI1	612	949	N	fill_disagrees(ocr=612,fill=629)	Cuar. DCXI1,—An Act amendatory of and supplemental to an Act
production-1867-68	2	IY	1	75	N	fill_disagrees(ocr=1,fill=4)	An Act amendatory of and supplementary to an Act entitled an Act
production-1867-68	40	XLIY	41	113	N	fill_disagrees(ocr=41,fill=43)	An Act to give to Grand and Trial Jurors mileage in the Counties of
production-1867-68	68	LXXIY	71	138	N	fill_disagrees(ocr=71,fill=73)	An Act to repeal an Act entitled an Act to amend an Act entitled an
production-1867-68	130	CXLY	140	194	N	fill_disagrees(ocr=140,fill=143)	An Act to legalize an election of town officers in the Town of Arcata,
production-1867-68	193	CCXXY	220	291	N	fill_disagrees(ocr=220,fill=223)	An Act to amend section twenty of an Act concerning the assessing and
production-1867-68	246	CCXCIY	291	394	N	fill_disagrees(ocr=291,fill=294)	An Act supplemental to and amendatory of an Act to provide for the
production-1867-68	278	CCCXXXY	330	476	N	fill_disagrees(ocr=330,fill=335)	An Act to repeal an Act entitled an Act regulating the assessment and
production-1867-68	335	CCCCXXY	420	613	N	fill_disagrees(ocr=420,fill=425)	An Act to amend an Act entitled an Act to create a Board of Super-
production-1867-68	356	CCCCLXY	460	690	N	fill_disagrees(ocr=460,fill=463)	An Act to incorporate the City of Vallejo.
production-1867-68	385	DXYIII	513	757	N	fill_disagrees(ocr=513,fill=517)	An Act to re-district the County of Monterey and to provide for the
