vol	order	raw	ocr	source_page	img_5090	reason	title
production-1861	91	Cly	101	197	Y	fill_disagrees(ocr=101,fill=152)	Cap. Cly.—An Act authorizing the constructing of a Wagon Road
production-1861	218	CCCCXLIY	441	546	Y	fill_disagrees(ocr=441,fill=442)	Crap. CCCCXLIY.—An Act to incorporate the City of Santa Bar-
production-1905	40	XTIV	15	89	Y	restart_or_decrease(91->45)	An act to amend section 1, of an act entitled ‘‘ An act to amend .
production-1905	202	CCX1LI	260	269	Y	fill_disagrees(ocr=260,fill=241)	An act to appropriate eight hundred and fifteen dollars to pay
production-1905	450	DLXITII	564	779	Y	fill_disagrees(ocr=564,fill=562)	An act making appropriations for the support of the govern-
production-1905	458	d	500	813	Y	fill_disagrees(ocr=500,fill=571)	An act to amend sections eleven hundred and mimnety-one,
production-1905	465	DLXXXI1I	583	835	Y	fill_disagrees(ocr=583,fill=581)	An act to amend the Political Code by adding thereto a new
production-1927-vol1-chapters	701	8il	2	1617	Y	fill_disagrees(ocr=2,fill=811)	An act to amend section four thousand two hundred seveniy-
production-1935-vol1-chapters	90	10d	0	413	Y	fill_disagrees(ocr=0,fill=105)	Stats 1931, An act to amend section 1554 of the Probate Code, relating to
production-1941-vol1-41chapters	681	11382	11382	2442	Y	fill_disagrees(ocr=11382,fill=1131)	An act to amend Section 1179 of the Fish and Game Code, Stats 1933
production-1941-vol1-41chapters	728	d	500	2586	Y	fill_disagrees(ocr=500,fill=1205)	An act to amend Sections 19008, 19009, 19010, 19016, 19018, Stats, 1987
production-1945-vol1-chapters	964	T1905	2	1945	Y	fill_disagrees(ocr=2,fill=1195)	An act to rcpeal Scction 114 of, and to add Section 114 to, the
production-1945-vol1-chapters	1040	13800	13800	2148	Y	fill_disagrees(ocr=13800,fill=1305)	An act to add Section 352.5 to the Political Code, relating to
production-1945-vol1-chapters	1089	13870	13870	2252	Y	fill_disagrees(ocr=13870,fill=1369)	An act to amend Section 72 of the Unemployment Insurance Stats 1935
production-1945-vol1-chapters	1095	13878	13878	2262	Y	restart_or_decrease(1877->1379)	An act to amend Section 158 of the Business and Professions
production-1945-vol1-chapters	1099	13838	13838	2273	Y	restart_or_decrease(1882->1385)	An act to amend Sections 8552, 8553, 8554, 8555, 8556 and 8557
production-1945-vol1-chapters	1110	13899	13899	2304	Y	fill_disagrees(ocr=13899,fill=1398)	An act relating to State lands, making demand for payment of
production-1945-vol1-chapters	1121	I4t2	2	2357	Y	fill_disagrees(ocr=2,fill=1413)	An act making 12 appronriation to be expended pursuant to
production-1945-vol1-chapters	1135	14389	14389	2412	Y	restart_or_decrease(1488->1440)	An act making an appropriation for the establishment of fish
production-1947-vol1-chapters	922	10386	10386	1835	Y	restart_or_decrease(1085->1037)	An aet to amend Section 156.5 of the Vehicle Code, relating to
production-1949-vol1-chapters	773	10438	10438	1937	Y	fill_disagrees(ocr=10438,fill=1041)	An act to add Chapter 1a to Division 2 to, and to repeal Section
production-1949-vol1-chapters	926	12386	12386	2167	Y	fill_disagrees(ocr=12386,fill=1235)	An act making an appropriation for the support of the State
production-1951-vol2-chapters	10	10380	10380	48	Y	fill_disagrees(ocr=10380,fill=1035)	An act to repeal Section 7504 of the Public Utilaties Code, de-
production-1951-vol2-chapters	11	10387	10387	48	Y	fill_disagrees(ocr=10387,fill=1036)	An act to repeal Section 7502 of the Public Utilities Code, re-
production-1951-vol2-chapters	201	12638	12638	435	Y	fill_disagrees(ocr=12638,fill=1261)	An act to amend Sections 19601, 19601.5, 19001 6, 19607, 19608,
production-1951-vol2-chapters	252	13828	13828	499	Y	fill_disagrees(ocr=13828,fill=1327)	An act to amend Section 755 of the Political Code and Section
production-1953-vol2-chapters	640	17738	17738	986	Y	fill_disagrees(ocr=17738,fill=1772)	An act to add Scctions 12264 and 69844.5 to the Government
production-1955-vol2-chapters	537	18538	18538	1313	Y	fill_disagrees(ocr=18538,fill=1850)	An act to amend Section 431 of the Education Code, relating
production-1957-vol1-57chapters	846	11384	11384	1886	Y	fill_disagrees(ocr=11384,fill=1133)	An act to add Section 8406.5 to the Education Code, relating
production-1957-vol1-57chapters	974	13802	13802	2079	Y	fill_disagrees(ocr=13802,fill=1300)	An act to add Section 35002.1 to the Government Code, relat.
production-1957-vol2-57chapters	695	21538	21538	1075	Y	fill_disagrees(ocr=21538,fill=2152)	An act to add Section 69612 to the Government Code, relating
production-1957-vol2-57chapters	880	23851	23851	1345	Y	fill_disagrees(ocr=23851,fill=2301)	An act to amend Seclion 25630 of the Business and Professions
production-1957-vol2-57chapters	897	23871	23871	1371	Y	fill_disagrees(ocr=23871,fill=2370)	An act to amend Section 31007 of the Government Code, relat-
