vol	order	raw	ocr	source_page	img_5090	reason	title
production-1862	14	TVI	5	91	N	fill_disagrees(ocr=5,fill=48)	Cuap. TVI.—An Act for the Relief of Wiliam D. Shirley and
production-1862	20	XXTI	22	108	N	fill_disagrees(ocr=22,fill=63)	Cuap. XXTI—An Act amendatory of an Aet to authorize the
production-1862	25	LXXXTI	82	120	N	restart_or_decrease(530->90)	Cuav. LXXXTI.—An Act to unthorize the Supreme Court to admit
production-1862	52	d	500	187	N	fill_disagrees(ocr=500,fill=147)	Cuar. OXLVIIE—An Act concerning the Bourd af Supervisors of
production-1862	62	CLXVITT	168	213	N	restart_or_decrease(190->170)	Cuar. CLXVITT.—An Act to authorize the Removal of Human Re-
production-1862	63	CLXTX	169	214	N	restart_or_decrease(190->170)	Crap. CLXTX.—An Art to repeal an Act entitled an Act to authorize
production-1862	142	CCCCYV	405	578	N	restart_or_decrease(450->410)	Cuar. CCCCYV.—An Act ficing the Fund out of which the Salary
production-1862	143	CCCCTIX	410	582	N	restart_or_decrease(450->410)	Cuap. CCCCTIX.—An Act providing for the Payment for certain
production-1862	154	CCCCLIT	452	620	N	fill_disagrees(ocr=452,fill=445)	Cuav. CCCCLIT—An Art to amend an Act entitled an Act to
production-1863	0	IL	2	65	N	fill_disagrees(ocr=2,fill=1)	Cuarten IL—An Act to provide for the Construction of a Wagon
production-1863	28	XTTIT	14	108	N	fill_disagrees(ocr=14,fill=40)	Cuap. XTTIT.—Axn Act to amend an Act entitled an Act creating the
production-1863	30	XTVIT	16	112	N	fill_disagrees(ocr=16,fill=47)	Car. XTVIT.—An Act io amend the Twenty-First Section of an
production-1863	32	Ii	2	114	N	fill_disagrees(ocr=2,fill=50)	Cuar. Ii.—An Act to amend an slct entitled an Act to amend an
production-1863	60	CLY	150	181	N	fill_disagrees(ocr=150,fill=104)	Crap. CLY.—~An Act supplementary to and amendatory of an Act
production-1863	70	CXXTMI	1120	208	N	fill_disagrees(ocr=1120,fill=122)	Crave. CXXTMI—.1n Act to amend an Act entitled un Act in rela-
production-1871-72	58	LXXYV	75	169	N	restart_or_decrease(524->76)	An Act legalizing the ordinances of the City of Oakland, in respect
production-1871-72	79	CIY	101	191	N	fill_disagrees(ocr=101,fill=103)	An Act to facilitate telegraphic communication between America
production-1871-72	113	CLIYV	154	263	N	restart_or_decrease(200->158)	An Act for the relief of Henry Kohn.
production-1871-72	114	CLYVI	156	264	N	restart_or_decrease(200->158)	An Act for the payment of the salary of the late Royal T. Sprague,
production-1871-72	115	CLYII	152	264	N	restart_or_decrease(200->158)	An Act to amend an Act entitled an Act to establish and define the
production-1871-72	145	CCY	200	337	N	fill_disagrees(ocr=200,fill=205)	An Act to amend an Act entitled an Act concerning roads and high-
production-1871-72	146	CCYI	201	338	N	fill_disagrees(ocr=201,fill=206)	An Act supplemental to and amendatory of an Act entitled an Act to
production-1871-72	175	CCXLY	240	410	N	fill_disagrees(ocr=240,fill=245)	An Act authorizing the Board of Supervisors of Tudlumne County
production-1871-72	200	CCXCIY	291	487	N	fill_disagrees(ocr=291,fill=292)	An Act to provide for the condemnation of lands for road purposes in
production-1871-72	235	CCCXLY	340	565	N	fill_disagrees(ocr=340,fill=342)	An Act to authorize the transfer to the General Fund of money in
production-1871-72	247	CCCLXY	360	605	N	fill_disagrees(ocr=360,fill=362)	An Act to amend an Act entitled an Act concerning roads and high-
production-1871-72	285	CCCCXLIL	442	743	N	restart_or_decrease(460->444)	An Act concerning public wharves.
production-1871-72	292	CCCCLY	450	770	N	fill_disagrees(ocr=450,fill=455)	An Act to add an additional section to the Penal Code.
production-1871-72	296	CCCCLXY	460	783	N	fill_disagrees(ocr=460,fill=461)	An Act supplementary to and explanatory of the Act approved March
production-1871-72	309	DIY	501	822	N	fill_disagrees(ocr=501,fill=503)	An Act to facilitate and increase the collection of State and county
production-1871-72	332	DXXXIY	531	855	N	fill_disagrees(ocr=531,fill=533)	An Act to authorize the Board of Supervisors of Plumas County to
production-1871-72	335	DXLY	540	877	N	fill_disagrees(ocr=540,fill=542)	An Act to authorize the Board of Supervisors of El Dorado County
production-1871-72	341	DIL	502	881	N	fill_disagrees(ocr=502,fill=551)	An Act concerning the office of Sheriff of Humboldt County.
production-1871-72	355	DLXXYV	575	929	N	restart_or_decrease(1024->580)	An Act to except certain counties from certain sections of an Act
production-1880	33	XXXVITIL	39	74	N	fill_disagrees(ocr=39,fill=37)	An. Act to repeal an Act entitled “ An Act in relation to the office
production-1880	106	CXXIITI	124	184	N	fill_disagrees(ocr=124,fill=122)	An Act prescribing the form of complaint in actions to recover
production-1881	59	LXXVI1	77	135	N	fill_disagrees(ocr=77,fill=74)	An Act to provide for the purchase of additional grounds for the
production-1885-86	88	CVTILI	156	142	N	fill_disagrees(ocr=156,fill=108)	An Act to amend section three thousand seven hundred and cighty-
production-1887	126	CXLY	140	210	N	fill_disagrees(ocr=140,fill=143)	An Act to provide for the deficiency in the appropriation the
production-1887	157	CLXXXTI	182	287	N	fill_disagrees(ocr=182,fill=182)	An Act to appropriate money to pay the claim of Richard Cole-
production-1889	132	CLVIIL	158	232	N	restart_or_decrease(205->159)	An Act to authorize the Board of State Harbor Commissioners to
production-1889	173	CCVITI	208	359	N	restart_or_decrease(255->209)	An Act to increase the nwmber of clerks for the limited period
production-1889	206	CCLVITII	259	445	N	restart_or_decrease(305->259)	An Act to amend sections seven hundred and fifty-two, seven hun-
production-1889	208	CCLXI1	262	455	N	fill_disagrees(ocr=262,fill=260)	An Act authorizing the incurring of indebtedness by cities, towns,
