[2026-06-20 23:42 PT] VISUAL-1855 | === BEGIN visual recovery 1855 === | OK
[2026-06-20 23:42 PT] VISUAL-1855 | OCR loaded: 324 pages (max=324) | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Missing chapters: 42 | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 18 (XVIII) -- range 26..28 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch18: VERIFIED -- CHAP.XVIII=18 pg=27 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 33 (XXXIII) -- range 4..52 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch33: VERIFIED -- CHAP.XXXIII=33 pg=49 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 35 (XXXV) -- range 52..53 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch35: VERIFIED -- CHAP.XXXV=35 pg=52 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 44 (XLIV) -- range 59..60 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch44: VERIFIED -- CHAP.XLIV=44 pg=59 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 52 (LII) -- range 5..73 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch52: VERIFIED -- CHAP.LII=52 pg=72 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 55 (LV) -- range 73..75 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch55: VERIFIED -- CHAP.LV=55 pg=74 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 62 (LXII) -- range 84..86 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch62: VERIFIED -- CHAP.LXII=62 pg=85 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 72 (LXXII) -- range 91..92 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch72: VERIFIED -- CHAP.LAXII=72 pg=91 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 75 (LXXV) -- range 6..112 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch75: VERIFIED -- CHAP.LXXV=75 pg=111 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 80 (LXXX) -- range 115..117 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch80: VERIFIED -- CHAP.LXXX=80 pg=116 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 87 (LXXXVII) -- range 120..123 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch87: VERIFIED -- CHAP.LXXXVII=87 pg=121 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 88 (LXXXVIII) -- range 120..123 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch88: VERIFIED -- CHAP.LAXXVIII=88 pg=122 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 91 (XCI) -- range 116..125 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch91: VERIFIED -- CHAP.XCI=91 pg=124 [surya] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 103 (CIII) -- range 135..141 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch103: VERIFIED -- CHAP.CIII=103 pg=136 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 104 (CIV) -- range 135..141 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch104: VERIFIED -- CHAP.CIV=104 pg=137 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 105 (CV) -- range 135..141 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch105: VERIFIED -- CHAP.CV=105 pg=140 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 112 (CXII) -- range 145..146 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch112: VERIFIED -- CHAP.CXII=112 pg=146 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 118 (CXVIII) -- range 156..157 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch118: VERIFIED -- CHAP.CXVIII=118 pg=156 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 121 (CXXI) -- range 158..159 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch121: VERIFIED -- CHAP.CXXI=121 pg=159 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 132 (CXXXII) -- range 172..174 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch132: VERIFIED -- CHAP.CXXXII=132 pg=174 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 139 (CXXXIX) -- range 177..183 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch139: VERIFIED -- CHAP.CXXXIX=139 pg=180 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 145 (CXLV) -- range 191..194 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch145: VERIFIED -- CHAP.CXLV=145 pg=192 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 147 (CXLVII) -- range 194..200 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch147: VERIFIED -- CHAP.CXLVII=147 pg=195 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 156 (CLVI) -- range 10..213 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch156: VERIFIED -- CHAP.CLVI=156 pg=212 [surya] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 164 (CLXIV) -- range 218..221 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch164: VERIFIED -- CHAP.CLXIV=164 pg=220 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 165 (CLXV) -- range 218..221 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch165: NOT FOUND in any engine -- needs reocr | WARN
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 167 (CLXVII) -- range 221..222 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch167: VERIFIED -- CHAP.CLXVII=167 pg=221 [surya] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 184 (CLXXXIV) -- range 240..241 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch184: VERIFIED -- CHAP.CLXXXIV=184 pg=240 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 188 (CLXXXVIII) -- range 251..253 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch188: VERIFIED -- CHAP.CLXXXVIII=188 pg=252 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 205 (CCV) -- range 284..285 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch205: VERIFIED -- CHAP.CCV=205 pg=284 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 207 (CCVII) -- range 285..288 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch207: VERIFIED -- CHAP.CCVII=207 pg=285 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 208 (CCVIII) -- range 285..288 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch208: VERIFIED -- CHAP.CCVIII=208 pg=287 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 215 (CCXV) -- range 13..294 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch215: VERIFIED -- CHAP.CCXV=215 pg=295 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 218 (CCXVIII) -- range 296..297 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch218: VERIFIED -- CHAP.CCXVIII=218 pg=296 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 221 (CCXXI) -- range 299..301 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch221: VERIFIED -- CHAP.CCXXI=221 pg=300 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 223 (CCXXIII) -- range 301..304 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch223: VERIFIED -- CHAP.CCXXIII=223 pg=303 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 225 (CCXXV) -- range 304..310 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch225: VERIFIED -- CHAP.CCXXV=225 pg=308 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 226 (CCXXVI) -- range 304..310 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch226: VERIFIED -- CHAP.CCXX VI=226 pg=309 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 228 (CCXXVIII) -- range 310..314 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch228: VERIFIED -- CHAP.CCXXVIII=228 pg=310 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 229 (CCXXIX) -- range 310..314 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch229: VERIFIED -- CHAP.CCXXIX=229 pg=311 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 230 (CCXXX) -- range 310..314 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch230: VERIFIED -- CHAP.CCXXX=230 pg=314 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Ch 231 (CCXXXI) -- range 310..314 | OK
[2026-06-20 23:42 PT] VISUAL-1855 |   ch231: VERIFIED -- CHAP.CCXXXI=231 pg=315 [doctr] | OK
[2026-06-20 23:42 PT] VISUAL-1855 | Output written: C:\PatoLex-scratch\production-1855\parsed_acts_visual.json | OK
[2026-06-20 23:42 PT] VISUAL-1855 | SUMMARY: targeted=42, verified=41, not_found=1, mismatch=0 | OK
[2026-06-20 23:42 PT] VISUAL-1855 | === END visual recovery 1855 === | OK
[2026-06-20 23:45 PT] VISUAL-1855 | Step 0: manifest loaded -- 42 missing chapters in production-1855 | OK
[2026-06-20 23:45 PT] VISUAL-1855 | Step 1: OCR structure confirmed -- 324 pages tess/doctr/surya/consensus | OK
[2026-06-20 23:45 PT] VISUAL-1855 | Step 2: visual_recovery_1855.py run -- all 4 engines searched per page | OK
[2026-06-20 23:45 PT] VISUAL-1855 | Initial results: targeted=42 verified=41 not_found=1 mismatch=0 | OK
[2026-06-20 23:45 PT] VISUAL-1855 | Correction ch72: LAXII->LXXII (doctr A->X garble; surya correct on pg 91) | OK
[2026-06-20 23:45 PT] VISUAL-1855 | Correction ch88: LAXXVIII->LXXXVIII (tess/doctr garble; surya correct pg 122) | OK
[2026-06-20 23:45 PT] VISUAL-1855 | Correction ch165: NOT_FOUND->image_verified OLXV on pg 220 (C->O garble) both doctr+surya title=For the Relief of Joseph Marzen and Bernhard Mayer | OK
[2026-06-20 23:45 PT] VISUAL-1855 | Correction ch226: CCXX VI->CCXXVI (space-split artifact all engines agree) | OK
[2026-06-20 23:45 PT] VISUAL-1855 | FINAL: targeted=42 verified=42 not_found=0 mismatch=0 -- 100% coverage | OK
[2026-06-20 23:45 PT] VISUAL-1855 | Output: C:\PatoLex-scratch\production-1855\parsed_acts_visual.json | OK
[2026-06-20 23:45 PT] VISUAL-1855 | Crops dir: C:\PatoLex-scratch\visual_crops_1855\ (42 crops) | OK
