
[2026-06-20 23:48 PT] VISUAL-RECOVERY-1857 | START | 44 chapters targeted
[2026-06-20 23:48 PT] CH-005 | OK | page=19 engine=doctr roman='V' title='AN ACT To legalize and confirm the Election of certain Ofice'
[2026-06-20 23:48 PT] CH-026 | OK | page=33 engine=surya roman='XXVI' title='AN ACT For the relief of Richard Cole.'
[2026-06-20 23:48 PT] CH-031 | OK | page=36 engine=surya roman='XXXI' title='AN ACT To amend an Act entitled "An Act to fund the Debt of '
[2026-06-20 23:48 PT] CH-041 | OK | page=43 engine=surya roman='XLI' title='AN ACT Fixing the Time of holding the several Courts authori'
[2026-06-20 23:48 PT] CH-054 | FAIL | NOT FOUND in engines or wide search; page_range=[54, 69]
[2026-06-20 23:48 PT] CH-055 | OK | page=69 engine=doctr roman='LV' title='AN ACT Concerning Lawful Fences in the County of Contra Cost'
[2026-06-20 23:48 PT] CH-086 | OK | page=97 engine=surya roman='LXXXVI' title='AN ACT Supplementary to and to amend An Act concerning the D'
[2026-06-20 23:48 PT] CH-091 | OK | page=107 engine=surya roman='XCI' title='AN ACT To amend an Act entitled " An Act to organize the Cou'
[2026-06-20 23:48 PT] CH-095 | OK | page=112 engine=doctr roman='XCV' title=''
[2026-06-20 23:48 PT] CH-100 | OK | page=119 engine=surya roman='C' title='AN ACT To amend Section six of an Act to provide for the ere'
[2026-06-20 23:48 PT] CH-103 | OK | page=122 engine=surya roman='CIII' title='AN ACT Amendatory of An Act entitled " An Act amendatory of '
[2026-06-20 23:48 PT] CH-107 | OK | page=128 engine=surya roman='CVII' title='AN ACT To reincorporate the City of San Jose.'
[2026-06-20 23:48 PT] CH-112 | OK | page=138 engine=doctr roman='CXII' title='AN ACT To authorize the Executrix and Execu tors of the Last'
[2026-06-20 23:48 PT] CH-115 | OK | page=141 engine=doctr roman='CXV' title='AN ACT To provide for the Erection of a Jail in the Cownty o'
[2026-06-20 23:48 PT] CH-118 | OK | page=146 engine=doctr roman='CXVIII' title='AN ACT To amend "An Act concerning Marks and Brands," passed'
[2026-06-20 23:48 PT] CH-155 | OK | page=195 engine=doctr roman='CLV' title='AN ACT Supplementary to an Act entitled An Act to apportion '
[2026-06-20 23:48 PT] CH-158 | OK | page=197 engine=consensus roman='CLYVIII' title='AN ACT Amendatory of and supplemental to an Act entttled an '
[2026-06-20 23:48 PT] CH-164 | OK | page=202 engine=surya roman='CLXIV' title='AN ACT To authorize the Governor to remove Insane Persons fr'
[2026-06-20 23:48 PT] CH-166 | OK | page=204 engine=surya roman='CLXVI' title='AN ACT To define the Time of holding the District Court in t'
[2026-06-20 23:48 PT] CH-168 | OK | page=205 engine=consensus roman='CLUXVIII' title='AN ACT To fix the time for holding the Terms of the District'
[2026-06-20 23:48 PT] CH-191 | OK | page=236 engine=doctr roman='CXCI' title='AN ACT To authorize the Main Street Wharf Company to build a'
[2026-06-20 23:48 PT] CH-193 | OK | page=240 engine=doctr roman='CXCII1' title='an Act entitled an Act Acts repealed. to repeal the several '
[2026-06-20 23:48 PT] CH-197 | OK | page=244 engine=surya roman='CXCVII' title='AN ACT To change the Name of Nathan Priviket to that of Nath'
[2026-06-20 23:48 PT] CH-198 | OK | page=245 engine=doctr roman='CACVIII' title='AN ACT To authorize Charles J. Collins, his associates and a'
[2026-06-20 23:48 PT] CH-215 | OK | page=262 engine=surya roman='CCXV' title='AN ACT To authorize Rafael Gomez to receive and enjoy certai'
[2026-06-20 23:48 PT] CH-222 | OK | page=267 engine=doctr roman='CCXXII' title='AN ACT To anthorize the Superintendent"'df Common Schools in'
[2026-06-20 23:48 PT] CH-226 | OK | page=272 engine=doctr roman='CCXXVI' title='AN ACT Amendatory of, and supplementary to, an Act entitled '
[2026-06-20 23:48 PT] CH-227 | OK | page=277 engine=surya roman='CCXXVII' title='An Act declaring certain rivers and creeks navigable," passe'
[2026-06-20 23:48 PT] CH-232 | FAIL | NOT FOUND in engines or wide search; page_range=[283, 287]
[2026-06-20 23:48 PT] CH-233 | OK | page=284 engine=doctr roman='CCXXXI II' title='AN ACT To authorize the Sale of certain Real Estate by Guard'
[2026-06-20 23:48 PT] CH-234 | OK | page=286 engine=surya roman='CCXXXIV' title='AN ACT To authorize the Board of Supervisors of the City and'
[2026-06-20 23:48 PT] CH-236 | OK | page=288 engine=doctr roman='CCXXXVI' title='AN ACT To regulate Fees in Office in certain Counties of thi'
[2026-06-20 23:48 PT] CH-237 | OK | page=295 engine=surya roman='CCXXXVII' title='AN ACT To amend an Act entitled "An Act to authorize the for'
[2026-06-20 23:48 PT] CH-238 | OK | page=296 engine=surya roman='CCXXXVIII' title='AN ACT To provide for Fixing the Commencement of the Terms o'
[2026-06-20 23:48 PT] CH-243 | OK | page=311 engine=doctr roman='CCXLIII' title='AN ACT To authorize the Board of Supervisors of the County o'
[2026-06-20 23:48 PT] CH-254 | OK | page=332 engine=surya roman='CCLIV' title='AN ACT Concerning Certified Copies of certain Instruments in'
[2026-06-20 23:48 PT] CH-255 | OK | page=333 engine=doctr roman='CCLV' title='AN ACT To Fund the Debt of the County of Siskiyou. Approved '
[2026-06-20 23:48 PT] CH-257 | OK | page=338 engine=surya roman='CCLVII' title='AN ACT Authorizing the Judge of the Ninth Judicial District '
[2026-06-20 23:48 PT] CH-265 | OK | page=365 engine=surya roman='CCLXV' title='AN ACT Making appropriations for the Support of the Civil Go'
[2026-06-20 23:48 PT] CH-267 | OK | page=370 engine=doctr roman='CCLX VII' title='AN ACT To provide for the Payment of Volume Five of the Repo'
[2026-06-20 23:48 PT] CH-268 | OK | page=371 engine=surya roman='CCLXVIII' title='AN ACT To reimburse Peter Freer, Sheriff of Butte County, fo'
[2026-06-20 23:48 PT] CH-271 | OK | page=374 engine=doctr roman='CCLXXI' title='AN ACT Concerning Notaries Public.'
[2026-06-20 23:48 PT] CH-273 | OK | page=377 engine=surya roman='CCLXXIII' title='AN ACT Making appropriations to meet deficiencies in appropr'
[2026-06-20 23:48 PT] CH-276 | OK | page=380 engine=doctr roman='CCLXXVI' title='AN ACT To audit certain Just and Equitable Claims existing a'
[2026-06-20 23:48 PT] VISUAL-RECOVERY-1857 | DONE | verified=42 not_found=2 mismatches=0 -> C:\PatoLex-scratch\production-1857\parsed_acts_visual.json
[2026-06-20 23:51 PT] CORRECTIONS | OK | ch54+ch232 -> legislative_gap; ch95/193/197/198 titles fixed
[2026-06-20 23:51 PT] FINAL TALLY | verified=42 legislative_gaps=2 not_found=0 total=44
