[2026-06-21 03:26 PT] VISUAL-1899 | START | Loading OCR and manifest | OK
[2026-06-21 03:26 PT] VISUAL-1899 | LOAD | 560 OCR pages, 45 missing chapters | OK
[2026-06-21 03:26 PT] VISUAL-1899 | TOC | Built TOC map with 97 entries | OK
[2026-06-21 03:26 PT] VISUAL-1899 | CH 22 | Searching pages 78-80 (bounds ch21-ch24) | START
[2026-06-21 03:26 PT] VISUAL-1899 | START | Loading OCR and manifest | OK
[2026-06-21 03:26 PT] VISUAL-1899 | LOAD | 560 OCR pages, 45 missing chapters | OK
[2026-06-21 03:26 PT] VISUAL-1899 | TOC | Built TOC map with 97 entries | OK
[2026-06-21 03:26 PT] VISUAL-1899 | CH 22 | Searching pages 78-80 (bounds ch21-ch24) | START
[2026-06-21 03:26 PT] VISUAL-1899 | CH 22 | LEGISLATIVE_GAP (dense span 2pp/3ch) | WARN
[2026-06-21 03:26 PT] VISUAL-1899 | CH 23 | Searching pages 78-80 (bounds ch21-ch24) | START
[2026-06-21 03:26 PT] VISUAL-1899 | CH 23 | LEGISLATIVE_GAP (dense span 2pp/3ch) | WARN
[2026-06-21 03:26 PT] VISUAL-1899 | CH 26 | Searching pages 81-83 (bounds ch25-ch28) | START
[2026-06-21 03:26 PT] VISUAL-1899 | CH 26 | LEGISLATIVE_GAP (dense span 2pp/3ch) | WARN
[2026-06-21 03:26 PT] VISUAL-1899 | CH 27 | Searching pages 81-83 (bounds ch25-ch28) | START
[2026-06-21 03:26 PT] VISUAL-1899 | CH 27 | LEGISLATIVE_GAP (dense span 2pp/3ch) | WARN
[2026-06-21 03:26 PT] VISUAL-1899 | CH 31 | Searching pages 85-86 (bounds ch30-ch32) | START
[2026-06-21 03:26 PT] VISUAL-1899 | CH 31 | VERIFIED at page 85 | OK
[2026-06-21 03:26 PT] VISUAL-1899 | CH 33 | Searching pages 86-89 (bounds ch32-ch34) | START
[2026-06-21 03:26 PT] VISUAL-1899 | CH 33 | VERIFIED at page 87 | OK
[2026-06-21 03:26 PT] VISUAL-1899 | CH 43 | Searching pages 96-103 (bounds ch42-ch46) | START
[2026-06-21 03:26 PT] VISUAL-1899 | CH 43 | VERIFIED at page 101 | OK
[2026-06-21 03:26 PT] VISUAL-1899 | CH 44 | Searching pages 96-103 (bounds ch42-ch46) | START
[2026-06-21 03:26 PT] VISUAL-1899 | CH 44 | VERIFIED at page 101 | OK
[2026-06-21 03:26 PT] VISUAL-1899 | CH 45 | Searching pages 96-103 (bounds ch42-ch46) | START
[2026-06-21 03:26 PT] VISUAL-1899 | CH 45 | VERIFIED at page 102 | OK
[2026-06-21 03:26 PT] VISUAL-1899 | CH 52 | Searching pages 114-115 (bounds ch51-ch53) | START
[2026-06-21 03:26 PT] VISUAL-1899 | CH 52 | VERIFIED at page 114 | OK
