[2026-06-21 03:31 PT] VISUAL-1905 | START resolve_hard_cases.py | OK
[2026-06-21 03:31 PT] VISUAL-1905 | resolve_hard_cases.py complete | OK
[2026-06-21 03:38 PT] VISUAL-1905 | START build_final_output_1905.py -- corrected parser with reversed() roman numerals | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Manifest: 50 missing chapters | OK
[2026-06-21 03:38 PT] VISUAL-1905 | OCR loaded: 1123 pages | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Index built: 602 distinct chapters | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 6 (VI): image_verified OCR p=53 [doctr_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 103 (CIII): image_verified OCR p=148 [doctr_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 128 (CXXVIII): image_verified OCR p=179 [doctr_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 131 (CXXXI): image_verified OCR p=183 [doctr_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 142 (CXLII): image_verified OCR p=190 [surya_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 172 (CLXXII): image_verified OCR p=217 [doctr_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 187 (CLXXXVII): image_verified OCR p=232 [doctr_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 193 (CXCIII): image_verified OCR p=238 [doctr_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 213 (CCXIII): image_verified OCR p=249 [consensus_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 227 (CCXXVII): image_verified OCR p=260 [doctr_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 241 (CCXLI): image_verified OCR p=268 [doctr_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 252 (CCLII): image_verified OCR p=275 [doctr_text/strict] | OK
