[2026-06-21 00:00 PT] INIT | Visual recovery worker for 1921 -- 9 missing chapters targeted: [4, 681, 683, 742, 743, 761, 796, 820, 883] | OK
[2026-06-21 00:01 PT] SETUP | Manifest loaded: C:\PatoLex-scratch\_manifest_1921.json -- single vol production-1921-vol1-chapters, 2270 page images confirmed | OK
[2026-06-21 00:02 PT] VERIFY | Key->image mapping confirmed: source_page P -> page_{P-1:04d}.png. Test: source_page 2 (ch 3) -> page_0001.png shows [Ch. 3] running head -- CORRECT | OK
[2026-06-21 00:03 PT] CH4 | source_page range [2,7]. Image page_0006.png (source_page 7): [Ch. 4] running head + CHAPTER 4. header confirmed. Title: appropriation for escheat proceedings | OK
[2026-06-21 00:04 PT] CH681-683 | source_page range [1154,1157]. page_1153.png (source_page 1154): CHAPTER 681. (UC Berkeley school of education building) + CHAPTER 682. (UC Berkeley physics building) -- BONUS ch 682 recovered (was not in manifest as missing). page_1154.png (source_page 1155): [Ch. 683] running head + CHAPTER 683. (foreign language private schools PC 1534) | OK
[2026-06-21 00:05 PT] CH742-743 | source_page range [1283,1286]. page_1284.png (source_page 1285): [Ch. 742] running head + CHAPTER 742. (UC agriculture college) + CHAPTER 743. (university farm buildings). OCR corruption: 'CUIAVPTER 142' | OK
[2026-06-21 00:06 PT] CH761 | source_page range [1314,1317]. page_1315.png (source_page 1316): [Ch. 761] running head + CHAPTER 761. (PC 515 salaries, supt public instruction). OCR had no chapter start on these pages | OK
[2026-06-21 00:07 PT] CH796 | source_page range was corrupted [1306,1437] -- OCR misread Ch. 757 as '797' giving false hi_ch. Searched pages 1430-1445. page_1437.png (source_page 1438): [Ch. 796] running head + CHAPTER 796. (PC 4244 salaries, 15th class counties). Also identified OCR corruption: 'CHAPTER 7194'='794', 'CHAPTER 7198'='795' | OK
[2026-06-21 00:08 PT] CH820 | source_page range [1495,1500]. page_1498.png (source_page 1499): [Ch. 820] running head + CHAPTER 820. (CC 498 street railway track construction) | OK
[2026-06-21 00:09 PT] CH883 | source_page range [1669,1673]. page_1672.png (source_page 1673): [Ch. 883] running head + CHAPTER 883. (appropriation for Madera-Yosemite highway survey). OCR corruption: 'CHAPTER 8838' | OK
[2026-06-21 00:10 PT] OUTPUT | Written C:\PatoLex-scratch\production-1921-vol1-chapters\parsed_acts_visual.json -- 10 acts recovered (9 targeted + bonus ch 682), 0 legislative_gap, 0 not_found | OK
[2026-06-21 00:11 PT] COMPLETE | 1921 visual recovery: 9 targeted -> 10 verified, 0 gap, 0 not_found. All image-verified via running heads. Key OCR pathologies documented in _visual_meta.notes | OK
