[2026-06-20 02:30 PT] INIT | visual-recovery 1943 START | 26 missing chapters across 2 volumes | OK
[2026-06-20 02:31 PT] LOAD | Manifest read: 26 missing, vol1-42chapters (1 ch), vol1-chapters (25 chs) | OK
[2026-06-20 02:32 PT] LOAD | OCR consensus loaded: vol1-chapters (3284 keys/3290 pages), vol1-42chapters (98 keys/102 pages) | OK
[2026-06-20 02:33 PT] LOAD | PDF open: 1943_Vol1_Chapters.pdf (3290 pages), 1943_Vol1_42Chapters.pdf (102 pages) | OK
[2026-06-20 02:34 PT] PROBE | Page mapping confirmed: source_page P -> PDF 0-idx P-1 (key K -> page_1indexed K+1) | OK
[2026-06-20 02:35 PT] CH 25 | vol=production-1943-vol1-42chapters | bracket: lo=24@p32, hi=26@p42 | bracket was too narrow -- ch25 at sp=62 | SEARCHING
[2026-06-20 02:36 PT] CH 25 | Rendered sp=62 (PDF 0-idx=61), 42Chapters.pdf | IMAGE READ | VERIFIED: printed CHAPTER 25 at top | OK
[2026-06-20 02:37 PT] CH 25 | CONFIRMED | source_page=62 (printed p.64) | Senate Joint Resolution No. 6 -- Relative to flood control on the Sacramento River | OK
[2026-06-20 02:40 PT] CH 71 | vol=production-1943-vol1-chapters | bracket: lo=70@p202, hi=73@p686 | OCR scan finds no CHAPTER 71 header -- massive Education Code act | SEARCHING
[2026-06-20 02:41 PT] CH 71 | Rendered sp=203 (PDF 0-idx=202) | IMAGE READ | VERIFIED: printed CHAPTER 71 at top of page | OK
[2026-06-20 02:42 PT] CH 71 | CONFIRMED | source_page=203 (printed p.310) | An act to establish an Education Code, thereby consolidating and revising the law relating to the establishment, maintenance, government and operation of schools... | OK
[2026-06-20 02:43 PT] CH 72 | vol=production-1943-vol1-chapters | bracket: lo=70@p202, hi=73@p686 | same huge range as ch71 | SEARCHING
[2026-06-20 02:44 PT] CH 72 | Rendered sp=686 (PDF 0-idx=685) | IMAGE READ | VERIFIED: printed CHAPTER 72 at top of page | OK
[2026-06-20 02:44 PT] CH 72 | CONFIRMED | source_page=686 (printed p.793) | An act to add Article 2, comprising Section 5171, to Chapter 2 of Division 3, and to add Section 40006 to Division 20, of the Education Code, relating to payments from State general funds for support of elementary schools | OK
[2026-06-20 02:45 PT] CH 80 | vol=production-1943-vol1-chapters | bracket: lo=79@p687, hi=81@p688 | OCR page 688 has no header (split across page break) | SEARCHING
[2026-06-20 02:46 PT] CH 80 | Rendered sp=688 (PDF 0-idx=687) | IMAGE READ | VERIFIED: printed CHAPTER 80 at top of page | OK
[2026-06-20 02:46 PT] CH 80 | CONFIRMED | source_page=688 (printed p.795) | An act to add Article 4, comprising Sections 6971 to 6979, inclusive, and Article 5, comprising Section 6991, to Chapter 13 of Division 3, and to add Section 40014 to Division 20 of the Education Code, relating to apportionments from the State General Fund to elementary schools | OK
[2026-06-20 02:47 PT] CH 175 | vol=production-1943-vol1-chapters | bracket: lo=174@p962, hi=176@p963 | OCR page 963 shows ch176, ch175 missed | SEARCHING
[2026-06-20 02:47 PT] CH 175 | Rendered sp=963 (PDF 0-idx=962) | IMAGE READ | VERIFIED: printed CHAPTER 175 at top of page | OK
[2026-06-20 02:48 PT] CH 175 | CONFIRMED | source_page=963 (printed p.1070) | An act to amend Section 2102 of the Education Code, relating to city boards of education | OK
[2026-06-20 02:48 PT] CH 373 | vol=production-1943-vol1-chapters | bracket: lo=372@p1790, hi=374@p1790 | OCR garbled 373 as '3738' | SEARCHING
[2026-06-20 02:49 PT] CH 373 | Rendered sp=1790 (PDF 0-idx=1789) | IMAGE READ | VERIFIED: printed CHAPTER 373 at middle of page | OK
[2026-06-20 02:49 PT] CH 373 | CONFIRMED | source_page=1790 (printed p.1897) | An act to add Sections 202, 203, 1050.5 and 1050.6 to, to amend Sections 228 and 275 of and to repeal Article 5, of Chapter 1 of Part 2 of Division 2 of the Water Code, relating to the administration of the provisions of said code | OK
[2026-06-20 02:50 PT] CH 383 | vol=production-1943-vol1-chapters | bracket: lo=382@p1793, hi=384@p1794 | | SEARCHING
[2026-06-20 02:50 PT] CH 383 | Rendered sp=1794 (PDF 0-idx=1793) | IMAGE READ | VERIFIED: printed CHAPTER 383 at top of page | OK
[2026-06-20 02:51 PT] CH 383 | CONFIRMED | source_page=1794 (printed p.1901) | An act to add Section 1.5 to an act entitled 'An act regulating the use of public highways for commercial purposes by certain motor vehicles...' relating to highway carriers | OK
[2026-06-20 02:51 PT] CH 585 | vol=production-1943-vol1-chapters | bracket: lo=584@p2053, hi=587@p2063 | OCR misses header | SEARCHING
[2026-06-20 02:52 PT] CH 585 | Rendered sp=2055 (PDF 0-idx=2054) | IMAGE READ | VERIFIED: printed CHAPTER 585 at top of page | OK
[2026-06-20 02:52 PT] CH 585 | CONFIRMED | source_page=2055 (printed p.2162) | An act to add Article 4, comprising Sections 990 to 991.3 inclusive, to Chapter 6 of Division 4 of the Military and Veterans Code, authorizing the creation of a debt or debts... (Veterans Bond Act of 1943) | OK
