[2026-06-21 00:00 PT] VISUAL-1945 | START | Visual recovery of 12 missing chapters for 1945 vol1 | OK
[2026-06-21 00:01 PT] VISUAL-1945 | OCR JSON | Loaded page_ocr_results.json: 2867 pages, keys=source_page (1-indexed), fields: tess_text/doctr_text/surya_text/consensus_text | OK
[2026-06-21 00:02 PT] VISUAL-1945 | chapter 109 | Found on source page 111 (image page_0110.png). OCR tess misread as 106; doctr/surya correct. Title: An act to amend Section 172 of the State Civil Service Act... | image_verified
[2026-06-21 00:03 PT] VISUAL-1945 | chapter 110 | Found on source page 113 (image page_0112.png). OCR tess read 'CIIAPTER 110' on pg112. Image confirms ch110 header at top of pg113. Title: An act to amend Sections 9,41,45,48,55 of the Vehicle Parking District Act of 1943... | image_verified
[2026-06-21 00:04 PT] VISUAL-1945 | chapter 140 | Found on source page 319 (image page_0318.png). OCR consensus read 'CILAPTER 140' on pg318. Image shows ch140 + ch141 on pg319. Title: An act to add Section 7.2 to the Unemployment Insurance Act... | image_verified
[2026-06-21 00:05 PT] VISUAL-1945 | chapter 235 | Found on source page 395 (image page_0394.png). OCR missed ch235 heading on pg395 (only caught ch237). Image shows ch235+ch236 on pg395. Title: An act to add Sections 8773 and 8774 to the Water Code... | image_verified
[2026-06-21 00:06 PT] VISUAL-1945 | chapter 586 | Found on source page 815 (image page_0814.png). OCR pg814 read 'CHAPTER 587'. Image shows ch586+ch587+ch588 on pg815. Title: An act to add Section 2180.1 to the Welfare and Institutions Code... | image_verified
[2026-06-21 00:07 PT] VISUAL-1945 | chapter 663 | Found on source page 1023 (image page_1022.png). OCR pg1022 tess='C-IAPTEHR 663', doctr='CIAPTER 663'. Image confirms ch663 at top of pg1023. Title: An act to amend Section 10607 of the Health and Safety Code... | image_verified
[2026-06-21 00:08 PT] VISUAL-1945 | chapter 664 | Found on source page 1023 (image page_1022.png), same page as ch663. OCR pg1022 doctr reads 'CHAPTER 664' after ch663 text. Image confirms ch664. Title: An act to amend Sections 911.23, 912, 914, 915, 915.5, 917, 919 of... Agricultural Code, relating to seeds | image_verified
[2026-06-21 00:09 PT] VISUAL-1945 | chapter 690 | Found on source page 1067 (image page_1066.png). OCR pg1066 tess='CIAPTER 690'. Image confirms ch690 at top of pg1067. Title: An act to amend Section 348 of the Agricultural Code, relating to cattle slaughterer license fees. | image_verified
[2026-06-21 00:10 PT] VISUAL-1945 | chapter 691 | Found on source page 1067 (image page_1066.png), same page as ch690. OCR pg1066 tess='C-IAPTER. 691' after ch690 text. Image confirms ch691. Title: An act to amend Section 336 of the Agricultural Code, relating to brand recordation fees... | image_verified
[2026-06-21 00:11 PT] VISUAL-1945 | chapter 694 | Found on source page 1071 (image page_1070.png). OCR pg1070 tess misread as 'CHAPTER 684'; doctr correctly read 'CHAPTER 694'. Image confirms ch694 running head. Title: An act to amend Sections 2626, 2630, 4105, 4106... Revenue and Taxation Code, relating to property taxation. | image_verified
[2026-06-21 00:12 PT] VISUAL-1945 | chapter 1143 | Found on source page 1877 (image page_1876.png). OCR pg1876 tess misread as 'CHAPTER 1148'; doctr/surya correctly read 'CHAPTER 1143'. Image confirms ch1143+ch1144 on pg1877. Title: An act to amend Sections 12100, 12150, 12300, 12400 of the Government Code... relating to salaries of State officers. | image_verified
[2026-06-21 00:13 PT] VISUAL-1945 | chapter 1247 | Found on source page 2052 (image page_2051.png). OCR pg2051 tess='CITAPTER T2477'; doctr/surya='CIIAPTER 1247'. Image confirms ch1247 running head. Title: An act to amend Section 19626 of the Business and Professions Code... relating to moneys in Fair and Exposition Fund. | image_verified
[2026-06-21 00:14 PT] VISUAL-1945 | COMPLETE | 12/12 chapters recovered, all image_verified. Output: C:\PatoLex-scratch\production-1945-vol1-chapters\parsed_acts_visual.json | OK
