[2026-06-21 00:00 PT] INIT | VISUAL-1953 campaign start: residual manifest run for 1953 | OK
[2026-06-21 00:01 PT] MANIFEST | python _residual_manifest.py 1953 -> N=1895, present=1887, missing=8: [35, 36, 72, 73, 82, 88, 157, 1895] | OK
[2026-06-21 00:02 PT] VOLUMES | 3 volumes: production-1953-vol1-52chapters, production-1953-vol1-chapters, production-1953-vol2-chapters | OK
[2026-06-21 00:03 PT] IMAGE-CHECK | vol1-52chapters: no pages_raw; vol1-chapters: no pages_raw; vol2-chapters: pages_raw PRESENT (1731 images, key 0=p1 confirmed) | OK
[2026-06-21 00:05 PT] VOL-STRUCTURE | vol1-52chapters = 1952 Second Extra Session (34 chs only); manifest pointed chs 35-36 here incorrectly (lo_ch=34 artifact). Chs 35-36 are in vol1-chapters at pages 41 and 48 | WARN
[2026-06-21 00:10 PT] CH35 | vol1-chapters p=41 (k=40). Title confirmed 3 engines: 'An act to codify certain statutes, relating to the use of property for unlawful purposes...adding Chapter 3 to Title 1 of Part 4 of the Penal Code'. Approved March 28 1953. CHAPTER header cut off (running head missing). No image available. | OK
[2026-06-21 00:11 PT] CH36 | vol1-chapters p=48 (k=47). Title confirmed 3 engines: 'An act to codify certain statutes, relating to the control of deadly weapons by adding Title 2 to Part 4 of the Penal Code'. Approved March 28 1953. CHAPTER header cut off. No image. | OK
[2026-06-21 00:15 PT] CH72 | vol1-chapters p=146 (k=145). Title: 'An act to codify certain acts, relating to the organization...of public utilities...adding Chapter 3 to Part 2, Division 1 of the Public Utilities Code; by adding Division 7'. Large act spanning pages 146-190. CHAPTER 72 header cut off. No image. | OK
[2026-06-21 00:16 PT] CH73 | LEGISLATIVE GAP confirmed. Subagent deep-search of all 4 engines across 1954 pages: zero occurrences of standalone 'CHAPTER 73'. Sequence goes ch 72 (pp.146-190) directly to ch 74 (p=191, all engines confirm). Legislature skipped ch 73 in 1953 Regular Session. | OK
[2026-06-21 00:20 PT] CH82 | vol1-chapters p=199 (k=198). Title: 'An act to codify Chapter 17 of the Statutes of 1907, relating to hospitals, by adding Division 23.5...to the Health and Safety Code'. Approved April 3 1953. CHAPTER 82 header cut off (p=198 ends with ch 81 content, p=199 starts mid-act). Confirmed by positional logic: ch 81 at p=198, ch 83 at p=200. No image. | OK
[2026-06-21 00:22 PT] CH88 | vol1-chapters p=205 (k=204). CHAPTER 88 confirmed by doctr+surya; tess garbles as CHAPTER 83 (digit transposition). Title: 'An act to amend Sections 13521 and 13583 of the Education Code, relating to school district employees.' Approved April 4 1953. Chapter header mid-page 205, after end of ch 87. No image. | OK
[2026-06-21 00:25 PT] CH157 | vol1-chapters p=473 (k=472). Act starts at top of page 473 with title confirmed all 3 engines: 'An act to amend Section 32100.5 of the Health and Safety Code, relating to hospital districts.' Approved April 8 1953. CHAPTER 157 header absent (cut off). Position logic: ch 156 ends at p=472, this act at p=473 (no header), then CHAPTER 158 and 159 confirmed mid-page 473. Pipeline had misassigned this act as ch 160. No image. | OK
[2026-06-21 00:30 PT] CH1895 | vol2-chapters p=1132. IMAGE READ: pages_raw/page_1131.png (key mapping p-1=1131 confirmed). Image clearly shows 'CHAPTER 1895' header + 'Ch. 1895]' running head + printed page '3691'. Title: 'An act to amend Sections 65005, 65030, 65033...and 65037 to...the Government Code, relating to planning.' Approved July 11 1953. OCR tess/consensus misread as 1890; doctr+surya correct; IMAGE CONFIRMS 1895. printed_number_confirmed=TRUE. | OK
[2026-06-21 00:35 PT] OUTPUT | wrote parsed_acts_visual.json to vol1-chapters (7 acts: 6 verified + 1 gap) | OK
[2026-06-21 00:36 PT] OUTPUT | wrote parsed_acts_visual.json to vol2-chapters (1 act, image-verified) | OK
[2026-06-21 00:37 PT] SUMMARY | 1953: targeted=8 missing; verified=7 (6 OCR-text confirmed + 1 image-confirmed); legislative_gap=1 (ch73); not_found=0 | OK
[2026-06-21 00:38 PT] NOTE | Side finding: ch 71/72 absent from all parsed artifacts but present in OCR raw (subagent confirmed). This is a separate parser-dropout issue (out of scope for this visual run, but flagged for follow-up). | WARN
[2026-06-21 00:39 PT] NOTE | vol1-52chapters gets no visual JSON -- chs 35/36 are in vol1-chapters, not here. vol1-52chapters is 1952 Second Extra Session only (chs 1-34). | OK
