[2026-06-21 00:00 PT] INIT | visual-1982 campaign started | 58 missing chapters across 5 volumes | OK
[2026-06-21 00:00 PT] PLAN | vol1=5 missing (ch29,304,305,307,327), vol2=4 (ch395,686,745,746), vol3=3 (ch793,1088,1229), vol4=44 (ch1238-1508), vol5=2 (ch1522,1548) | OK
[2026-06-21 00:30 PT] VOL1/CH29 | source_page=54, image_verified=True, CHAPTER 29 confirmed on page_0054.png | OK
[2026-06-21 00:30 PT] VOL1/CH304 | source_page=961, image_verified=True, CHAPTER 304 confirmed on page_0961.png (OCR missed header) | OK
[2026-06-21 00:30 PT] VOL1/CH305 | source_page=966, image_verified=True, CHAPTER 305 confirmed on page_0966.png (OCR missed header) | OK
[2026-06-21 00:30 PT] VOL1/CH307 | source_page=973, image_verified=True, CHAPTER 307 confirmed on page_0973.png (OCR missed header) | OK
[2026-06-21 00:35 PT] VOL2/CH327 | source_page=2 (vol2), image_verified=True, CHAPTER 327 confirmed on page_0002.png (omnibus act, swamps vol1/vol2 boundary) | OK
[2026-06-21 00:35 PT] VOL2/CH395 | source_page=308 (vol2), image_verified=True, CHAPTER 395 confirmed on page_0308.png | OK
[2026-06-21 00:35 PT] VOL2/CH686 | source_page=1385 (vol2), image_verified=True, CHAPTER 686 confirmed on page_1385.png | OK
[2026-06-21 00:35 PT] VOL2/CH745 | source_page=1513 (vol2), image_verified=True, CHAPTER 745 confirmed on page_1513.png (OCR missed header) | OK
[2026-06-21 00:35 PT] VOL3/CH746 | source_page=2 (vol3), image_verified=True, CHAPTER 746 confirmed on page_0002.png | OK
[2026-06-21 00:40 PT] VOL3/CH793 | source_page=113 (vol3), image_NOT_available (vol3 has no pages_raw), OCR-confirmed by position (between ch792 p110 and ch794 p114), all 3 engines agree on act text | WARN
[2026-06-21 00:40 PT] VOL3/CH1088 | source_page=1002 (vol3), image_NOT_available, OCR-confirmed by position (between ch1087 p1000 and ch1089 p1009), all 3 engines agree on act text | WARN
[2026-06-21 00:40 PT] NOTE | ch1229 manifest-vol=vol3 but actual act found in vol4 page 2; image confirmed CHAPTER 1229 on vol4/page_0002.png | WARN
[2026-06-21 00:45 PT] VOL4/CH1229 | source_page=2 (vol4), image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1238 | source_page=28, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1255 | source_page=65, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1256 | source_page=75, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1262 | source_page=97, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1269 | source_page=146, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1274 | source_page=171, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1275 | source_page=174, image_verified=True (multi-chapter page with ch1276) | OK
[2026-06-21 00:45 PT] VOL4/CH1282 | source_page=206, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1301 | source_page=269, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1304 | source_page=274, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1306 | source_page=278, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1309 | source_page=285, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1319 | source_page=338, image_verified=True (multi-chapter page, CHAPTER 1319 and 1320 both start here) | OK
[2026-06-21 00:45 PT] VOL4/CH1322 | source_page=347, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1328 | source_page=364, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1334 | source_page=410, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1339 | source_page=440, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1343 | source_page=475, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1344 | source_page=483, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1348 | source_page=502, image_verified=True | OK
