[2026-06-21 03:00 PT] INIT | Visual recovery campaign 1988 started | OK
[2026-06-21 03:00 PT] INFO | 101 missing chapters: 4 in vol1, 97 in vol3 | OK
[2026-06-21 03:00 PT] INFO | Vol1 images: 0-1747, OCR keys: 2-1747 | OK
[2026-06-21 03:00 PT] INFO | Vol3 images: 0-2206, OCR keys: 2-2206 | OK
[2026-06-21 03:00 PT] INFO | Vol4: OCR exists (keys 10-710) but no pages_raw images | WARN
[2026-06-21 03:00 PT] INFO | Image key K -> page_{K:04d}.png (confirmed: key 4 = page_1indexed 5) | OK
[2026-06-21 03:00 PT] INFO | Manifest lo_page/hi_page are page_1indexed values; OCR key = page_1indexed - 1 | OK
[2026-06-21 03:01 PT] PHASE | VOL1 processing begins | OK
[2026-06-21 07:02 PT] RESUME | Prior attempt incomplete. Restarting full campaign. OCR key K -> page_{K:04d}.png CONFIRMED. Vol3 OCR first key=2, last=2206, 2203 entries. pages_raw last=page_2206.png. | OK
[2026-06-21 08:39 PT] PHASE | MAIN: 101 missing chapters across 2 volumes: ['production-1988-vol1-chapters', 'production-1988-vol3']
[2026-06-21 08:39 PT] PHASE | Processing production-1988-vol1-chapters: 4 missing chapters
[2026-06-21 08:39 PT] PHASE | Loading OCR for production-1988-vol1-chapters...
[2026-06-21 08:39 PT] INFO | production-1988-vol1-chapters: OCR max_key=1747, pages_raw=True, last page file: page_1747.png
[2026-06-21 08:39 PT] OK |   ch160: found pg=595 method=count_from_lo confirmed=False nums=[159]
[2026-06-21 08:39 PT] OK |   ch237: found pg=860 method=count_from_lo confirmed=False nums=[3, 235]
[2026-06-21 08:39 PT] OK |   ch372: found pg=1685 method=count_from_lo confirmed=False nums=[369, 370]
[2026-06-21 08:39 PT] WARN |   ch398: cross-volume boundary (lo=1748 hi=6) -> not_found_needs_reocr
[2026-06-21 08:39 PT] OK | production-1988-vol1-chapters: DONE. targeted=4 verified=3 leg_gap=0 not_found=1 -> C:/PatoLex-scratch/production-1988-vol1-chapters/parsed_acts_visual.json
[2026-06-21 08:39 PT] PHASE | Processing production-1988-vol3: 97 missing chapters
[2026-06-21 08:39 PT] PHASE | Loading OCR for production-1988-vol3...
