vol	pk	idx	token	context	candidates
production-1861	4	4.11	teeerees	terre eee e rete een er erences <<teeerees>>	referees
production-1861	4	11.5	inmits	water courses within their respective <<inmits>> passed may fifteenth eighteen	inits|inuits
production-1861	5	49.8	ereeeree	and convey real estate approved march cee <<ereeeree>>	referee
production-1861	6	25.12	coeeree	cece een e rete ee eer cree <<coeeree>>	covered
production-1861	7	26.9	scpate	kr beard for copying done for the <<scpate>> and assembly of th	sclate|scopate|spate
production-1861	8	17.0	debtedness	<<debtedness>> seeruing prior to the first day of	indebtedness
production-1861	8	17.1	seeruing	debtedness <<seeruing>> prior to the first day of july	seering
production-1861	10	0.0	ubap	<<ubap>> tile of act pee	abap|bap|cbap|uaap|uap|uba
production-1861	11	2.4	swainp	the segregation of certain <<swainp>> lands of this tate approved april	swain|swaine|swains|swanp
production-1861	11	28.5	rodvos	titled an act to regulate <<rodvos>> approved april	rodeos|rodos|rovos
production-1861	12	45.5	dctine	of san francisco and to <<dctine>> the official terms of certain officers therein	actine|octine
production-1861	13	4.9	ccreres	eee cee cece eee erect erent ree <<ccreres>> cece	careers
production-1861	13	40.4	raffics	act to prohibit lotteries <<raffics>> gift enterprises and other schemes of like	traffic|traffics
production-1861	15	45.10	rereerenced	agricultural society approved may b cece cee <<rereerenced>> oud	referenced
production-1861	16	14.2	exccutrix	her a <<exccutrix>> to seli and convey real and personal	executrix
production-1861	16	29.0	bibgl	<<bibgl>> occ ce cece ccc ece seer eeteeeeecres	bibel|bibl|bill
production-1861	16	33.11	ainenda	hundred and fifty seven and other acts <<ainenda>>	agenda
production-1861	17	20.4	cceee	turnpike company approved may <<cceee>> eee e eee e cere eee er	aceee
production-1861	22	47.1	fftv	and <<fftv>> eight approved mav occ ccc ce ccc	aftv|ffiv|fft|ffta|fftf|ffts
production-1861	25	26.8	mellus	j warner j g tomlinson and frank <<mellus>> the right to construct a	amellus|bellus|mallus|melius|mellis|mells
production-1861	25	37.4	buterfield	act to authorize caroline <<buterfield>> widow of david buterfield late of siskiyou	butterfield
production-1861	25	37.8	buterfield	to authorize caroline buterfield widow of david <<buterfield>> late of siskiyou	butterfield
production-1861	26	5.11	therco	and fifty and the several acts amendatory <<therco>>	thermo|thero
production-1861	28	42.9	eveees	san francisco approved may cece rere er <<eveees>>	eevees
production-1861	29	11.11	cerseveres	cece tree reer e rere cree te <<cerseveres>> gbt	perseveres
production-1861	29	25.4	expunzing	current resolution relative to <<expunzing>> certain resolutions passed by the	expunging
production-1861	30	9.0	foviid	<<foviid>> oe cee cette eee renee renee recreresereescresscccseersreesse	forbid
production-1861	30	27.10	eeccee	to adjournment sce cece reece reece reer <<eeccee>> b	decree
production-1861	34	23.12	coiomb	dorado eee eee eee cere cece eee <<coiomb>> cc cheer evecare	colomb|comb|coomb
production-1861	34	23.15	evecare	eee cere cece eee coiomb cc cheer <<evecare>>	eyecare
production-1861	34	24.6	fpamish	dickinson w b el dorado riiseseteserereecrresesrree <<fpamish>> blab ssesrees	famish|spanish
production-1861	34	28.15	dodota	eee eee e eee reece eee eee <<dodota>> verecececcccecrere	dakota|dodoma|dodona|dorota
production-1861	34	31.4	dotago	harvey o ceceeee wh <<dotago>> cece veer cree reveervececese piacofvie oo eeceerecece	dotage|otago
production-1861	35	7.7	mariposr	muel a mariposa merced tulare and fresno <<mariposr>> eeseeeeeeee j	mariposa
production-1861	35	9.11	ducecy	sutter and yuba ccceesererer cree ces s <<ducecy>> sie e arco es een reece	ducey
production-1861	35	10.6	adycies	ce eee e cere eee los <<adycies>> cece eee eee ee cee eceee los	advices
production-1861	35	15.13	auduid	ew ev er er reece cece sc <<auduid>> ereceveterereres i	audit|audusd
production-1861	35	17.1	bnitte	m <<bnitte>> and plumas thompson s flat	bitte
production-1861	35	20.16	vacys	eee e reese ener ee ees goose <<vacys>> eee ever cece	lacys|macys|vacas|vacs|varys|vays
production-1861	35	30.5	fraucisc	looser ee cece eee sa <<fraucisc>> ccc ce ee eee ee ee evens	francisc
production-1861	35	31.2	souquid	biecseececerces sad <<souquid>> eee eet eee cece rere rene louk	squid
production-1861	35	32.15	aoan	eae e eee eer coer eee rece <<aoan>> jobe cee seee seve cece	aan|aban|acan|adan|afan|agan
production-1861	35	33.12	muppdy	lee eee eee reer e cere eres <<muppdy>> seer teen ev cece	supply
production-1861	35	34.5	dumdo	odn ve eeeee cee ee <<dumdo>> co ee cee cere tere erect errr	dudo|dumbo|dumo
production-1861	35	46.10	ererere	see ofan matco cess eee reece rere <<ererere>> elf moon bay seven	revere
production-1861	35	48.6	novoud	vo cue ce cece cee e <<novoud>> cececerecereenreceerereverseren moore s flat oc e cece	novo
production-1861	35	52.0	btod	<<btod>> vee ve verse e bl dorado cece	biod|blod|bod|bood|botd|brod
production-1861	35	53.4	mardposa	ad eeeereeecees mariposa ceeterrrrretrsersrecersseces <<mardposa>> why svereeyerey	mariposa
production-1861	35	56.7	colomd	diy eveecre veces sl dotauo ce receercecscerecereceecceee <<colomd>> ce cecreereeee	colom|coloma|colomb|colome
production-1861	35	58.12	ofovine	woe cece eee creer renee eee serecece <<ofovine>> cecscecsceerer	bovine
production-1861	35	63.2	pimcop	w tevceveeeeee <<pimcop>> eee e cece eee ce renee rer	pico|pimco
production-1861	35	63.10	ererer	eee e cece eee ce renee rer <<ererer>> ce er flast chance ee eescev cece	ewerer
production-1861	35	64.5	piacep	w di ee ee eof <<piacep>> ces ee eee ev ee ree eeresereeecee	piace
production-1861	36	2.13	diczo	ce cece eee rece eee cee sid <<diczo>> vo eee eeeees	diazo|dicho|dicko|dico|diego
production-1861	36	4.0	laspeyre	<<laspeyre>> thos san joaquin eee cere vere cece	lapeyre|laspeyres
production-1861	36	4.9	slockeon	san joaquin eee cere vere cece eves <<slockeon>> vecececeececrece	slocken|stockton
production-1861	36	5.15	ereree	eee eee eee eee rene cee reve <<ereree>> limducloo wesc eceeeeevee	emeree|everee|reree
