token	sonnet_fix	occ	candidates
lambra	NONE	920	ambra|cambra|labra|lamba|lambda|lambro
eect	NONE	488	bect|cect|dect|ect|eec|eech
cwil	civil	206	cail|ceil|cgil|chil|cil|clil
pubhe	public	174	dubhe|pube|puhe
trict	district	156	strict|tract|triact|tric|trica|trice
conneil	council	122	connel|connell|conseil|corneil
heense	license	116	heene|heese|hense
enene	NONE	104	ebene|ekene|elene|enen|enne|enone
meneing	meaning	99	memeing|mending|mening|menning|mensing|menting
cmsp	NONE	84	casp|ccsp|cesp|cfsp|cmap|cmp
cight	eight	81	aight|bight|dight|eight|fight|hight
ifany	if any	66	fany|ifan|ifans|imany|ivany|ofany
frorn	from	65	forn|fron|fror|frore|frory|frown
emsting	existing	65	easting|emoting|empting|esting
comty	county	62	cmty|coaty|comay|comby|comey|comfy
appor	apport	62	apor|appar|apper|appo|apport|appr
inelud	includ	60	includ|include
crry	carry	59	arry|carry|cary|cery|chry|corry
biats	beats	58	baits|bats|beats|bias|bits|bitts
achon	action	57	aceon|achan|achen|achin|acho|achoo
eent	cent	56	bent|cent|dent|eant|een|eena
eects	effects	53	ects|eecs|eets|ejects|elects|erects
xiib	NONE	53	aiib|iib|iiib|viib|xib|xii
szorion	NONE	52	xzorion
atany	at any	50	alany|arany|ataly|atan|atanu|ataxy
sctc	NONE	48	actc|cctc|cstc|ctc|fctc|ictc
cobey	NONE	48	cobby|cobe|coben|cober|cobley|coby
apml	NONE	46	adml|aml|ampl|apal|apel|apil
inake	intake	46	imake|inaki|iname|inane|inate|ineke
olberg	NONE	46	alberg|colberg|dolberg|golberg|holberg|kolberg
eneee	NONE	44	eeee|eeeee|endee|neee
mect	NONE	43	bect|cect|dect|ect|fect|hect
ereated	created	43	created|erected|greated|treated
durmg	during	42	durag|durg|durig|durm|durng
subpcenas	subpoenas	42	subpenas|subpoenas
froin	from	40	broin|foin|frain|frein|frin|froid
approprie	appropriate	39	appropre|appropri|appropriate
sanie	same	37	anie|banie|canie|danie|fanie|hanie
milhon	million	37	michon|milion|millon|milon|milson|milton
ccee	NONE	35	acee|cce|ccea|cced|cces|ccie
eeene	NONE	34	beene|deene|ebene|eeee|eeeee|ekene
omee	NONE	33	amee|comee|emee|imee|mee|obee
llth	eleventh	32	alth|hlth|illth|lath|leth|lith
cinet	NONE	31	binet|canet|cient|cinct|cine|cinel
eops	NONE	31	aops|bops|cops|dops|eaps|ecps
hcense	license	31	cense|hense
hcensed	licensed	30	censed
jomt	joint	29	comt|domt|jmt|jolt|jom|joma
hosemen	horsemen	29	horsemen|hoseman|housemen
puble	public	29	buble|dpuble|duble|pable|poble|pubble
itern	intern	29	intern|isern|iten|iter|stern|tern
cocurricular	cocurricular	29	curricular
triet	district	28	griet|priet|riet|thiet|tiet|tiret
niay	may	27	biay|giay|iay|inay|nay|nia
ereck	erect	27	breck|dereck|dreck|eleck|erec|erect
eceee	NONE	26	aceee|eeee|eeeee|exceed
canse	cause	26	anse|banse|caise|canbe|cance|cande
nended	amended	26	bended|ended|fended|lended|mended|nanded
etect	detect	26	detect|efect|eject|elect|erect|etec
naines	names	25	baines|caines|daines|gaines|haines|laines
subpcenaed	subpoenaed	25	subpenaed|subpoenaed
rected	erected	24	erected|nected|reacted|recited|recked|recte
tlic	the	24	alic|blic|clic|elic|flic|ilic
mureh	march	24	mareh|moreh|murah|murch|mure|muren
certam	certain	24	ceram|certa|certai
subpeenas	subpoenas	24	subpenas|subpoenas
nanees	names	24	anees|manees|nafees|nanes|nannes|nantes
fisea	fiscal	24	fisa|fise|fiser|fisma|isea
btals	totals	24	baals|bals|beals|boals|btas|itals
cuaprer	chapter	24	chapter
trusteed	trustees	24	trusted|trustee|trustees
partv	party	23	parov|part|parta|parte|parth|parti
plovees	employees	23	plovers
deduc	deduct	23	dedic|deduce|deduct|dedue|educ|leduc
nonsecure	nonsecure	23	insecure
hght	height	22	ght|heght|hgh|hghts|hgst|hgt
systern	system	22	sistern|systen|syster
certifeate	certificate	21	certificate
immedt	immediate	21	immed|immedi|immelt|impede
penod	period	21	enod|pend|pendo|peno|penon|penrod
rmpp	NONE	21	mpp|rapp|repp|ripp|rmbp|rmnp
antl	until	20	actl|anal|ancl|andl|anel|angl
xiia	NONE	20	aiia|iia|iiia|ixia|miia|niia
eeneee	NONE	20	eeeee|eeeeee
eraft	draft	20	craft|draft|erast|erat|graft|kraft
jegis	NONE	20	aegis|egis|jedis|jegs|jenis|jeris
btats	stats	20	bats|batts|beats|blats|boats|brats
fpuled	fouled	20	fouled|puled
actto	action	19	aceto|actio|acto|actt|atto|catto
jution	solution	19	junion|lution|tution
jease	lease	19	cease|dease|ease|gease|jase|jeane
vards	yards	19	ards|bards|cards|gards|hards|lards
fizing	fixing	19	fazing|filing|fining|firing|fiving|fixing
exelu	exclude	19	exclu|execu|exel|exell
appomt	appoint	19	apport
inaking	making	18	inking|intaking|snaking
fands	funds	18	ands|bands|fads|fand|fandi|fando
forin	foreign	18	borin|corin|dorin|farin|fiorin|firin
jaid	paid	18	aaid|aid|baid|caid|daid|faid
ifin	if in	18	afin|fin|iain|icin|ifan|ifi
compenss	compensat	18	compens|compense
funce	NONE	18	bunce|dunce|fance|faunce|fence|fonce
