session_label	session_year	session_type	total_chapters	source_url	confidence
1850 Regular Session	1850	regular	146	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1850	high
1851 Regular Session	1851	regular	139	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1851	high
1852 Regular Session	1852	regular	202	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1852	high
1853 Regular Session	1853	regular	180	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1853	high
1854 Regular Session	1854	regular	174	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1854	high
1855 Regular Session	1855	regular	231	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1855	high
1856 Regular Session	1856	regular	152	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1856	high
1857 Regular Session	1857	regular	277	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1857	high
1858 Regular Session	1858	regular	358	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1858	high
1859 Regular Session	1859	regular	330	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1859	high
1860 Regular Session	1860	regular	385	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1860	high
1861 Regular Session	1861	regular	538	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1861	high
1862 Regular Session	1862	regular	455	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1862	high
1863-64 Regular Session	1863	regular	476	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1863-64	high
1865-66 Regular Session	1866	regular	650	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1865-66	high
1867-68 Regular Session	1868	regular	545	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1867-68	high
1869-70 Regular Session	1870	regular	583	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1869-70	high
1871-72 Regular Session	1872	regular	637	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1871-72	high
1873-74 Regular Session	1874	regular	679	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1873-74	high
1875-76 Regular Session	1876	regular	613	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1875-76	high
1877-78 Regular Session	1878	regular	673	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1877-78	high
1880 Regular Session	1880	regular	126	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1880	high
1881 Regular Session	1881	regular	77	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1881	high
1881 Extra Session	1881	extra1	103	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1881	high
1883 Regular Session	1883	regular	96	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1883-84	high
1885 Regular Session	1885	regular	169	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1885-86	high
1885 Extra Session	1885	extra1	6	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1885-86	high
